line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:1.1版本「银河漫游」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,亲爱的开拓者：<br><br>,content,亲爱的开拓者
5,或游戏其中，或漫游行走，这片银河容得下任何可能。<br>,default,
6,欢迎来到1.1版本「银河漫游」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2023/06/07 06:00 (UTC+8)开始，预计需要5个小时。<br>,default,
9,{{计时|2023|06|07|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2023/06/07 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至1.2版本停服维护前。<br><br>,default,
21,■问题修复补偿<br>,default,
22,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
23,补偿对象：2023/06/07 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
24,※请开拓者于2023/07/07 23:59前上线收取邮件。,default,
25,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
26,<big>'''版本内容前瞻'''</big><br>,default,
27,开拓者可点击前往1.1版本「银河漫游」专题展示页了解详情。<br>,default,
28,点击前往：https://mhyurl.cn/12puCBAd<br><br>,content,点击前往
29,<big>'''设备要求'''</big><br>,default,
30,■推荐配置如下：<br>,content,推荐配置如下
31,●PC端：<br>,content,端
32,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
33,系统：win10 64位或以上系统<br>,content,系统
34,●安卓端：<br>,content,安卓端
35,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
36,内存：6G及以上内存<br>,content,内存
37,系统：Android 9或以上系统<br>,content,系统
38,●iOS端：<br>,content,端
39,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
40,系统：iOS 11.0或以上系统<br>,content,系统
41,<br>,default,
42,■支持配置如下：<br>,content,支持配置如下
43,●PC端：<br>,content,端
44,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
45,系统：win7 64位或以上系统<br>,content,系统
46,●安卓端：<br>,content,安卓端
47,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
48,内存：4G及以上内存<br>,content,内存
49,系统：Android 8或以上系统<br>,content,系统
50,●iOS端：<br>,content,端
51,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
52,系统：iOS 10.0或以上系统<br>,content,系统
53,}},default,
54,==版本全新内容==,default,
55,===1、全新场景——「历史文化博物馆」===,default,
56,有着超过600年历史的贝洛伯格历史文化博物馆，陈列着诸多对这座城市而言有着非凡意义的珍贵展品。,default,
57,,default,
58,贝洛伯格历史文化博物馆共设有三个常设展览馆，包括：综合展馆、工业展馆及历史文化展馆。,content,包括
59,,default,
60,2023/06/09 10:00 后，在满足特定条件后永久开放。,default,
61,===2、全新角色===,default,
62,{{图标/角色|银狼}},default,
63,■5星「银狼（虚无•量子）」,default,
64,,default,
65,将宇宙视为游戏的超级骇客。,default,
66,,default,
67,银狼是一名量子属性的虚无命途角色，拥有独特的属性弱点添加机制。施放战技时有概率为敌方目标添加弱点，弱点属性为我方队伍角色持有的属性之一。,default,
68,,default,
69,她的终结技还可以降低指定敌方单体的防御力，并对其造成伤害。,default,
70,,default,
71,每次施放攻击后，有概率为敌方目标植入一个随机的缺陷，分别为降低敌方目标的攻击力、防御力或速度。,default,
72,,default,
73,可通过角色活动跃迁「零号协议」获得。,default,
74,,default,
75,,default,
76,{{图标/角色|罗刹}},default,
77,■5星「罗刹（丰饶•虚数）」,default,
78,,default,
79,金发俊雅的年轻人，背着巨大的棺椁。,default,
80,,default,
81,罗刹是一名虚数属性的丰饶命途角色，其战技可为我方指定单体回复大量生命值，并可在我方任意目标生命值小于等于50%时，立即触发1次等同于战技的效果。,default,
82,,default,
83,施放战技或终结技可积累【白花之刻】。当【白花之刻】达到2层时消耗全部【白花之刻】展开结界。结界存在时我方目标对任意敌方目标施放攻击后，将立即回复一定生命值。,default,
84,,default,
85,可通过角色活动跃迁「寻索世间」获得。,default,
86,,default,
87,,default,
88,{{图标/角色|驭空}},default,
89,■4星「驭空（同谐•虚数）」,default,
90,,default,
91,仙舟「罗浮」天舶司的主司，性情温和，处事老练。,default,
92,,default,
93,驭空是一名虚数属性的同谐命途角色，其战技可使我方全体攻击力提高。,default,
94,,default,
95,其终结技可增幅战技加成，使我方全体暴击率、暴击伤害提高。同时还可对指定敌方单体造成伤害。,default,
96,,default,
97,可通过角色活动跃迁「寻索世间」获得。活动结束后，4星角色「驭空（同谐•虚数）」在1.2版本加入「群星跃迁」，但不会加入「始发跃迁」。此外，在1.2版本更新后，达成特定条件即可免费获取4星角色「驭空（同谐•虚数）」。,default,
98,,default,
99,=== 3、全新光锥 ===,default,
100,{{图标/光锥|雨一直下}},default,
101,■5星「雨一直下（虚无）」,default,
102,,default,
103,可通过光锥活动跃迁「流光定影」获得。,default,
104,,default,
105,,default,
106,{{图标/光锥|棺的回响}},default,
107,■5星「棺的回响（丰饶）」,default,
108,,default,
109,可通过光锥活动跃迁「流光定影」获得。,default,
110,,default,
111,,default,
112,{{图标/光锥|新手任务开始前}},default,
113,■4星「新手任务开始前（虚无）」,default,
114,,default,
115,可通过限时活动「猎星游戏」获得。,default,
116,,default,
117,=== 4、全新剧情 ===,branch_content,
118,,default,
119,===== ■同行任务 =====,default,
120,,default,
121,* 「[[朋克洛德精神]]」,default,
122,,default,
123,空间站的网络安全工程师认为军团入侵事件的背后另有隐情。你回想起自己苏醒时的遭遇，决定与他一同追踪星核猎手「银狼」的行迹……,default,
124,,default,
125,开放时间：1.1版本更新后永久开放,content,开放时间
126,,default,
127,开放条件：开拓等级≥21级，且阅读指定短信后开放。,content,开放条件
128,,default,
129,,default,
130,* 「[[异邦骑士]]」,default,
131,,default,
132,神秘的域外行商罗刹竟与那人如此相似…看我神探三月七找出真相！,default,
133,,default,
134,开放时间：2023/06/28 12:00 后永久开放,content,开放时间
135,,default,
136,开放条件：完成开拓任务「仙舟『罗浮』」-「茸客鸣呦，玉角盘虬」，且阅读指定短信后开放。,content,开放条件
137,,default,
138,,default,
139,* 「[[譬如朝露]]」,default,
140,,default,
141,白露又逃出了丹鼎司，没想到这次「出逃」竟是意外的「出诊」…,default,
142,,default,
143,开放时间：2023/06/28 12:00 后永久开放,content,开放时间
144,,default,
145,开放条件：完成开拓任务「仙舟『罗浮』」-「茸客鸣呦，玉角盘虬」，且阅读指定短信后开放。,content,开放条件
146,,default,
147,,default,
148,* 「[[霜刃一试]]」,default,
149,,default,
150,为了捉拿逃脱的星核猎手，神策府骁卫彦卿孤身踏上狩猎之路…,default,
151,,default,
152,开放时间：2023/06/28 12:00 后永久开放,content,开放时间
153,,default,
154,开放条件：完成开拓任务「仙舟『罗浮』」-「茸客鸣呦，玉角盘虬」，在场景「星槎海中枢」与NPC「谛听」对话后开放。,content,开放条件
155,,default,
156,=== 5、全新活动 ===,default,
157,,default,
158,■[[「猎星游戏」]],default,
159,,default,
160,军团的阴云散去，空间站「黑塔」迎来劫后新生，而来自朋克洛德的骇客也暗自开始了下一场「游戏」……,default,
161,,default,
162,1.1版本更新后，开拓等级≥21级开放。,default,
163,,default,
164,,default,
165,■[[「冬城博物珍奇簿」]],default,
166,,default,
167,贝洛伯格历史文化博物馆已经修葺完毕，然而重要的展品却接连失窃——为了让博物馆能够顺利重新开放，佩拉找到了你……,default,
168,,default,
169,2023/06/09 10:00 后，开拓等级≥21级，且完成开拓任务「雅利洛-VI」-「静静的星河」后开启。,default,
170,,default,
171,,default,
172,■[[「巡星之礼」]],default,
173,,default,
174,活动期间，每日登录游戏即可获得签到奖励。完成7日签到累计可领取星轨专票*10！,default,
175,,default,
176,,default,
177,※其他活动请关注后续官方公告。,default,
178,,default,
179,=== 6、其他内容 ===,default,
180,,default,
181,==== ■玩法 ====,default,
182,* 「模拟宇宙」图鉴中新增随机事件一览，开拓者可在图鉴中查阅已解锁及未解锁事件。,default,
