line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:1.2版本「仙骸有终」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,万物终有尽头，毋论仙凡。这绝非不仁的天罚，而是宽赦。<br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到1.2版本「仙骸有终」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2023/07/19 06:00 (UTC+8)开始，预计需要5个小时。<br>,default,
9,{{计时|2023|07|19|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2023/07/19 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至1.3版本停服维护前。<br><br>,default,
21,■问题修复补偿<br>,default,
22,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
23,补偿对象：2023/07/19 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
24,※请开拓者于2023/08/18 23:59前上线收取邮件。,default,
25,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
26,<big>'''版本内容前瞻'''</big><br>,default,
27,开拓者可点击前往1.2版本「仙骸有终」专题展示页了解详情。<br>,default,
28,点击前往：https://mhyurl.cn/19aSDBAd<br><br>,content,点击前往
29,<big>'''设备要求'''</big><br>,default,
30,■推荐配置如下：<br>,content,推荐配置如下
31,*PC端：<br>,content,端
32,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
33,系统：win10 64位或以上系统<br>,content,系统
34,*安卓端：<br>,content,安卓端
35,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
36,内存：6G及以上内存<br>,content,内存
37,系统：Android 9或以上系统<br>,content,系统
38,*iOS端：<br>,content,端
39,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
40,系统：iOS 11.0或以上系统<br>,content,系统
41,<br>,default,
42,■支持配置如下：<br>,content,支持配置如下
43,*PC端：<br>,content,端
44,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
45,系统：win7 64位或以上系统<br>,content,系统
46,*安卓端：<br>,content,安卓端
47,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
48,内存：4G及以上内存<br>,content,内存
49,系统：Android 8或以上系统<br>,content,系统
50,*iOS端：<br>,content,端
51,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
52,系统：iOS 10.0或以上系统<br>,content,系统
53,}},default,
54,==版本全新内容==,default,
55,=== 1、全新场景 ===,default,
56,'''■丹鼎司''',default,
57,,default,
58,「丹鼎司」曾是阐演仙道之所在。然而随着建木毁弃，其地位一落千丈，再也不能左右仙舟权力。,default,
59,,default,
60,,default,
61,'''■鳞渊境''',default,
62,,default,
63,波月古海，持明胜境。数千年前，为遏制建木生长，持眀族以此洞天为容器，封印了建木玄根。,default,
64,,default,
65,===2、全新角色===,default,
66,{{图标/角色|刃}},default,
67,'''■5星「刃（毁灭•风）」''',default,
68,,default,
69,刃是一名毁灭命途的风属性角色，他在多次生命值降低后自动对敌方全体造成伤害，也可以通过消耗生命值施放强力技能。,default,
70,,default,
71,可通过角色活动跃迁「业途游魂」获得。,default,
72,,default,
73,,default,
74,{{图标/角色|卡芙卡}},default,
75,'''■5星「卡芙卡（虚无•雷）」''',default,
76,,default,
77,卡芙卡是一名虚无命途的雷属性角色，她可以使敌方的持续伤害立刻额外触发1次，并有多种方式使敌方陷入触电状态。,default,
78,,default,
79,可通过角色活动跃迁「夜将不眠」获得。,default,
80,,default,
81,,default,
82,{{图标/角色|卢卡}},default,
83,'''■4星「卢卡（虚无•物理）」''',default,
84,,default,
85,卢卡是一名虚无命途的物理属性角色，他在多次攻击后可获得强力技能，使敌方的裂伤状态立刻额外触发1次，战技可使敌方陷入裂伤状态。,default,
86,,default,
87,可通过角色活动跃迁「夜将不眠」获得。,default,
88,,default,
89,=== 3、全新光锥 ===,default,
90,{{图标/光锥|到不了的彼岸}},default,
91,'''■5星「到不了的彼岸（毁灭）」''',default,
92,,default,
93,可通过光锥活动跃迁「流光定影」获得。,default,
94,,default,
95,,default,
96,{{图标/光锥|只需等待}},default,
97,'''■5星「只需等待（虚无）」''',default,
98,,default,
99,可通过光锥活动跃迁「流光定影」获得。,default,
100,,default,
101,=== 4、全新剧情 ===,branch_content,
102,==== ■开拓任务 ====,default,
103,*「仙舟『罗浮』」-「[[云树百丈蔽重楼]]」,default,
104,,default,
105,「将星核带入仙舟并启动的另有其人，这其中既有内忧，也有外患。」,default,
106,,default,
107,此刻，枯朽死灭的神木开始重新生长，星核猎手将你们引至仙舟的用意渐渐崭露……,default,
108,,default,
109,开放时间：1.2版本更新后永久开放,content,开放时间
110,,default,
111,开放条件：完成开拓任务「仙舟『罗浮』」-「[[茸客鸣呦，玉角盘虬]]」。,content,开放条件
112,,default,
113,==== ■同行任务 ====,default,
114,*「[[因为我已触碰过天空]]」,default,
115,,default,
116,想要进一步了解驭空的过去，果然还是应该去司辰宫找找看。陪晴霓到处找找吧，她在这里见证的过去，也许会改变她的人生。,default,
117,,default,
118,开放时间：1.2版本更新后永久开放,content,开放时间
119,,default,
120,开放条件：完成开拓任务「仙舟『罗浮』」-「[[有龙矫矫，其渊渺渺]]」，且在场景「迴星港」阅读指定短信后开放。,content,开放条件
121,,default,
122,,default,
123,*「[[陌生女人的来信]]」,default,
124,,default,
125,开放时间：2023/08/09 12:00后永久开放,content,开放时间
126,,default,
127,开放条件：完成开拓任务「仙舟『罗浮』」-「[[有龙矫矫，其渊渺渺]]」，且阅读指定短信后开放。,content,开放条件
128,,default,
129,=== 5、全新活动 ===,default,
130,,default,
131,'''■[[「评书奇谭」]]''',default,
132,,default,
133,2023/07/21 12:00 - 2023/08/07 03:59,default,
134,,default,
135,罗浮的危机暂时平息，无名客的功绩广为流传。星槎海那位说书的西衍先生似乎对你们的冒险很感兴趣，还打算改编成一折评书……,default,
136,,default,
137,开拓等级≥21级，且完成开拓任务「仙舟『罗浮』」-「[[有龙矫矫，其渊渺渺]]」后开启。,default,
138,,default,
139,,default,
140,'''■[[「地城探宝」]]''',default,
141,,default,
142,2023/08/09 12:00 - 2023/08/28 03:59,default,
143,,default,
144,最近的贝洛伯格兴起了「寻宝」的热潮，大量古代遗物出现在了下层区中，而这一切似乎都与大矿区的古代遗迹有关……,default,
145,,default,
146,开拓等级≥21级，且完成开拓任务「雅利洛-VI」-「[[静静的星河]]」后开启。,default,
147,,default,
148,,default,
149,'''■[[「巡星之礼」第二期]]''',default,
150,,default,
151,活动期间，每日登录游戏即可获得签到奖励。完成7日签到累计可领取星轨专票*10！,default,
152,,default,
153,※其他活动请关注后续官方公告。,default,
154,,default,
155,=== 6、其他内容 ===,default,
156,==== ■敌方 ====,default,
157,*{{图标|不死神实•幻胧}}、{{图标|承露天人}}、{{图标|丰饶灵兽•长右}}、{{图标|「药王秘传」器元士}}、{{图标|丰饶灵兽•娄金}}、{{图标|丰饶灵兽•奎木}}、{{图标|云骑骁卫•彦卿}}；,default,
158,,default,
159,*「模拟宇宙」中新增敌方「{{图标|丰饶玄鹿（完整）}}」「{{图标|金人司阍（错误）}}」「{{图标|「药王秘传」炼形者（错误）}}」 。,default,
160,,default,
161,==== ■玩法 ====,default,
162,,default,
163,*[[第七世界•模拟宇宙]],default,
164,,default,
165,挑战「第七世界•模拟宇宙」，开拓者可使用开拓力或沉浸器，在「沉浸奖励」处兑换全新位面饰品。,default,
166,,default,
167,完成开拓任务「仙舟『罗浮』」-「茸客鸣呦，玉角盘虬」并通关「第六世界•「模拟宇宙」」,default,
168,,default,
169,后，「模拟宇宙」中将开启「第七世界」。,default,
170,,default,
171,,default,
172,*忘却之庭•天艟求仙迷航录,default,
173,,default,
174,忘却之庭收集了关于仙舟的回忆，新的挑战等待开启……,default,
175,,default,
176,完成开拓任务「仙舟『罗浮』」-「[[有龙矫矫，其渊渺渺]]」后，「忘却之庭」中将开启新回忆「天艟求仙迷航录」。,default,
177,,default,
178,通关「忘却之庭•仙舟回忆其一」后可获取4星角色「{{图标|驭空}}（同谐•虚数）」。,default,
179,,default,
180,,default,
181,*'''「忘却之庭•混沌回忆」中的记忆紊流及敌方配置更新，详情请参考如下说明：''',content,详情请参考如下说明
182,,default,
183,孤航天海,default,
184,,default,
185,2023/07/24  04:00 - 2023/08/07 04:00,default,
186,,default,
187,我方目标受到攻击或消耗生命值时，获得1层【记忆印记】。每层【记忆印记】使目标受到的伤害降低12%，该效果最多叠加3层。每个轮开始时，依据我方目标当前最高的【记忆印记】层数对敌方全体造成固定数值的伤害，并解除我方全体所有的【记忆印记】。,default,
188,,default,
189,,default,
190,泪雨长战,default,
191,,default,
192,2023/08/07 04:00 - 2023/08/21 04:00,default,
193,,default,
194,我方角色施放追加攻击后，使受到攻击的敌方目标全属性抗性降低30%，持续2回合。,default,
195,,default,
196,,default,
197,药王垂迹,default,
198,,default,
199,2023/08/21 04:00 - 2023/09/04 04:00,default,
200,,default,
201,每个轮开始时，使敌方全体当前承受的所有持续伤害立即产生相当于原伤害200%的伤害。,default,
202,,default,
203,,default,
204,*[[天空之眼•历战探游]],default,
205,,default,
206,于同行任务「[[因为我已触碰过天空]]」完成后开启。,default,
207,,default,
208,==== ■关卡 ====,default,
209,,default,
210,*[[天人之形•凝滞虚影]],default,
211,,default,
212,开启条件：完成开拓任务「仙舟『罗浮』」-「[[金鼎灵树，穷途梼杌]]」,content,开启条件
213,,default,
214,所在场景：仙舟「罗浮」- 丹鼎司,content,所在场景
215,,default,
216,关卡说明：成功挑战关卡可获得风属性角色的晋升材料「{{图标|天人遗垢}}」与信用点奖励。,content,关卡说明
217,,default,
218,,default,
219,*[[药使之径•侵蚀隧洞]],default,
220,,default,
221,开启条件：完成冒险任务「侵蚀隧洞」并解锁场景 仙舟「罗浮」- 丹鼎司,content,开启条件
222,,default,
223,所在场景：仙舟「罗浮」- 丹鼎司,content,所在场景
224,,default,
225,关卡说明：成功挑战关卡可获得隧洞遗器「{{图标|宝命长存的莳者}}」「{{图标|骇域漫游的信使}}」与信用点奖励。,content,关卡说明
226,,default,
227,,default,
228,*[[不死的神实•历战余响]],default,
229,,default,
230,开启条件：完成开拓任务「仙舟『罗浮』」-「[[有龙矫矫，其渊渺渺]]」,content,开启条件
231,,default,
232,所在场景：仙舟「罗浮」- 鳞渊境,content,所在场景
233,,default,
234,关卡说明：成功挑战关卡可获得行迹升级的高阶素材「{{图标|无穷假身的遗恨}}」与流光余晖、信用点等奖励。,content,关卡说明
235,,default,
236,,default,
237,*勠力偕行,default,
238,,default,
239,开放时间：1.2版本更新后 - 永久,content,开放时间
240,,default,
241,关卡内容：可试用角色「{{图标|姬子}}（智识•火）」「{{图标|瓦尔特}}（虚无•虚数）」「{{图标|布洛妮娅}}（同谐•风）」「{{图标|杰帕德}}（存护•冰）」「{{图标|克拉拉}}（毁灭•物理）」「{{图标|彦卿}}（巡猎•冰）」「{{图标|白露}}（丰饶•雷）」体验关卡，达成挑战后，可获得星琼、冒险记录、通用培养材料奖励。,content,关卡内容
242,,default,
243,==== ■遗器 ====,default,
244,*位面饰品「{{图标|繁星竞技场}}」,default,
245,,default,
246,*位面饰品「{{图标|折断的龙骨}}」,default,
247,,default,
248,*隧洞遗器「{{图标|宝命长存的莳者}}」,default,
249,,default,
250,*隧洞遗器「{{图标|骇域漫游的信使}}」,default,
251,,default,
252,==== ■任务 ====,default,
253,,default,
254,*系列冒险任务「[[陶德•雷奥登的学术研究]]」,default,
255,,default,
256,*冒险任务「[[动物凶猛]]」,default,
