line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]][[分类:前瞻直播]],default,
2,{{提示|蓝色|[[1.3版本「天镜映劫尘」更新专题]]}},default,
3,[[File:星穹铁道1.3版本前瞻直播总结.png|center|link=|900px]],default,
4,{{提示消息|黄色|,default,
5,<big>2023年08月18日 19:30（星期五） 1.3版本前瞻直播内容汇总！</big><br>,default,
6,官方直播间地址：[https://b23.tv/nUcYYjC 网页链接]<br>,content,官方直播间地址
7,录播视频：[https://www.bilibili.com/video/BV1SX4y1W7fi/ 网页链接]<br><br>,content,录播视频
8,国服兑换码：<br>,content,国服兑换码
9,:第一次：RA2Q8CHG4ST8,content,第一次
10,:第二次：KTKR8DYY4TCU,content,第二次
11,:第三次：FAJ8RCGY5SVY,content,第三次
12,国际服兑换码：<br>,content,国际服兑换码
13,:第一次：LANPVGET8HFT,content,第一次
14,:第二次：BA7NCHFA9HWX,content,第二次
15,:第三次：ASN6CHXBRHW3,content,第三次
16,:*有效期至2023年08月19日中午 12:00 之前。,default,
17,<br>,default,
18,1.3版本专题展示页：[https://mhyurl.cn/1E0dFBAL 网页链接]<br>,content,版本专题展示页
19,1.3版本PV：[https://www.bilibili.com/video/BV1CG411f7Aq/ 网页链接]<br>,content,版本
20,}},default,
21,==新场景==,default,
22,*金人巷,default,
23,:长乐天的美食商业街，游客们来到这里享受美食，感受街头文化。,default,
24,[[文件:1.3前瞻新地图1.png|center|550px]],default,
25,==新角色==,default,
26,===五星角色===,default,
27,*{{图标|丹恒•饮月}}（虚数•毁灭）,default,
28,[[文件:1.3前瞻新角色2.png|center|550px]],default,
29,*{{图标|符玄}}（量子•存护）,default,
30,[[文件:1.3前瞻新角色1.png|center|550px]],default,
31,,default,
32,===四星角色===,default,
33,*{{图标|玲可}}（量子•丰饶）,default,
34,[[文件:1.3前瞻新角色3.png|center|550px]],default,
35,,default,
36,==新光锥==,default,
37,===五星光锥===,default,
38,*{{图标|比阳光更明亮的}}（毁灭）,default,
39,[[文件:1.3前瞻新光锥1.png|center|550px]],default,
40,*{{图标|她已闭上双眼}}（存护）,default,
41,[[文件:1.3前瞻新光锥2.png|center|550px]],default,
42,*{{图标|孤独的疗愈}}（虚无）：模拟宇宙商店兑换,content,虚无
43,,default,
44,==角色活动跃迁==,default,
45,===第一期卡池===,default,
46,*五星角色：{{图标|丹恒•饮月}},content,五星角色
47,*四星角色：{{图标|驭空}}{{图标|艾丝妲}}{{图标|三月七}},content,四星角色
48,[[文件:1.3前瞻角色跃迁1.png|center|550px]],default,
49,,default,
50,===第二期卡池===,default,
51,*五星角色：{{图标|符玄}},content,五星角色
52,*四星角色：{{图标|玲可}}{{图标|虎克}}{{图标|佩拉}},content,四星角色
53,[[文件:1.3前瞻角色跃迁2.png|center|550px]],default,
54,,default,
55,==新任务==,default,
56,===开拓任务===,default,
57,*[[安灵布奠，天清路远]],default,
58,:幻胧遭到驱逐，一切看似尘埃落定，但关于平息动荡，抚慰悲伤的后事才刚刚开始……,default,
59,[[文件:1.3前瞻新任务1.png|center|550px]],default,
60,===同行任务===,default,
61,*[[龙返其乡]]•{{图标|丹恒•饮月}},default,
62,*[[全面回忆]]•{{图标|三月七}},default,
63,*[[比雪原更遥远]]•{{图标|玲可}},default,
64,*[[我的挚爱，我的血肉]]•{{图标|卢卡}},default,
65,[[文件:1.3前瞻新任务2.png|center|550px]],default,
66,,default,
67,==新活动==,default,
68,*版本活动：[[「金人旧巷市廛喧」]],content,版本活动
69,:日渐衰颓的金人巷商区迎来了它焕发第二春的契机：或由公司注资再造，或由当地商会振衰起敝。而你将身处其间，左右人们的选择……,content,日渐衰颓的金人巷商区迎来了它焕发第二春的契机
70,[[文件:1.3前瞻新活动1.png|center|550px]],default,
71,,default,
72,*版本小活动：[[「空间站特派」]],content,版本小活动
73,:空间站的复兴工作遇到困难：高权限科员无暇深入复兴工作的细节，而低权限的科员则又无法访问部分必要的文件。这时候就需要一名特殊权限等级的「特派员」去指导大家完成这部分特殊的委托了。,content,空间站的复兴工作遇到困难
74,[[文件:1.3前瞻新活动2.png|center|550px]],default,
75,,default,
76,*位面饰品双倍活动：[[「位面分裂」第三期]],content,位面饰品双倍活动
77,[[文件:1.3前瞻新活动4.png|center|550px]],default,
78,,default,
79,*拟造花萼双倍活动：[[「花藏繁生」第二期]],content,拟造花萼双倍活动
80,[[文件:1.3前瞻新活动5.png|center|550px]],default,
81,,default,
82,*签到活动：[[「巡星之礼」第三期]],content,签到活动
83,:活动期间，完成7日签到累计可领取{{图标|星轨专票|10}}！,default,
84,:每日登录游戏，可在「旅情事记」中领取当日奖励，奖励将根据开拓者累计登录天数依次解锁。,default,
85,[[文件:1.3前瞻新活动6.png|center|550px]],default,
86,,default,
87,==新敌人==,default,
88,*{{图标|虫群•真蛰虫（完整）}},default,
89,:博识学会的杜卢伊爵士遨游星海，曾写下三十卷《诸界异虫札记》。书中详实记载了迄今为止被确认的十几种蠹虫种类，以及星系间数之不尽的亚种。,default,
90,[[文件:1.3前瞻新敌人1.png|center|550px]],default,
91,,default,
92,==新关卡==,default,
93,*[[孽兽之形•凝滞虚影]]、[[偃偶之形•凝滞虚影]],default,
94,[[文件:1.3前瞻新关卡.png|center|550px]],default,
95,,default,
96,==玩法更新==,default,
97,*模拟宇宙·寰宇蝗灾,default,
98,:四位天才联手推出的'''模拟宇宙「大更新」'''终于要来了！他们做了完整的配套施工，只为研究一位星神的「陨落」……,default,
99,[[文件:1.3前瞻新玩法1.png|center|550px]],default,
100,,default,
101,==其他==,default,
102,===系统更新===,default,
103,*开拓力系统优化,default,
104,:开拓力上限将由180点提升至240点。,default,
105,:此外，1.3版本新增后备开拓力功能。当开拓力恢复至上限或超出上限时，后备开拓力开始随时间恢复。开拓者需要使用时，后备开拓力可按等量取出为开拓力。,default,
106,[[文件:1.3前瞻系统更新1.png|center|550px]],default,
107,*表情图片功能新增,default,
108,[[文件:1.3前瞻系统更新2.png|center|550px]],default,
109,*手机壁纸功能新增,default,
110,:1.3版本可通过活动「金人旧巷市廛喧」获得限定手机壁纸「机巧梦宵长」。,default,
111,[[文件:1.3前瞻系统更新3.png|center|550px]],default,
112,,default,
113,===KFC联动===,default,
114,<center>[[文件:1.3前瞻系统联动1.png|230px]]&nbsp;&nbsp;&nbsp;[[文件:1.3前瞻系统联动2.png|550px]]</center>,default,
