line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:1.3版本「天镜映劫尘」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,玉镜高悬于天，映照劫余尘寰。即便星移斗转，往昔的灾影也未曾消散。 <br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到1.3版本「天镜映劫尘」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2023/08/30 06:00 (UTC+8)开始，预计需要5个小时。<br>,default,
9,{{计时|2023|08|30|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2023/08/30 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至1.3版本停服维护前。<br><br>,default,
21,■问题修复补偿<br>,default,
22,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
23,补偿对象：2023/08/30 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
24,※请开拓者于2023/09/29 23:59前上线收取邮件。,default,
25,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
26,<big>'''版本内容前瞻'''</big><br>,default,
27,开拓者可点击前往1.3版本「天镜映劫尘」专题展示页了解详情。<br>,default,
28,点击前往：https://mhyurl.cn/1E0dFBAL<br><br>,content,点击前往
29,<big>'''设备要求'''</big><br>,default,
30,■推荐配置如下：<br>,content,推荐配置如下
31,*PC端：<br>,content,端
32,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
33,系统：win10 64位或以上系统<br>,content,系统
34,*安卓端：<br>,content,安卓端
35,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
36,内存：6G及以上内存<br>,content,内存
37,系统：Android 9或以上系统<br>,content,系统
38,*iOS端：<br>,content,端
39,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
40,系统：iOS 11.0或以上系统<br>,content,系统
41,<br>,default,
42,■支持配置如下：<br>,content,支持配置如下
43,*PC端：<br>,content,端
44,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
45,系统：win7 64位或以上系统<br>,content,系统
46,*安卓端：<br>,content,安卓端
47,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
48,内存：4G及以上内存<br>,content,内存
49,系统：Android 8或以上系统<br>,content,系统
50,*iOS端：<br>,content,端
51,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
52,系统：iOS 11.0或以上系统<br>,content,系统
