line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]][[分类:前瞻直播]],default,
2,{{提示|蓝色|[[1.4版本「冬梦激醒」更新专题]]}},default,
3,[[File:星穹铁道1.4版本前瞻直播总结.png|center|link=|900px]],default,
4,{{提示消息|黄色|,default,
5,<big>2023年09月29日 19:30（星期五） 1.4版本前瞻直播内容汇总！</big><br>,default,
6,官方直播间地址：[https://b23.tv/nUcYYjC 网页链接]<br>,content,官方直播间地址
7,录播视频：[https://www.bilibili.com/video/BV1XH4y1m7f2/ 网页链接]<br><br>,content,录播视频
8,国服兑换码：<br>,content,国服兑换码
9,:第一次：MBM7WFF5PECC,content,第一次
10,:第二次：FSMPWFE56EUG,content,第二次
11,:第三次：NT4NEEFM6EV4,content,第三次
12,国际服兑换码：<br>,content,国际服兑换码
13,:第一次：TAP8H27JBRGP,content,第一次
14,:第二次：JSPRZ272S9JB,content,第二次
15,:第三次：MT79YKNKARJX,content,第三次
16,:*有效期至2023年09月30日中午 12:00 之前。,default,
17,<br>,default,
18,1.4版本专题展示页：[https://mhyurl.cn/2r4eFBAL 网页链接]<br>,content,版本专题展示页
19,1.4版本PV：[https://www.bilibili.com/video/BV1U34y1G73e/ 网页链接]<br>,content,版本
20,<br>,default,
21,1.4版本结束时间为2023/11/15 06:00（1.4版本将持续5周）,default,
22,}},default,
23,==新场景==,default,
24,*旧武器试验场,default,
25,:七百年前的自动机兵流水线，贝洛伯格重工业最重要的组成部分之一——这些产业与技术早已被众人遗忘。,default,
26,[[文件:1.4前瞻新地图1.png|center|550px]],default,
27,*造物之柱,default,
28,:七百年前，造物引擎于此处拔地而起；七百年后，贝洛伯格的人民再次团结于此，为自由挥洒汗水。,default,
29,[[文件:1.4前瞻新地图2.png|center|550px]],default,
30,==新角色==,default,
31,===五星角色===,default,
32,*{{图标|镜流}}（冰•毁灭）,default,
33,[[文件:1.4前瞻新角色1.png|center|550px]],default,
34,*{{图标|托帕&账账}}（火•巡猎）,default,
35,[[文件:1.4前瞻新角色2.png|center|550px]],default,
36,,default,
37,===四星角色===,default,
38,*{{图标|桂乃芬}}（火•虚无）,default,
39,[[文件:1.4前瞻新角色3.png|center|550px]],default,
40,,default,
41,==新光锥==,default,
42,===五星光锥===,default,
43,*{{图标|此身为剑}}（毁灭）,default,
44,[[文件:1.4前瞻新光锥1.png|center|550px]],default,
45,*{{图标|烦恼着，幸福着}}（巡猎）,default,
46,[[文件:1.4前瞻新光锥2.png|center|550px]],default,
47,,default,
48,==活动跃迁==,default,
49,===第一期卡池===,default,
50,====角色====,default,
51,*五星角色：{{图标|镜流}},content,五星角色
52,*四星角色：{{图标|停云}}{{图标|青雀}}{{图标|桑博}},content,四星角色
53,[[文件:1.4前瞻角色跃迁1.png|center|550px]],default,
54,====光锥====,default,
55,*五星光锥：{{图标|此身为剑}},content,五星光锥
