line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:1.4版本「冬梦激醒」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,一场梦魇的惊醒，一场久别的欢聚…阴霾消散，覆雪下的往事随霜而来。 <br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到1.4版本「冬梦激醒」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2023/10/11 06:00 (UTC+8)开始，预计需要5个小时。<br>,default,
9,{{计时|2023|10|11|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br>,content,端
16,※1.4版本更新后可下载PS5端国际服<br><br>,default,
17,<big>'''补偿说明'''</big><br>,default,
18,■停服更新补偿<br>,default,
19,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
20,补偿对象：2023/10/11 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
21,※领取时间截至1.4版本结束前。<br>,default,
22,※1.4版本结束时间为2023/11/15 06:00 （1.4版本将持续5周） 请开拓者注意。<br><br>,default,
23,■问题修复补偿<br>,default,
24,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
25,补偿对象：2023/10/11 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
26,※请开拓者于2023/11/10 23:59前上线收取邮件。,default,
27,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
28,<big>'''版本内容前瞻'''</big><br>,default,
29,开拓者可点击前往1.4版本「冬梦激醒」专题展示页了解详情。<br>,default,
30,点击前往：https://mhyurl.cn/2r4eFBAL<br><br>,content,点击前往
31,<big>'''设备要求'''</big><br>,default,
32,■推荐配置如下：<br>,content,推荐配置如下
33,*PC端：<br>,content,端
34,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
35,系统：win10 64位或以上系统<br>,content,系统
36,*安卓端：<br>,content,安卓端
37,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
38,内存：6G及以上内存<br>,content,内存
39,系统：Android 9或以上系统<br>,content,系统
40,*iOS端：<br>,content,端
41,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
42,系统：iOS 11.0或以上系统<br>,content,系统
43,<br>,default,
44,■支持配置如下：<br>,content,支持配置如下
45,*PC端：<br>,content,端
46,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
47,系统：win7 64位或以上系统<br>,content,系统
48,*安卓端：<br>,content,安卓端
49,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
50,内存：4G及以上内存<br>,content,内存
51,系统：Android 8或以上系统<br>,content,系统
52,*iOS端：<br>,content,端
53,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
54,系统：iOS 11.0或以上系统<br>,content,系统
55,}},default,
56,==版本全新内容==,default,
57,===1、全新场景===,default,
58,,default,
59,'''■造物之柱''',default,
60,,default,
61,藏匿贝洛伯格所有秘密的终末之地。可可利亚，星核，巨像…冰雪将封存一切记忆。,default,
