line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:1.5版本「迷离幻夜谈」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,幽府来使，列车怪客…航行在深黯的夜空，怪谲诡秘之事总是不期降临。 <br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到1.5版本「迷离幻夜谈」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2023/11/15 06:00 (UTC+8)开始，预计需要5个小时。<br>,default,
9,{{计时|2023|11|15|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2023/11/15 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至1.6版本停服维护前。<br><br>,default,
21,■问题修复补偿<br>,default,
22,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
23,补偿对象：2023/11/15 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
24,※请开拓者于2023/12/15 23:59前上线收取邮件。,default,
25,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
26,<big>'''版本内容前瞻'''</big><br>,default,
27,开拓者可点击前往1.5版本「迷离幻夜谈」专题展示页了解详情。<br>,default,
28,点击前往：https://mhyurl.cn/7XNfFBAL<br><br>,content,点击前往
29,<big>'''设备要求'''</big><br>,default,
30,■推荐配置如下：<br>,content,推荐配置如下
31,*PC端：<br>,content,端
32,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
33,系统：win10 64位或以上系统<br>,content,系统
34,*安卓端：<br>,content,安卓端
35,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
36,内存：6G及以上内存<br>,content,内存
37,系统：Android 9或以上系统<br>,content,系统
38,*iOS端：<br>,content,端
39,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
40,系统：iOS 11.0或以上系统<br>,content,系统
41,<br>,default,
42,■支持配置如下：<br>,content,支持配置如下
43,*PC端：<br>,content,端
44,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
45,系统：win7 64位或以上系统<br>,content,系统
46,*安卓端：<br>,content,安卓端
47,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
48,内存：4G及以上内存<br>,content,内存
49,系统：Android 8或以上系统<br>,content,系统
50,*iOS端：<br>,content,端
51,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
52,系统：iOS 11.0或以上系统<br>,content,系统
53,}},default,
54,==版本全新内容==,default,
55,===1、全新场景===,default,
56,'''■绥园''',default,
57,,default,
58,于数百年前狐人巧匠打造的园林洞天，以供游客们休憩闲游、赋诗宴饮——如今「绥园闹鬼」谣言不胫而走。,default,
59,,default,
60,===2、全新角色===,default,
61,{{图标/角色|藿藿}},default,
62,■5星「藿藿（丰饶•风）」,default,
63,,default,
64,藿藿是一名能够为我方群体恢复能量、提高攻击力，并且能够为我方全体回复生命值的回复型角色。,default,
65,,default,
66,,default,
67,{{图标/角色|银枝}},default,
68,■5星「银枝（智识•物理）」,default,
69,,default,
70,银枝是一名可以通过消耗更多能量，施放更强力终结技的对群输出型角色。银枝击中的目标数越多，获得的暴击率提升越高并能恢复更多的能量。,default,
71,,default,
72,,default,
73,{{图标/角色|寒鸦}},default,
74,■4星「寒鸦（同谐•物理）」,default,
75,,default,
76,寒鸦是一名能够为我方恢复战技点、提高我方指定目标的速度和攻击力的辅助型角色。,default,
77,,default,
78,===3、全新光锥===,default,
79,{{图标/光锥|惊魂夜}},default,
80,■5星「惊魂夜（丰饶）」,default,
81,,default,
82,可通过光锥活动跃迁「流光定影」获得。,default,
83,,default,
84,{{图标/光锥|片刻，留在眼底}},default,
85,■5星「片刻，留在眼底（智识）」,default,
86,,default,
87,可通过光锥活动跃迁「流光定影」获得。,default,
88,,default,
89,{{图标/光锥|嘿，我在这儿}},default,
90,■4星「嘿，我在这儿（丰饶）」,default,
91,,default,
92,可通过活动[[「狐斋志异」]]获得。,default,
93,,default,
94,===4、全新剧情===,branch_content,
95,,default,
96,■开拓续闻「仙舟『罗浮』」-「[[狐斋志异]]」,default,
97,,default,
