line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]][[分类:前瞻直播]],default,
2,{{提示|蓝色|[[1.6版本「庸与神的冠冕」更新专题]]}},default,
3,[[File:星穹铁道1.6版本前瞻直播总结.png|center|link=|900px]],default,
4,{{提示消息|黄色|,default,
5,<big>2023年12月15日 19:30（星期五） 1.6版本前瞻直播内容汇总！</big><br>,default,
6,官方直播间地址：[https://b23.tv/nUcYYjC 网页链接]<br>,content,官方直播间地址
7,录播视频：[https://www.bilibili.com/video/BV1si4y1e7GL 网页链接]<br><br>,content,录播视频
8,国服兑换码：<br>,content,国服兑换码
9,:第一次：JAFYDN472FQQ,content,第一次
10,:第二次：3TEGV7LPJFQ4,content,第二次
11,:第三次：NBEZUNLPJEQY,content,第三次
12,国际服兑换码：<br>,content,国际服兑换码
13,:第一次：7S9SPCJ5CRUT,content,第一次
14,:第二次：QTRTNC3LU9UX,content,第二次
15,:第三次：VA8APU34C8C3,content,第三次
16,:*有效期至2023年12月16日 23:59:59之前。,default,
17,<br>,default,
18,1.6版本专题展示页：[https://mhyurl.cn/6HCgFBAL 网页链接]<br>,content,版本专题展示页
19,1.6版本PV：[https://www.bilibili.com/video/BV1zj411p7KH 网页链接]<br>,content,版本
20,}},default,
21,==匹诺康尼预告==,default,
22,*匹诺康尼，位于阿斯德纳星系。一直以来作为度假胜地闻名寰宇，有着“盛会之星”的美名。,default,
23,*每个琥珀纪仅一次的盛典——家族“谐乐大典”举办在即。本次盛典所有宾客都将入驻白日梦酒店，在这里，您将可以往返现实与梦境，尽情享受独属于您的美梦。,default,
24,*“谐乐大典”作为匹诺康尼传统，具有悠久的历史。本次盛典，家族首次公开向银河各派系发出邀约。,default,
25,*“谐乐大典”主办人、匹诺康尼家族话事人[[星期日]]，与匹诺康尼五大家系全体人员，以及白日梦酒店全体工作人员，欢迎各位一道参加盛大的典礼。,default,
26,<center>[[文件:1.6前瞻匹诺康尼预告1.png|500px]],default,
27,[[文件:1.6前瞻匹诺康尼预告2.png|500px]]</center>,default,
28,[[文件:1.6前瞻匹诺康尼预告3.png|500px|center]],default,
29,==新地图==,default,
