line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:1.6版本「庸与神的冠冕」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,庸与天才，人性与神。于黄金年代察觉，一生斗争皆为荒谬的瞬间。 <br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到1.6版本「庸与神的冠冕」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2023/12/27 06:00 (UTC+8)开始，预计需要5个小时。<br>,default,
9,{{计时|2023|12|27|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2023/12/27 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至2.0版本停服维护前。<br><br>,default,
21,■问题修复补偿<br>,default,
22,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
23,补偿对象：2023/12/27 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
24,※请开拓者于2024/01/26 23:59前上线收取邮件。,default,
25,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
26,<big>'''版本内容前瞻'''</big><br>,default,
27,开拓者可点击前往1.6版本「庸与神的冠冕」专题展示页了解详情。<br>,default,
28,点击前往：https://mhyurl.cn/6HCgFBAL<br><br>,content,点击前往
29,<big>'''设备要求'''</big><br>,default,
30,■推荐配置如下：<br>,content,推荐配置如下
31,*PC端：<br>,content,端
32,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
33,系统：win10 64位或以上系统<br>,content,系统
34,*安卓端：<br>,content,安卓端
35,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
36,内存：6G及以上内存<br>,content,内存
37,系统：Android 9或以上系统<br>,content,系统
38,*iOS端：<br>,content,端
39,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
40,系统：iOS 11.0或以上系统<br>,content,系统
41,<br>,default,
42,■支持配置如下：<br>,content,支持配置如下
43,*PC端：<br>,content,端
44,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
45,系统：win7 64位或以上系统<br>,content,系统
46,*安卓端：<br>,content,安卓端
47,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
48,内存：4G及以上内存<br>,content,内存
49,系统：Android 8或以上系统<br>,content,系统
50,*iOS端：<br>,content,端
51,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
52,系统：iOS 11.0或以上系统<br>,content,系统
53,}},default,
54,==版本全新内容==,default,
55,===1、全新场景===,default,
56,,default,
57,'''■禁闭舱段''',default,
58,,default,
59,曾在人声鼎沸时期有摆渡车频繁穿梭的舱段，因未知异变被封锁，悄无声息地成为空间站少数不对外开放的区域之一。,default,
60,,default,
61,===2、全新角色===,default,
62,{{图标/角色|阮•梅}},default,
63,■5星「阮•梅（同谐•冰）」,default,
64,,default,
65,阮•梅是一名能够提高我方弱点击破效率、速度和全属性抗性穿透的辅助型角色。同时，阮•梅还可以在任意我方角色击破敌方弱点时对其造成额外击破伤害，并使陷入弱点击破状态的敌方行动额外延后。,default,
66,,default,
67,,default,
68,{{图标/角色|真理医生}},default,
69,■5星「真理医生（巡猎•虚数）」,default,
70,,default,
71,真理医生是一名可在自身或队友攻击时触发追加攻击的输出型角色。根据敌方拥有的负面效果数量，真理医生还能获得暴击率、暴击伤害提高的效果。,default,
72,,default,
73,,default,
74,{{图标/角色|雪衣}},default,
75,■4星「雪衣（毁灭•量子）」,default,
76,,default,
77,雪衣是一名重视削减韧性的输出型角色，其终结技可无视弱点属性削减敌方韧性，并在我方削减敌方韧性时获得充能点。当充能点叠加至上限时，将触发雪衣的追加攻击。,default,
78,,default,
79,===3、全新光锥===,default,
80,{{图标/光锥|镜中故我}},default,
81,■5星「镜中故我（同谐）」,default,
82,,default,
83,可通过光锥活动跃迁「流光定影」获得。,default,
84,,default,
85,{{图标/光锥|纯粹思维的洗礼}},default,
86,■5星「纯粹思维的洗礼（巡猎）」,default,
87,,default,
88,可通过光锥活动跃迁「流光定影」获得。,default,
89,,default,
90,===4、全新剧情===,branch_content,
91,,default,
92,■开拓续闻「湛蓝星」-「[[庸与神的冠冕]]」,default,
93,,default,
94,空间站最近十分热闹。模拟宇宙再次更新、天才俱乐部的大人物都齐聚于此，每个人都心思各异——你总觉得会有些意想不到的事情发生……,default,
95,,default,
96,开放时间：1.6版本更新完成后永久开放,content,开放时间
97,,default,
98,开放条件：完成开拓任务「雅利洛-Ⅵ」-「[[静静的星河]]」,content,开放条件
99,,default,
100,===5、全新活动===,default,
101,,default,
102,■[[「异宠拾遗」]],default,
103,,default,
104,香喷喷的点心在空间站乱窜？这不会是在做梦吧？可爱的小家伙在舱室里欢腾跳跃，现在，照顾它们的重任落在了你的肩上……,default,
105,,default,
106,活动时间：1.6版本更新后 - 2024/02/05 03:59,content,活动时间
107,,default,
108,参与条件：完成开拓续闻「湛蓝星」-「[[天才群星闪耀时]]」,content,参与条件
109,,default,
110,,default,
