line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:2.0版本「假如在午夜入梦」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,新的旅程即将开启，「盛会之星」匹诺康尼——在金色的美梦中享受假日吧！<br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到2.0版本「假如在午夜入梦」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2024/02/06 06:00 (UTC+8)开始，预计5个小时完成。<br>,default,
9,{{计时|2024|02|06|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2024/02/06 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至2.1版本停服维护前。<br>,default,
21,※2.0版本结束时间为2024/3/27 06:00 （2.0版本将持续7周） 请开拓者注意。<br><br>,default,
22,■问题修复补偿<br>,default,
23,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
24,补偿对象：2024/02/06 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
25,※请开拓者于2023/03/07 23:59前上线收取邮件。,default,
26,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
27,<big>'''版本内容前瞻'''</big><br>,default,
28,开拓者可点击前往2.0版本「假如在午夜入梦」专题展示页了解详情。<br>,default,
29,点击前往：https://mhyurl.cn/6sfgFBAL<br><br>,content,点击前往
30,<big>'''设备要求'''</big><br>,default,
31,■推荐配置如下：<br>,content,推荐配置如下
32,●PC端：<br>,content,端
33,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
34,系统：win10 64位或以上系统<br>,content,系统
35,●安卓端：<br>,content,安卓端
36,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
37,内存：6G及以上内存<br>,content,内存
38,系统：Android 9或以上系统<br>,content,系统
39,●iOS端：<br>,content,端
40,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
41,系统：iOS 11.0或以上系统<br>,content,系统
42,<br>,default,
43,■支持配置如下：<br>,content,支持配置如下
44,●PC端：<br>,content,端
45,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
46,系统：win7 64位或以上系统<br>,content,系统
47,●安卓端：<br>,content,安卓端
48,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
49,内存：4G及以上内存<br>,content,内存
50,系统：Android 8或以上系统<br>,content,系统
51,●iOS端：<br>,content,端
52,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
53,系统：iOS 11.0或以上系统<br>,content,系统
54,}},default,
55,==版本全新内容==,default,
56,===1、全新场景===,default,
57,,default,
58,'''■「白日梦」酒店-现实''',default,
59,,default,
60,享誉宇宙的豪华酒店，屹立于梦境与现实边缘的巨构建筑。据说能收到它邀请的来宾都非富即贵。,default,
61,,default,
62,,default,
63,'''■黄金的时刻''',default,
64,,default,
65,匹诺康尼最为繁华的「时刻」，一座纸醉金迷的都市。这里的欢歌无止无休，这里的欢宴永不落幕。,default,
66,,default,
67,,default,
68,'''■筑梦边境''',default,
69,,default,
70,仍在建设当中的梦境城市。银河中最有名气的设计师们受邀来到此地，成为匹诺康尼的「筑梦师」。,default,
71,,default,
72,,default,
73,'''■稚子的梦''',default,
74,,default,
75,不知由谁人的记忆异化成的梦境迷域。如今溪涧已经失去流向，时针也早已停止转动。,default,
76,,default,
77,,default,
78,'''■「白日梦」酒店-梦境''',default,
79,,default,
80,「白日梦」酒店在梦境中的倒影。因某种原因而变得支离破碎，现已不对宾客开放。,default,
81,,default,
82,===2、全新角色===,default,
83,{{图标/角色|黑天鹅}},default,
84,■5星「黑天鹅（虚无•风）」,default,
85,,default,
86,黑天鹅是一名能够通过多种方式给敌方目标施加【奥迹】的输出型角色。【奥迹】是一种特殊的持续伤害，黑天鹅能够根据敌方目标陷入【奥迹】的层数触发多种额外效果。,default,
87,,default,
88,,default,
89,{{图标/角色|花火}},default,
90,■5星「花火（同谐•量子）」,default,
91,,default,
92,花火是一名能为我方恢复战技点、提高我方战技点上限的辅助型角色。此外，花火还能使我方指定目标行动提前、暴击伤害提高，并提高我方全体造成的伤害。,default,
93,,default,
94,,default,
95,{{图标/角色|米沙}},default,
96,■4星「米沙（毁灭•冰）」,default,
97,,default,
98,米沙是一名兼具控制能力的输出型角色。米沙的终结技能够使敌方陷入冻结状态，此外，我方消耗战技点后，米沙的终结技可以打出更多的攻击段数。,default,
99,,default,
100,===3、全新光锥===,default,
101,,default,
102,{{图标/光锥|重塑时光之忆}},default,
103,■5星「重塑时光之忆 （虚无）」,default,
104,,default,
105,可通过光锥活动跃迁「流光定影」获得。,default,
106,,default,
107,,default,
108,{{图标/光锥|游戏尘寰}},default,
109,■5星「游戏尘寰（同谐）」,default,
110,,default,
111,可通过光锥活动跃迁「流光定影」获得。,default,
112,,default,
113,,default,
114,{{图标/光锥|铭记于心的约定}},default,
115,■4星「铭记于心的约定（毁灭）」,default,
116,,default,
117,可通过光锥活动跃迁「流光定影」获得。,default,
118,,default,
119,,default,
120,{{图标/光锥|何物为真}},default,
121,■4星「何物为真（丰饶）」,default,
122,,default,
123,可通过使用「流光余晖」在商店「光锥呈现」中兑换。,default,
124,,default,
125,,default,
126,{{图标/光锥|美梦小镇大冒险}},default,
127,■4星「美梦小镇大冒险（同谐）」,default,
128,,default,
129,可通过使用「流光余晖」在商店「光锥呈现」中兑换。,default,
130,,default,
131,,default,
132,{{图标/光锥|最后的赢家}},default,
133,■4星「最后的赢家（巡猎）」,default,
134,,default,
135,可通过使用「流光余晖」在商店「光锥呈现」中兑换。,default,
136,,default,
137,,default,
138,{{图标/光锥|在火的远处}},default,
139,■4星「在火的远处（毁灭）」,default,
140,,default,
141,可通过使用「流光余晖」在商店「光锥呈现」中兑换。,default,
142,,default,
143,,default,
144,{{图标/光锥|织造命运之线}},default,
145,■4星「织造命运之线（存护）」,default,
146,,default,
147,可通过使用「流光余晖」在商店「光锥呈现」中兑换。,default,
148,,default,
149,,default,
150,{{图标/光锥|银河沦陷日}},default,
151,■4星「银河沦陷日（智识）」,default,
152,,default,
153,可通过使用「流光余晖」在商店「光锥呈现」中兑换。,default,
154,,default,
155,,default,
156,{{图标/光锥|好戏开演}},default,
157,■4星「好戏开演（虚无）」,default,
158,,default,
159,可通过使用「流光余晖」在商店「光锥呈现」中兑换。,default,
160,,default,
161,===4、全新剧情===,branch_content,
162,,default,
163,====■开拓任务====,default,
164,「匹诺康尼」-「[[长日入夜行]]」,default,
165,,default,
166,「梦想之地」匹诺康尼，无数逐梦客梦寐以求的享乐主义天堂——准备好加入「钟表匠」的盛宴了吗？,default,
167,,default,
168,开放时间：2.0版本更新完成后永久开放,content,开放时间
169,,default,
170,开放条件：完成开拓任务「仙舟『罗浮』」-「[[安灵布奠，天清路远]]」,content,开放条件
171,,default,
172,====■同行任务====,default,
173,「[[假面双人舞]]」,default,
174,,default,
175,花火给黑天鹅留下了一封诡异的挑战状，后者不得不迎接挑战…,default,
176,,default,
177,开放时间：2.0版本更新完成后永久开放,content,开放时间
178,,default,
179,开放条件：完成开拓任务「匹诺康尼」-「[[是谁杀死了…]]」,content,开放条件
180,,default,
181,===5、全新活动===,default,
182,,default,
183,■[[「《逐梦客时讯》」]],default,
184,,default,
185,前往匹诺康尼的途中，一份花边小报被塞进你的收件箱。姑且瞧瞧吧，万一有什么值得关注的新闻呢。,default,
186,,default,
187,活动时间：2.0版本更新后 - 2024/03/25 03:59,content,活动时间
188,,default,
189,参与条件：完成开拓任务「仙舟『罗浮』」-「[[安灵布奠，天清路远]]」,content,参与条件
190,,default,
191,,default,
192,■[[「哈努兄弟越狱记」]],default,
193,,default,
194,爱德华医生新上架了一枚题材特殊的梦泡，体验过的客人全都好评如潮。究竟是什么内容如此劲爆？只有亲自试过才知道。,default,
195,,default,
196,活动时间：2024/02/08 12:00 - 2024/03/25 03:59,content,活动时间
197,,default,
198,参与条件：完成开拓任务「匹诺康尼」-「犹在镜中」,content,参与条件
199,,default,
200,,default,
201,■[[「惊梦电视台」]],default,
202,,default,
203,匹诺康尼的某些屏幕突然开始播放一些奇怪的节目，引起了你与匹诺康尼电视台的注意……,default,
204,,default,
205,活动时间：2024/02/29 12:00 - 2024/03/25 03:59,content,活动时间
206,,default,
