line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:2.1版本「狂热奔向深渊」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,在欢庆中泪湿，哀悼中欢笑，于最辛酸的糖浆中品出狂人的美梦。<br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到2.1版本「狂热奔向深渊」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2024/03/27 06:00 (UTC+8)开始，预计5个小时完成。<br>,default,
9,{{计时|2024|03|27|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2024/03/27 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至2.2版本停服维护前。<br><br>,default,
21,■问题修复补偿<br>,default,
22,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
23,补偿对象：2024/03/27 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
24,※请开拓者于2023/04/26 23:59前上线收取邮件。,default,
25,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
26,<big>'''版本内容前瞻'''</big><br>,default,
27,开拓者可点击前往2.1版本「狂热奔向深渊」专题展示页了解详情。<br>,default,
28,点击前往：https://mhyurl.cn/01khFBAL<br><br>,content,点击前往
29,<big>'''设备要求'''</big><br>,default,
30,■推荐配置如下：<br>,content,推荐配置如下
31,*PC端：<br>,content,端
32,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
33,系统：win10 64位或以上系统<br>,content,系统
34,*安卓端：<br>,content,安卓端
35,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
36,内存：6G及以上内存<br>,content,内存
37,系统：Android 9或以上系统<br>,content,系统
38,*iOS端：<br>,content,端
39,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
40,系统：iOS '''{{颜色|火1|12.0}}'''或以上系统<br>,content,系统
41,<br>,default,
42,■支持配置如下：<br>,content,支持配置如下
43,*PC端：<br>,content,端
44,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
45,系统：win7 64位或以上系统<br>,content,系统
46,*安卓端：<br>,content,安卓端
47,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
48,内存：4G及以上内存<br>,content,内存
49,系统：Android 8或以上系统<br>,content,系统
50,*iOS端：<br>,content,端
51,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
52,系统：iOS '''{{颜色|火1|12.0}}'''或以上系统<br>,content,系统
53,}},default,
54,==版本全新内容==,default,
55,===1、全新场景===,default,
56,'''■朝露公馆''',default,
57,,default,
58,位于「朝露的时刻」的家族公馆，五大家系家主定期聚首商议要务之处。除受邀请的贵宾外，严禁他人进入。,default,
59,,default,
60,,default,
61,'''■克劳克影视乐园''',default,
62,,default,
63,围绕匹诺康尼著名的卡通形象打造的影视娱乐公园，吸引了无数热爱钟表小子IP的动画爱好者前来观光游玩。,default,
64,,default,
65,===2、全新角色===,default,
66,{{图标/角色|黄泉}},default,
67,■5星「黄泉（虚无•雷）」,default,
68,,default,
69,黄泉是一名通过使敌人陷入负面效果积攒充能点施放终结技的输出型角色。终结技期间无视敌方弱点属性削韧、降低敌方全体属性抗性。在探索时黄泉的秘技还可立即消灭部分敌方目标。,default,
70,,default,
71,,default,
72,{{图标/角色|砂金}},default,
73,■5星「砂金（存护•虚数）」,default,
74,,default,
75,砂金是一名能够为我方全体提供可叠加护盾量的特殊护盾【坚垣筹码】，并提高我方效果抵抗的防御型角色。此外，砂金还可通过多种手段获得充能点并触发追加攻击。,default,
76,,default,
77,,default,
78,{{图标/角色|加拉赫}},default,
79,■4星「加拉赫（丰饶•火）」,default,
80,,default,
81,加拉赫是一名兼具进攻能力的回复型角色。其终结技可攻击全体敌方目标，并使其陷入【酩酊】状态，同时强化加拉赫下一次普攻。我方攻击陷入【酩酊】状态的敌方目标后，回复攻击者生命值。,default,
82,,default,
83,===3、全新光锥===,default,
84,{{图标/光锥|行于流逝的岸}},default,
85,■5星「行于流逝的岸（虚无）」,default,
86,,default,
87,可通过光锥活动跃迁「流光定影」获得。,default,
88,,default,
89,,default,
90,{{图标/光锥|命运从未公平}},default,
91,■5星「命运从未公平（存护）」,default,
92,,default,
93,可通过光锥活动跃迁「流光定影」获得。,default,
94,,default,
95,,default,
96,{{图标/光锥|两个人的演唱会}},default,
97,■4星「两个人的演唱会（存护）」,default,
98,,default,
99,可通过光锥活动跃迁「流光定影」获得。,default,
100,,default,
101,===4、全新剧情===,branch_content,
102,■开拓任务「匹诺康尼」-「[[天鹅绒里的恶魔]]」,default,
103,,default,
104,你见证了砂金口中那足以颠覆匹诺康尼的事实，而接下来，又会有怎样的戏剧上演呢……,default,
105,,default,
106,开放时间：2.1版本更新后永久开放,content,开放时间
107,,default,
108,开放条件：完成开拓任务「匹诺康尼」-「[[是谁杀死了…]]」,content,开放条件
109,,default,
110,===5、全新活动===,default,
111,,default,
112,'''■[[「星间旅行」]]''',default,
113,,default,
114,星穹列车收到了来自无名客的包裹，帕姆等你回列车一起拆开看看……,default,
115,,default,
116,活动时间：2.1版本更新后 - 2024/05/06 03:59,content,活动时间
117,,default,
118,参与条件：开拓等级≥21级,content,参与条件
119,,default,
120,,default,
121,'''■[[「杯中逸事」]]''',default,
122,,default,
123,「惊梦酒吧」的管理者有事外出，委托你接替调饮师的工作。但没想到，光顾酒吧的并非普通客人……,default,
124,,default,
125,活动时间：2024/03/29 12:00 - 2024/05/06 03:59,content,活动时间
126,,default,
127,参与条件：完成开拓任务「匹诺康尼」-「[[行过死荫之地]]」,content,参与条件
128,,default,
129,,default,
130,'''■[[「战意狂潮」]]''',default,
131,,default,
132,维修科的某位科员是你的「迷弟」，他利用忆泡复现出了自己童年时最爱的游戏。他特地托人邀请你前去游玩，还为你贴心地准备好了「辅助功能」，实在是盛情难却……,default,
133,,default,
134,活动时间：2024/04/13 12:00 - 2024/05/06 03:59,content,活动时间
135,,default,
136,参与条件：完成开拓任务「雅利洛-Ⅵ」-「[[静静的星河]]」,content,参与条件
137,,default,
138,,default,
139,'''■[[「庆典祝礼」]]''',default,
140,,default,
141,活动期间，每日登录游戏即可获得签到奖励。完成7日签到累计可领取星轨专票*20！,default,
142,,default,
143,活动时间：2.1版本更新后 - 2024/05/07 03:59,content,活动时间
144,,default,
145,※其他活动请关注后续官方公告。,default,
146,,default,
147,===6、其他内容===,default,
148,,default,
149,====■敌方====,default,
150,{{图标|材料|惊梦剧团的发条暴徒}}{{图标|材料|忆域迷因「何物藏于镜中」}}{{图标|材料|忆域迷因「狂怒褪去之壳」}}{{图标|材料|「石心十人」诡弈砂金}}{{图标|材料|忆域迷因「何物朝向死亡」（完整）}}{{图标|材料|惊梦剧团的十七分熟（错误）}}{{图标|材料|惊梦剧团的甜猿泰山（错误）}},default,
