line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]][[分类:前瞻直播]],default,
2,{{提示|蓝色|[[2.2版本「等醒来再哭泣」更新专题]]}},default,
3,[[File:星穹铁道2.2版本前瞻直播总结.png|center|link=|900px]],default,
4,{{提示消息|黄色|,default,
5,<big>2024年4月26日 19:30（星期五） 2.2版本前瞻直播内容汇总！</big><br>,default,
6,官方直播间地址：[https://b23.tv/nUcYYjC 网页链接]<br>,content,官方直播间地址
7,录播视频：[https://www.bilibili.com/video/BV1nF4m1w7tw 网页链接]<br><br>,content,录播视频
8,国服兑换码：<br>,content,国服兑换码
9,:第一次：7BGZL83M9TYL,content,第一次
10,:第二次：SSYZ492M9BG8,content,第二次
11,:第三次：9SGG4RJ4RA2U,content,第三次
12,国际服兑换码：<br>,content,国际服兑换码
13,:第一次：VSKTGNPMNBRB,content,第一次
14,:第二次：BT3BG67LPS9X,content,第二次
15,:第三次：RSKSYP646TR3,content,第三次
16,:*有效期至2024年4月27日 23:59之前。,default,
17,<br>,default,
18,2.2版本专题展示页：[https://mhyurl.cn/bp6iFBAL 网页链接]<br>,content,版本专题展示页
19,2.2版本PV：[https://www.bilibili.com/video/BV1BD421J7o1 网页链接],content,版本
20,}},default,
21,,default,
22,==新场景==,default,
23,*流梦礁,default,
24,:匹诺康尼于深海中的倒影，家族宣扬的「噩梦」。然而人们有所不知，此原初忆域一隅才是梦境本来的面貌。,default,
25,<center>[[文件:2.2前瞻新场景1.png|450px]][[文件:2.2前瞻新场景2.png|450px]]</center>,default,
26,<center>[[文件:2.2前瞻新场景3.png|450px]][[文件:2.2前瞻新场景4.png|450px]]</center>,default,
27,<center>[[文件:2.2前瞻新场景5.png|450px]]</center>,default,
28,*匹诺康尼大剧院,default,
29,:富丽堂皇、穷极奢华的大剧院。家族以旧时监牢为原型设计而成的巨构，为如今的「谐乐大典」提供了舞台。,default,
30,<center>[[文件:2.2前瞻新场景6.png|450px]][[文件:2.2前瞻新场景7.png|450px]]</center>,default,
31,<center>[[文件:2.2前瞻新场景8.png|450px]][[文件:2.2前瞻新场景9.png|450px]]</center>,default,
32,<center>[[文件:2.2前瞻新场景10.png|450px]]</center>,default,
33,*苏乐达™热砂海选会场,default,
34,:谐乐大典预热海选赛场，热砂的时刻分会场。挑战者的盛宴，逐梦客的华典，全宇宙目光聚集的中心。,default,
35,<center>[[文件:2.2前瞻新场景11.png|450px]][[文件:2.2前瞻新场景12.png|450px]]</center>,default,
36,<center>[[文件:2.2前瞻新场景13.png|450px]][[文件:2.2前瞻新场景14.png|450px]]</center>,default,
37,<center>[[文件:2.2前瞻新场景15.png|450px]]</center>,default,
38,==新角色==,default,
39,===五星角色===,default,
40,*{{图标|知更鸟}}（同谐•物理）,default,
41,[[文件:2.2前瞻新角色1.png|center|550px]],default,
42,*{{图标|波提欧}}（巡猎•物理）,default,
43,[[文件:2.2前瞻新角色2.png|center|550px]],default,
44,,default,
45,==新光锥==,default,
46,===五星光锥===,default,
47,*{{图标|夜色流光溢彩}}（同谐）,default,
48,*{{图标|驶向第二次生命}}（巡猎）,default,
49,===四星光锥===,default,
50,*{{图标|无边曼舞}}（虚无）,default,
51,[[文件:2.2前瞻新光锥1.png|center|550px]],default,
52,*{{图标|为了明日的旅途}}（同谐）,default,
53,[[文件:2.2前瞻新光锥2.png|center|550px]],default,
54,==角色/光锥活动跃迁==,default,
55,===第一期卡池===,default,
56,*五星角色：{{图标|知更鸟}}、{{图标|托帕&账账}},content,五星角色
57,*五星光锥：{{图标|夜色流光溢彩}}、{{图标|烦恼着，幸福着}},content,五星光锥
58,*四星角色：{{图标|三月七}}、{{图标|寒鸦}}、{{图标|雪衣}},content,四星角色
59,*四星光锥：{{图标|论剑}}、{{图标|无边曼舞}}、{{图标|此时恰好}},content,四星光锥
60,<center>[[文件:2.2前瞻角色跃迁1.png|500px]][[文件:2.2前瞻光锥跃迁1.png|500px]]</center>,default,
61,,default,
62,===第二期卡池===,default,
