line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:2.2版本「等醒来再哭泣」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,记忆是梦的开场白，忘却是梦的谢幕礼。<br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到2.2版本「等醒来再哭泣」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2024/05/08 06:00 (UTC+8)开始，预计5个小时完成。<br>,default,
9,{{计时|2024|05|08|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2024/05/08 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至2.3版本停服维护前。<br><br>,default,
21,■问题修复补偿<br>,default,
22,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
23,补偿对象：2024/05/08 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
24,※请开拓者于2023/06/07 23:59前上线收取邮件。,default,
25,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
26,<big>'''版本内容前瞻'''</big><br>,default,
27,开拓者可点击前往2.2版本「等醒来再哭泣」专题展示页了解详情。<br>,default,
28,点击前往：https://mhyurl.cn/bp6iFBAL<br><br>,content,点击前往
29,<big>'''设备要求'''</big><br>,default,
30,■推荐配置如下：<br>,content,推荐配置如下
31,*PC端：<br>,content,端
32,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
33,系统：win10 64位或以上系统<br>,content,系统
34,*安卓端：<br>,content,安卓端
35,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
36,内存：6G及以上内存<br>,content,内存
37,系统：Android 9或以上系统<br>,content,系统
38,*iOS端：<br>,content,端
39,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
40,系统：iOS 12.0或以上系统<br>,content,系统
41,<br>,default,
42,■支持配置如下：<br>,content,支持配置如下
43,*PC端：<br>,content,端
44,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
45,系统：win7 64位或以上系统<br>,content,系统
46,*安卓端：<br>,content,安卓端
47,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
48,内存：4G及以上内存<br>,content,内存
49,系统：Android 8或以上系统<br>,content,系统
50,*iOS端：<br>,content,端
51,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
52,系统：iOS 12.0或以上系统<br>,content,系统
53,}},default,
54,==版本全新内容==,default,
55,=== 1、全新场景 ===,default,
56,'''■流梦礁''',default,
57,,default,
58,匹诺康尼于深海中的倒影，家族宣扬的「噩梦」。然而人们有所不知，此原初忆域一隅才是梦境本来的面貌。,default,
59,,default,
60,,default,
61,'''■苏乐达™热砂海选会场''',default,
62,,default,
63,谐乐大典预热海选赛场，热砂的时刻分会场。挑战者的盛宴，逐梦客的华典，全宇宙目光聚集的中心。,default,
64,,default,
65,,default,
66,'''■匹诺康尼大剧院''',default,
67,,default,
68,富丽堂皇、穷极奢华的大剧院。家族以旧时监牢为原型设计而成的巨构，为如今的「谐乐大典」提供了舞台。,default,
69,,default,
70,=== 2、全新角色 ===,default,
