line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:2.3版本「再见，匹诺康尼」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,匹诺康尼的开拓之旅迎来了美好的结局，是时候走向下一站了——而在那之前，向身后的不眠之夜做个正式道别吧。<br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到2.3版本「再见，匹诺康尼」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2024/06/19 06:00 (UTC+8)开始，预计5个小时完成。<br>,default,
9,{{计时|2024|06|19|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2024/06/19 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至2.4版本停服维护前。<br><br>,default,
21,■问题修复补偿<br>,default,
22,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
23,补偿对象：2024/06/19 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
24,※请开拓者于2023/07/19 23:59前上线收取邮件。,default,
25,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
26,<big>'''版本内容前瞻'''</big><br>,default,
27,开拓者可点击前往2.3版本「再见，匹诺康尼」专题展示页了解详情。<br>,default,
28,点击前往：https://mhyurl.cn/7WLjFBAL<br><br>,content,点击前往
29,<big>'''设备要求'''</big><br>,default,
30,■推荐配置如下：<br>,content,推荐配置如下
31,*PC端：<br>,content,端
32,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
33,系统：win10 64位或以上系统<br>,content,系统
34,*安卓端：<br>,content,安卓端
35,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
36,内存：6G及以上内存<br>,content,内存
37,系统：Android 9或以上系统<br>,content,系统
38,*iOS端：<br>,content,端
39,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
