line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]][[分类:前瞻直播]],default,
2,{{提示|蓝色|[[2.4版本「明霄竞武试锋芒」更新专题]]}},default,
3,[[File:星穹铁道2.4版本前瞻直播总结.png|center|link=|900px]],default,
4,{{提示消息|黄色|,default,
5,<big>2024年7月20日 19:30（星期五） 2.4版本前瞻直播内容汇总！</big><br>,default,
6,官方直播间地址：[https://b23.tv/nUcYYjC 网页链接]<br>,content,官方直播间地址
7,录播视频：https://www.bilibili.com/video/BV1gb42177bS/<br><br>,content,录播视频
8,国服兑换码：<br>,content,国服兑换码
9,:第一次：2UJFW9F7LYMY,content,第一次
10,:第二次：8DJFF8X6LZM4,content,第二次
11,:第三次：KC3FFRE6LZMQ,content,第三次
12,国际服兑换码：<br>,content,国际服兑换码
13,:第一次：NS3ELGCC64LF,content,第一次
14,:第二次：ZA2FMHCD6553,content,第二次
15,:第三次：QSKF4GUV6ML7,content,第三次
16,:*有效期至2024年7月20日 23:59之前。,default,
17,<br>,default,
18,2.4版本专题展示页：https://mhyurl.cn/9iujFBAL<br>,content,版本专题展示页
19,2.4版本PV：https://www.bilibili.com/video/BV1Tm42137LW/,content,版本
20,}},default,
21,{{提示|红色|宽度=100%|※2.4版本结束时间为2024/09/10 06:00，请开拓者注意}},default,
22,==新场景==,default,
23,*幽囚狱,default,
24,:历史悠久的仙舟监狱系统，由仙舟人与持明共建，专司镇压触犯律条，造作诸恶的重犯与孽物。,default,
25,<center>[[文件:2.4前瞻新场景1.png|450px]][[文件:2.4前瞻新场景2.png|450px]]</center>,default,
26,<center>[[文件:2.4前瞻新场景3.png|450px]][[文件:2.4前瞻新场景4.png|450px]]</center>,default,
27,<center>[[文件:2.4前瞻新场景5.png|450px]]</center>,default,
28,,default,
29,==新角色==,default,
30,===五星角色===,default,
31,*{{图标|云璃}}（毁灭•物理）,default,
32,[[文件:2.4前瞻新角色1.png|center|550px]],default,
33,*{{图标|椒丘}}（虚无•火）,default,
34,[[文件:2.4前瞻新角色2.png|center|550px]],default,
35,===四星角色===,default,
36,*{{图标|三月七•巡猎}}（巡猎•虚数）,default,
37,[[文件:2.4前瞻新角色3.png|center|550px]],default,
38,==新光锥==,default,
39,===五星光锥===,default,
40,*{{图标|落日时起舞}}（毁灭）,default,
41,*{{图标|那无数个春天}}（虚无）,default,
42,,default,
43,===四星光锥===,default,
44,*{{图标|芳华待灼}}（同谐）,default,
45,[[文件:2.4前瞻新光锥1.png|center|550px]],default,
46,==角色/光锥活动跃迁==,default,
47,===第一期卡池===,default,
48,*五星角色：{{图标|云璃}}、{{图标|藿藿}},content,五星角色
49,*五星光锥：{{图标|落日时起舞}}、{{图标|惊魂夜}},content,五星光锥
50,*四星角色：{{图标|寒鸦}}、{{图标|驭空}}、{{图标|玲可}},content,四星角色
51,*四星光锥：{{图标|鼹鼠党欢迎你}}、{{图标|此时恰好}}、{{图标|「我」的诞生}},content,四星光锥
52,<center>[[文件:2.4前瞻角色跃迁1.png|500px]][[文件:2.4前瞻光锥跃迁1.png|500px]]</center>,default,
53,===第二期卡池===,default,
54,*五星角色：{{图标|椒丘}}、{{图标|花火}},content,五星角色
55,*五星光锥：{{图标|那无数个春天}}、{{图标|游戏尘寰}},content,五星光锥
56,*四星角色：{{图标|虎克}}、{{图标|桂乃芬}}、{{图标|阿兰}},content,四星角色
57,*四星光锥：{{图标|芳华待灼}}、{{图标|猎物的视线}}、{{图标|秘密誓心}},content,四星光锥
58,<center>[[文件:2.4前瞻角色跃迁2.png|500px]][[文件:2.4前瞻光锥跃迁2.png|500px]]</center>,default,
59,==新任务==,default,
60,*开拓续闻「[[明霄竞武试锋芒•上]]」,default,
61,:罗浮仙舟的演武仪典举行在即，不同世界的宾客纷至沓来，但他们所瞩目的却并不只有演武仪典……,default,
62,:※该内容支持通过「终末视界」功能提前体验。,default,
63,:※完成开拓续闻「仙舟『罗浮』」-「[[授剑传行，腾然流星]]」后可解锁三月七的「巡猎」命途，推荐开拓者解锁三月七的「巡猎」命途后，优先参与活动[[「初花习剑录」]]。,default,
64,[[文件:2.4前瞻新任务1.png|center|550px]],default,
65,*同行任务「[[铸剑为犁]]」（云璃）,default,
66,:异星使团归还流落异乡的仙舟宝剑，云璃想邀你一同参加赠剑仪式……,default,
67,[[文件:2.4前瞻新任务2.png|center|550px]],default,
68,,default,
69,==新活动==,default,
70,*版本活动：[[「初花习剑录」]],content,版本活动
71,:演武仪典在即，三月七受邀成为彦卿、云璃的剑术学徒。而你将作为她的助教，规划练剑日程，帮助她取得剑斗胜利……,default,
72,:※该内容支持通过「终末视界」功能提前体验。,default,
73,:※在「初花习剑录」中完成不同故事走向的结局可获得【三月七•巡猎】的星魂*3.,default,
74,:※开拓者可于2.5版本的活动中获取剩余的【三月七•巡猎】的星魂。,default,
75,[[文件:2.4前瞻新活动1.png|center|550px]],default,
76,*小活动1：[[「日抛忆质留影计划」]],content,小活动
77,:来自匹诺康尼的见习医生正在星槎海招募一位助手，来协助他完成一项特别的拍摄计划。,default,
78,:※该内容支持通过「终末视界」功能提前体验。,default,
79,[[文件:2.4前瞻新活动2.png|center|550px]],default,
80,*小活动2：[[「开拓，友谊魔法！」]],content,小活动
81,:曾在梦中相会的灰色朋友只身来到贝洛伯格的现实世界，他前来解决一桩不明黑影袭击居民的危机，但急需你与伙伴们的帮助……,default,
82,[[文件:2.4前瞻新活动7.png|center|550px]],default,
83,*签到活动：[[「巡星之礼」第十期]],content,签到活动
84,:活动期间，完成7日签到累计可领取{{图标|星轨专票|10}}！,default,
85,[[文件:2.4前瞻新活动3.png|center|550px]],default,
86,*位面饰品双倍活动：[[「位面分裂」第十期]],content,位面饰品双倍活动
87,[[文件:2.4前瞻新活动5.png|center|550px]],default,
88,*拟造花萼双倍活动：[[「花藏繁生」第六期]],content,拟造花萼双倍活动
89,[[文件:2.4前瞻新活动6.png|center|550px]],default,
90,,default,
91,==新敌人==,default,
92,*{{图标|咆哮灵柩}},default,
93,:博识学会研发的战斗机器。以步离人的生物组织为部件，兼具长生种顽强的生命力与无数岁月进化所得的「杀戮算法」。,default,
94,*{{图标|玄爪狼卒}}、{{图标|蚀月狼卒}},default,
95,[[文件:2.4前瞻新敌人1.png|center|550px]],default,
96,,default,
97,==系统更新==,default,
98,*遗器筛选功能优化,default,
99,:2.4版本更新后，开拓者可以根据套装、稀有度、主属性、副属性对遗器进行批量筛选。,default,
100,:开拓者在进行筛选时，可将本次筛选方案进行保存，后续可快速应用。,default,
101,:遗器背包内新增一键锁定和一键弃置功能。,default,
102,[[文件:2.4前瞻系统更新1.png|center|550px]],default,
103,*遗器建议功能优化,default,
104,:2.4版本更新后，开拓者为角色装备遗器时，可点击「建议」查看遗器推荐副属性，并根据副属性进行遗器筛选。,default,
105,:若开拓者选中的遗器的副属性与系统推荐副属性对应，则遗器详情中对应的副属性将会高亮。,default,
106,:开拓者挑战「侵蚀隧洞」「模拟宇宙」「差分宇宙」时，可查看适合装备对应遗器的推荐角色。,default,
107,:在为角色挑选遗器时，将按照该角色适配遗器套装的「优先度」进行排序。,default,
108,[[文件:2.4前瞻系统更新2.png|center|550px]],default,
109,:在模拟宇宙界面和星际和平指南查看侵蚀隧洞时，能够查看推荐使用角色。,default,
110,[[文件:2.4前瞻系统更新3.png|center|550px]],default,
111,*「终末视界」功能支持更多内容,default,
112,:2.4版本更新后，当开拓者完成特定条件后，对于符合提前体验要求的内容，开拓者可以通过「终末视界」功能提前体验。,default,
113,:2.4版本的内容中，开拓续闻「明霄竞武试锋芒•上」、活动「初花习剑录」「日抛忆质留影计划」将支持开拓者通过「终末视界」功能提前体验。,default,
114,[[文件:2.4前瞻系统更新4.png|center|550px]],default,
115,,default,
116,==联动==,default,
117,*星穹铁道 × Keep 仙舟系列运动企划「该出奇兵了」7月26日开启,default,
118,[[文件:2.4前瞻联动1.png|center|550px]],default,
119,*《崩坏：星穹铁道》 × FateUBW联动将于2025年夏季开启,content,崩坏
120,[[文件:2.4前瞻联动2.png|center|550px]],default,
