line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:2.4版本「明霄竞武试锋芒」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,演武仪典行将启幕，八方宾客纷至沓来。幽狱重牢之底，关押已久的恶兽爪牙蠢动。<br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到2.4版本「明霄竞武试锋芒」！<br><br>,default,
7,<big>'''更新时间'''</big><br>,default,
8,2024/07/31 06:00 (UTC+8)开始，预计5个小时完成。<br>,default,
9,{{计时|2024|07|31|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br><br>,content,端
16,<big>'''补偿说明'''</big><br>,default,
17,■停服更新补偿<br>,default,
18,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
19,补偿对象：2024/07/31 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
20,※领取时间截至2.5版本停服维护前。<br>,default,
21,※请注意：2.4版本结束时间为2024/09/10 06:00。<br>,content,请注意
22,※请注意：若开拓者尚未完成前置版本中开拓任务、开拓续闻、同行任务、冒险任务等剧情内的「拓境探游」关卡，在2.4版本更新后，该「拓境探游」关卡进度将被重置。<br><br>,branch_content,请注意
23,■问题修复补偿<br>,default,
24,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
25,补偿对象：2024/07/31 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
26,※请开拓者于2023/08/30 23:59前上线收取邮件。,default,
27,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
28,<big>'''版本内容前瞻'''</big><br>,default,
29,开拓者可点击前往2.4版本「明霄竞武试锋芒」专题展示页了解详情。<br>,default,
30,点击前往：https://mhyurl.cn/9iujFBAL<br><br>,content,点击前往
31,<big>'''设备要求'''</big><br>,default,
32,■推荐配置如下：<br>,content,推荐配置如下
33,*PC端：<br>,content,端
34,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
35,系统：win10 64位或以上系统<br>,content,系统
36,*安卓端：<br>,content,安卓端
37,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
38,内存：6G及以上内存<br>,content,内存
39,系统：Android 9或以上系统<br>,content,系统
40,*iOS端：<br>,content,端
41,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
42,系统：iOS 12.0或以上系统<br>,content,系统
43,<br>,default,
44,■支持配置如下：<br>,content,支持配置如下
45,*PC端：<br>,content,端
46,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
47,系统：win7 64位或以上系统<br>,content,系统
48,*安卓端：<br>,content,安卓端
49,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
50,内存：4G及以上内存<br>,content,内存
51,系统：Android 8或以上系统<br>,content,系统
52,*iOS端：<br>,content,端
53,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
54,系统：iOS 12.0或以上系统<br>,content,系统
55,}},default,
56,==版本全新内容==,default,
57,===1、全新场景===,default,
58,■'''幽囚狱''',default,
59,,default,
60,历史悠久的仙舟监狱系统，由仙舟人与持明共建，专司镇压触犯律条，造作诸恶的重犯与孽物。,default,
61,,default,
62,=== 2、全新角色 ===,default,
63,{{图标/角色|云璃}},default,
64,■5星「云璃（毁灭•物理）」,default,
65,,default,
66,云璃是一名受到攻击时可自动进行扩散反击的输出型角色。此外，当云璃使用终结技后，可主动进入【格挡】状态并嘲讽敌方，期间受到攻击或【格挡】结束时，云璃立即对敌方施放强力反击技。,default,
67,,default,
68,{{图标/角色|椒丘}},default,
69,■5星「椒丘（虚无•火）」,default,
70,,default,
71,椒丘是一名通过对敌方施加【烬煨】使敌方受到的伤害提高且对敌方造成灼烧伤害的辅助型角色。椒丘施放终结技后开启结界，处于结界中的敌方目标受到的终结技伤害提高。,default,
72,,default,
73,{{图标/角色|三月七•巡猎}},default,
74,■4星「三月七（巡猎•虚数）」,default,
75,,default,
76,三月七（巡猎•虚数）是一名通过向队友拜师从而获得不同强化的输出型角色。通过【师父】及自身的各类行动获取一定充能点后，三月七还可施放更加强力的攻击。,default,
77,,default,
78,=== 3、全新光锥 ===,default,
79,{{图标/光锥|落日时起舞}},default,
80,■5星「落日时起舞（毁灭）」,default,
81,,default,
82,可通过光锥活动跃迁「流光定影」获得。,default,
83,,default,
84,{{图标/光锥|那无数个春天}},default,
85,■5星「那无数个春天（虚无）」,default,
86,,default,
87,可通过光锥活动跃迁「流光定影」获得。,default,
88,,default,
89,{{图标/光锥|芳华待灼}},default,
90,■4星「芳华待灼（同谐）」,default,
91,,default,
92,可通过光锥活动跃迁「流光定影」获得。,default,
93,,default,
94,=== 4、全新剧情 ===,branch_content,
95,,default,
96,■开拓续闻「仙舟『罗浮』」-「[[明霄竞武试锋芒•上]]」,default,
97,,default,
98,*罗浮仙舟的演武仪典举行在即，不同世界的宾客纷至沓来，但他们所瞩目的却并不只有演武仪典……,default,
99,,default,
100,*开放时间：2.4版本更新后永久开放,content,开放时间
101,,default,
102,*参与条件：开拓等级≥21级,content,参与条件
103,,default,
104,※本内容支持通过【终末视界】功能提前体验。,default,
105,,default,
106,※建议开拓者完成开拓任务「仙舟『罗浮』」-「[[安灵布奠，天清路远]]」后体验本内容。,default,
107,,default,
108,,default,
109,■同行任务「[[铸剑为犁]]」,default,
110,,default,
111,*异星使团归还流落异乡的仙舟宝剑，云璃想邀你一同参加赠剑仪式……,default,
112,,default,
113,*开放时间：2.4版本更新后永久开放,content,开放时间
114,,default,
115,*开放条件：完成开拓任务「仙舟『罗浮』」-「[[安灵布奠，天清路远]]」和「仙舟『罗浮』」-「[[狼戾亡命，群凶未定]]」,content,开放条件
116,,default,
117,,default,
