line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,[[文件:2.5版本「碧羽飞黄射天狼」更新专题.png|900px|center]],default,
3,{{提示消息|黄色|,default,
4,群狼环伺，猎手挽弓。高天之上，竞锋舰中，罗浮仙舟的演武仪典即将展开血之角逐……<br>,default,
5,亲爱的开拓者：<br>,content,亲爱的开拓者
6,欢迎来到2.5版本：「‍碧羽飞黄射天狼」！<br><br>,content,版本
7,<big>'''更新时间'''</big><br>,default,
8,2024/09/10 06:00:00 (UTC+8)开始，预计5个小时完成。<br>,default,
9,{{计时|2024|09|10|6|00|编号=1}},default,
10,更新时间可能会根据实际情况有所调整，请开拓者以实际能够进入游戏的时间为准。<br><br>,default,
11,<big>'''更新方式'''</big><br>,default,
12,版本更新维护开始后，开拓者可依照游戏内指引进行更新。<br>,default,
13,*PC端：关闭游戏后，重启启动器并点击更新<br>,content,端
14,*安卓端：进入游戏后，按照游戏内弹窗提示完成更新<br>,content,安卓端
15,*iOS端：进入App Store，点击更新<br>,content,端
16,*PS5™: 打开系统界面-选择《崩坏：星穹铁道》-按下手柄OPTIONS键-选择确认升级<br><br>,content,崩坏
17,<big>'''补偿说明'''</big><br>,default,
18,■停服更新补偿<br>,default,
19,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
20,补偿对象：2024/09/10 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
21,※领取时间截至2.5版本结束前。<br>,default,
22,※请注意：2.5版本结束时间为2024/10/23 06:00。<br>,content,请注意
23,※请注意：若开拓者尚未完成前置版本中开拓任务、开拓续闻、同行任务、冒险任务等剧情内的「拓境探游」关卡，在2.4版本更新后，该「拓境探游」关卡进度将被重置。<br><br>,branch_content,请注意
24,■问题修复补偿<br>,default,
25,补偿内容：{{图标|星琼|300}}<br>,content,补偿内容
26,补偿对象：2024/09/10 06:00 (UTC+8)前，开拓等级≥4级的开拓者<br>,content,补偿对象
27,※请开拓者于2024/10/10 23:59:00 (UTC+8)前上线收取邮件。,default,
28,以上补偿列车组将在更新完成后的5小时内，以游戏内邮件的形式为开拓者发放补偿，请及时领取补偿。<br><br>,default,
29,<big>'''版本内容前瞻'''</big><br>,default,
30,开拓者可点击前往2.5版本「碧羽飞黄射天狼」专题展示页了解详情。<br>,default,
31,点击前往：https://mhyurl.cn/462kFBAL<br><br>,content,点击前往
32,<big>'''设备要求'''</big><br>,default,
33,■推荐配置如下：<br>,content,推荐配置如下
34,*PC端：<br>,content,端
35,设备：i7/8G内存/独立显卡、GTX1060及以上配置<br>,content,设备
36,系统：win10 64位或以上系统<br>,content,系统
37,*安卓端：<br>,content,安卓端
38,设备：CPU为骁龙855、天玑1000、麒麟990及以上性能处理器安卓设备<br>,content,设备
39,内存：6G及以上内存<br>,content,内存
40,系统：Android 9或以上系统<br>,content,系统
41,*iOS端：<br>,content,端
42,设备：iPhoneX、iPhoneXR及以上机型；搭载A12及以上型号处理器的iPad<br>,content,设备
43,系统：iOS 12.0或以上系统<br>,content,系统
44,<br>,default,
45,■支持配置如下：<br>,content,支持配置如下
46,*PC端：<br>,content,端
47,设备：i3/6G内存/独立显卡、GTX650及以上配置<br>,content,设备
48,系统：win7 64位或以上系统<br>,content,系统
49,*安卓端：<br>,content,安卓端
50,设备：CPU为骁龙835、天玑720、麒麟810及以上性能处理器安卓设备<br>,content,设备
51,内存：4G及以上内存<br>,content,内存
52,系统：Android 8或以上系统<br>,content,系统
53,*iOS端：<br>,content,端
54,设备：iPhone 8 Plus及以上机型；搭载A10及以上型号处理器的iPad<br>,content,设备
55,系统：iOS 12.0或以上系统<br>,content,系统
56,}},default,
57,==版本全新内容==,default,
58,===1、全新场景===,default,
59,■'''竞锋舰''',default,
60,,default,
61,为了筹办星天演武仪典，罗浮仙舟将一艘军用巨舰加以改造，作为守擂争锋之地。,default,
62,,default,
63,=== 2、全新角色 ===,default,
64,{{图标/角色|飞霄}},default,
65,■5星「飞霄（巡猎•风）」,default,
66,,default,
67,飞霄是通过【飞黄】施放终结技的输出型角色，我方全体攻击即可积累【飞黄】。此外，我方发动攻击后，飞霄还可以对目标发动追加攻击。,default,
68,,default,
69,{{图标/角色|灵砂}},default,
