line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]][[分类:前瞻直播]],default,
2,{{提示|蓝色|[[2.6版本「毗乃昆尼末法世记」更新专题]]}},default,
3,[[File:星穹铁道2.6版本前瞻直播总结.png|center|link=|900px]],default,
4,{{提示消息|黄色|,default,
5,<big>2024年10月11日 19:30（星期五） 2.6版本前瞻直播内容汇总！</big><br>,default,
6,官方直播间地址：[https://b23.tv/nUcYYjC 网页链接]<br>,content,官方直播间地址
7,录播视频：<br><br>,content,录播视频
8,国服兑换码：<br>,content,国服兑换码
9,:第一次：NVXA84D68HXC,content,第一次
10,:第二次：2VWS84DNRZXY,content,第二次
11,:第三次：7DWS8MCN8ZXL,content,第三次
12,国际服兑换码：<br>,content,国际服兑换码
13,:第一次：3BKGPPN4VJN3,content,第一次
14,:第二次：2T3Z77PLCK67,content,第二次
15,:第三次：WB3H6664CK9T,content,第三次
16,:*有效期至2024年10月12日 23:59之前。,default,
17,<br>,default,
18,2.6版本专题展示页：https://mhyurl.cn/0TskFBAL<br>,content,版本专题展示页
19,2.6版本PV：https://www.bilibili.com/video/BV1eM2gY3EKx,content,版本
20,}},default,
21,,default,
22,==新场景==,default,
23,* 折纸大学,default,
24,:,default,
25,<center>[[文件:2.6前瞻新场景1.png|450px]][[文件:2.6前瞻新场景2.png|450px]]</center>,default,
26,<center>[[文件:2.6前瞻新场景3.png|450px]][[文件:2.6前瞻新场景4.png|450px]]</center>,default,
27,<center>[[文件:2.6前瞻新场景5.png|450px]]</center>,default,
28,,default,
29,==新角色==,default,
30,===五星角色===,default,
31,*{{图标|乱破}}（智识•虚数）,default,
32,[[文件:2.6前瞻新角色1.png|center|550px]],default,
33,==新光锥==,default,
34,===五星光锥===,default,
35,*{{图标|忍法帖•缭乱破魔}}（智识）,default,
36,===四星光锥===,default,
37,*{{图标|梦的蒙太奇}}（丰饶）,default,
38,,default,
39,==角色/光锥活动跃迁==,default,
40,===第一期卡池===,default,
41,*五星角色：{{图标|乱破}}、{{图标|丹恒•饮月}},content,五星角色
42,*五星光锥：{{图标|忍法帖•缭乱破魔}}、{{图标|比阳光更明亮的}},content,五星光锥
43,*四星角色：{{图标|玲可}}、{{图标|雪衣}}、{{图标|驭空}},content,四星角色
44,*四星光锥：{{图标|梦的蒙太奇}}、{{图标|谐乐静默之后}}、{{图标|在蓝天下}},content,四星光锥
45,===第二期卡池===,default,
46,*五星角色：{{图标|黄泉}}、{{图标|砂金}},content,五星角色
47,*五星光锥：{{图标|行于流逝的岸}}、{{图标|命运从未公平}},content,五星光锥
48,*四星角色：{{图标|三月七}}、{{图标|桑博}}、{{图标|佩拉}},content,四星角色
49,*四星光锥：{{图标|余生的第一天}}、{{图标|无边曼舞}}、{{图标|别让世界静下来}},content,四星光锥
50,==新任务==,default,
51,*开拓续闻「[[蕉恶非道•无忍以之战]]」,default,
52,:终日笑歌舞，吴暮寝不醒—梦土如久置的蕉皮，遍布漆黑的污点，不可容忍！寻回正法，灭却末法之世吧！,default,
53,[[文件:2.6前瞻新任务1.png|center|550px]],default,
54,*同行任务,default,
55,:,default,
56,[[文件:2.6前瞻新任务2.png|center|550px]],default,
57,,default,
58,==新活动==,default,
59,*版本活动：[[音律狩猎忍法帖]],content,版本活动
60,:音律盛典暗藏祸害，缭乱•忍侠坐镇演台—狩猎再开！乐队演出即将启幕，超绝精彩！,default,
61,[[文件:2.6前瞻新活动1.png|center|550px]],default,
62,*小活动1：[[寒腿叔叔的小店]],content,小活动
63,:寒腿叔叔的小店桑博好像在贝洛伯格张罗着什么新的生意。实在是太可疑了————但万一可以拿到什么好处呢？,default,
64,[[文件:2.6前瞻新活动2.png|center|550px]],default,
65,*小活动2：[[游侠谜影]],content,小活动
66,:空间站的科员又接了什么新的项目？一切线索扑朔迷离，谜团萦绕在巡海游侠的身影上，而你似乎是唯一的知情者….……,default,
67,*新模拟宇宙DLC：[[模拟宇宙：不可知域]],content,新模拟宇宙
68,:黑塔等人为「扩展装置」添加了新的演算分支：一片无法观测的区域，学士与天才，鲁珀特二世的遗产将众人卷入漩涡……,content,添加了新的演算分支
69,[[文件:2.6前瞻新活动7.png|center|550px]],default,
70,*签到活动：[[「巡星之礼」第十二期]],content,签到活动
71,:活动期间，完成7日签到累计可领取{{图标|星轨专票|10}}！,default,
72,[[文件:2.6前瞻新活动3.png|center|550px]],default,
73,*位面饰品双倍活动：[[「位面分裂」第十二期]],content,位面饰品双倍活动
74,[[文件:2.6前瞻新活动5.png|center|550px]],default,
75,*拟造花萼双倍活动：[[「花藏繁生」第七期]],content,拟造花萼双倍活动
76,[[文件:2.6前瞻新活动6.png|center|550px]],default,
77,,default,
78,==新敌人==,default,
79,*奇想林中的蕉研组,default,
80,[[文件:2.6前瞻新敌人1.png|center|550px]],default,
81,*,default,
82,,default,
83,==系统更新==,default,
84,*,default,
85,,default,
86,==联动==,default,
87,*水月雨联动耳机,default,
88,*听障公益计划,default,
