line_number,content,category,character
1,{{活动信息,default,
2,|名称=「《逐梦客时讯》」,default,
3,|所属版本=2.0,default,
4,|系列活动=,default,
5,|开始时间=2024/02/06 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2.0版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/03/25 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=探索<!--选填-->,default,
11,|条件限制=完成开拓任务「仙舟『罗浮』」-「[[安灵布奠，天清路远]]」,default,
12,|活动描述=前往匹诺康尼的途中，一份花边小报被塞进你的收件箱。姑且瞧瞧吧，万一有什么值得关注的新闻呢。,default,
13,|官方公告链接=https://www.bilibili.com/opus/894485368130240696<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=4<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=星琼*500、燃料、漫游指南、遗失晶块,default,
21,}},default,
22,===活动说明===,default,
23,*活动开放期间，开拓者可在页面中查看所有时讯内容。,default,
24,*在匹诺康尼完成指定时讯后，即可于相应页面中领取奖励。,default,
25,*活动开放期间，每条时讯完成后，其奖励仅可领取一次。,default,
26,<!-- ==活动玩法==,default,
27,===玩法介绍===,default,
28,<gallery>,default,
29,活动名-玩法介绍.jpg,default,
30,</gallery>,default,
31,===规则说明===,default,
32,{| class=wikitable,default,
33,!教程图名,default,
34,|[[File:活动名-规则说明1.png|400px]],default,
35,|教程图文本描述,default,
36,|-,default,
37,!教程图名,default,
38,|[[File:活动名-规则说明2.png|400px]],default,
39,|教程图文本描述,default,
40,|} -->,default,
41,,default,
42,<!-- ==社媒专栏== -->,default,
43,==活动剧情==,branch_content,
44,===活动任务===,default,
45,{{#ask:[[分类:活动任务]][[系列任务::~*此处写任务系列名*]],default,
46,|?系列任务,default,
47,|format=outline,default,
48,|sort=任务编号,default,
49,|outlineproperties=系列任务}},default,
50,<!-- ==活动内容==-->,default,
51,,default,
52,==活动奖励==,default,
53,===限时奖励===,default,
54,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
