line_number,content,category,character
1,{{活动信息,default,
2,|名称={{PAGENAME}},default,
3,|所属版本=2.2,default,
4,|系列活动=,default,
5,|开始时间=2024/05/17 04:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/06/03 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=委托<!--选填-->,default,
11,|条件限制=开拓等级≥21级,default,
12,|活动描述=星际牛仔在银河间引起轩然大波，多方势力齐齐发出委托。对于身手了得的你来说，这是一个绝佳的发财机会……,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=波提欧<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=应物科的科员捷德在空间站里到处找你似有所求，她将机密之事告知与你，这背后的一切竟要从某位闹腾的「星际牛仔」说起…<!--可留空-->,default,
19,|所属地区=1<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=星琼*500、漫游指南、遗失晶块、信用点,default,
21,}},default,
22,===活动说明===,default,
23,*活动开启时将发布24个委托，最多同时承接4个委托。,default,
24,*每次至少需要委派两名角色来完成任务。委派时将获得委派评价，从高到低分为S、A、B三等。使用推荐命途或高等级角色可提高委派评价，并获得额外奖励。,default,
25,*活动委托不占用常规委托数量上限和常规委托角色，每个活动委托可以委派1名好友支援角色。,default,
26,'''活动奖励''',default,
27,*活动期间，开拓者委派角色完成活动委托可获得奖励。,default,
28,<!-- ==活动玩法==,default,
29,===玩法介绍===,default,
30,<gallery>,default,
31,活动名-玩法介绍.jpg,default,
32,</gallery>,default,
33,===规则说明===,default,
34,{| class=wikitable,default,
35,!教程图名,default,
36,|[[File:活动名-规则说明1.png|400px]],default,
37,|教程图文本描述,default,
38,|-,default,
39,!教程图名,default,
40,|[[File:活动名-规则说明2.png|400px]],default,
41,|教程图文本描述,default,
42,|} -->,default,
43,<!-- ==社媒专栏== -->,default,
44,==活动剧情==,branch_content,
45,===活动任务===,default,
46,*[[人情利益]],default,
47,<!-- ==活动内容==,default,
48,==活动奖励==,default,
49,-->,default,
50,==无名勋礼奖励==,default,
51,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
52,|{{图标|材料|无名客的经验|1400}},default,
53,| 在「关于波提欧的一切…」中完成所有特殊委托,default,
54,|},default,
