line_number,content,category,character
1,{{活动信息,default,
2,|名称=「冬城博物珍奇簿」,default,
3,|所属版本=1.1,default,
4,|开始时间=2023/06/09 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/08/07 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=版本活动、常驻活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|TAG=剧情、模拟<!--选填-->,branch_content,
10,|条件限制=开拓等级≥21级<br>完成开拓任务「雅利洛-Ⅵ」-「[[静静的星河]]」,default,
11,|活动描述=贝洛伯格历史文化博物馆已经修葺完毕，开拓者将作为代理馆长主导经营和发展，只为让展馆的人气重回鼎盛。,default,
12,|官方公告链接=https://www.bilibili.com/read/cv24194054<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=佩拉、娜塔莎、虎克、布洛妮娅、希儿、克拉拉、史瓦罗、希露瓦、桑博、杰帕德、斯薇塔、艾丽斯、于尔丹、雷比尼、鲍里斯、多米尼克、尼古莱、查威、华劳斯、诺尔伯特<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=<!--可留空-->,default,
15,|光锥获取=<!--可留空-->,default,
16,|介绍语=<!--可留空-->,default,
17,|活动时间补充=※限时活动结束后，「冬城博物珍奇簿」将收录至「常时传略」中，开拓者可前往继续体验常驻玩法。,default,
18,|所属地区=2,default,
19,}}<!--,default,
20,-->===活动说明===,default,
21,*「冬城博物珍奇簿」活动共分为【博物馆经营】和【展品及助理收集】两个模块。,default,
22,*限时活动期间，达成经营与收集目标可在「限时奖励」中领取奖励。,default,
23,<br>,default,
24,'''■博物馆经营''',default,
25,*玩法解锁时，将开启「漫藏诲盗」系列冒险任务，完成「[[漫藏诲盗•其一]]」即可开始博物馆经营。,default,
26,*博物馆经营共有5个阶段，可通过经营获取「振兴值」，完成每个阶段的累计目标后即可提升阶段，并解锁新的展区。,default,
27,*经营日开启时，可通过花费发展资金升级展区，或雇佣助理的形式来提升「振兴值」的获取。,default,
28,*完成各个经营阶段时，将获取经营阶段奖励。,default,
29,<br>,default,
30,'''■展品及助理收集''',default,
31,*在博物馆经营的过程中，开拓者将获得额外经营目标，或遇到偶发事件。经营目标及事件均提供失落展品的线索，完成后可将展品储存至博物馆珍藏。,default,
32,*特邀助理可通过完成「漫藏诲盗」系列冒险任务、或偶发事件中的导览员募集系列任务获取。,default,
33,*收集到新展品、或是特邀助理入职后，可在「珍奇簿」中领取收集奖励。,default,
34,===注意事项===,default,
35,*「冬城博物珍奇簿」限时活动结束后，开拓者将无法获取限时活动奖励。但仍可前往贝洛伯格行政区「历史文化博物馆」中体验。,default,
36,==官方公告==,default,
37,亲爱的开拓者：<br><br>,content,亲爱的开拓者
38,已知「冬城博物珍奇簿」活动在达到辉煌鼎盛阶段后无法继续经营，导致部分开拓者无法完成限时任务的问题。<br>,default,
39,该问题将在{{颜色|描述|1.2版本更新后}}修复完成，限时活动奖励获取时间也将{{颜色|描述|延期至2023/08/07 03:59}}。修复完成后，达到辉煌鼎盛阶段后开拓者{{颜色|描述|可继续经营博物馆}}，完成任务并领取限时活动奖励。<br>,default,
40,由于本次「冬城博物珍奇簿」活动延期，给开拓者造成了不便与困扰，列车组深表歉意，并为开拓者发放问题补偿，具体如下：<br><br>,content,具体如下
41,'''▌补偿内容'''<br>,default,
42,{{图标|星琼|120}}（活动延期补偿）<br>,default,
43,1.2版本将于2023/07/19 06:00 开始停服维护，预计5个小时完成。{{颜色|描述|补偿将在维护完成后统一发放}}。<br><br>,default,
44,'''▌补偿范围'''<br>,default,
45,2023/07/19 06:00前，{{颜色|描述|开拓等级≥21}}级且完成开拓任务{{颜色|描述|「雅利洛-Ⅵ」-「静静的星河」}}的开拓者<br>,default,
46,补偿将会以游戏内邮件的形式发放。请开拓者于2023/08/17 23:59前上线收取邮件，并及时领取补偿。<br><br>,default,
47,,default,
48,感谢您对《崩坏：星穹铁道》的关注与支持！,content,崩坏
49,,default,
50,<!--,default,
51,==玩法教学==,default,
52,,default,
53,==活动内容==,default,
54,-->,default,
55,==活动剧情==,branch_content,
56,===活动任务===,default,
57,{{#ask:[[分类:活动任务]][[系列任务::~*冬城博物珍奇簿*]],default,
58,|?系列任务,default,
59,|format=outline,default,
60,|sort=任务编号,default,
61,|outlineproperties=系列任务}},default,
62,===NPC对话===,default,
63,{{折叠|折叠=是|标题=完成博物馆第五阶段经营|内容=,default,
64,*艾丽斯：真是不可思议…开拓者小姐/先生，在您的帮助下，历史文化博物馆已经成为贝洛伯格最热闹的景点了！,content,艾丽斯
