line_number,content,category,character
1,{{活动信息,default,
2,|名称={{PAGENAME}},default,
3,|所属版本=2.4,default,
4,|系列活动=,default,
5,|开始时间=2024/07/31<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2.4版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/09/09 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=版本活动、常驻活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=剧情、战斗、装饰获取、模拟<!--选填-->,branch_content,
11,|条件限制=开拓等级≥21级,default,
12,|活动描述=演武仪典在即，三月七受邀成为彦卿、云璃的剑术学徒。而你将作为她的助教，规划练剑日程，帮助她取得剑斗胜利。,default,
13,|官方公告链接=https://t.bilibili.com/959796341903458325<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=三月七•巡猎、彦卿、云璃、藿藿、尾巴、青雀、椒丘、白露、灵砂、银狼、斯科特、公输师傅<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=三月七•巡猎<!--可留空-->,default,
16,|装饰获取=光阴莫负<!--可留空-->,default,
17,|介绍语=<!--可留空-->,default,
18,|所属地区=3<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
19,}},default,
20,===活动说明===,default,
21,*开拓者将作为剑术助教，安排三月七的练剑日程，并帮助她领悟剑招，在15日后击败斯科特。,default,
22,*每日可安排4次三月七的练剑日程，通过基础训练增加属性，为学习剑招打下坚实的基础。,default,
23,*训练会消耗心情，心情低下时会降低训练效率，可以通过游历来恢复心情。,default,
24,*三月七可以通过学习剑招来提升战斗能力。学习剑招需要满足对应的属性与进境要求。,default,
25,*通过学习更强的剑招，不断让三月七突破境界，直指剑心初成。,default,
26,*活动中有多个习剑奇遇故事，可通过经历不同的仙舟奇遇、协助同伴、练剑轶事等来完成故事。在不同的习剑奇遇中，最终完成故事的方式也会有所不同。,default,
27,*每次通过习剑奇遇完成故事后，会解锁对应奇遇的回溯结局功能，可快速尝试不同的结局走向。,default,
28,*每次通过习剑奇遇完成故事后，三月七都会获得历练体悟，在开启新一轮练剑时，获得属性提升。,default,
29,===注意事项===,default,
30,*在「初花习剑录」中累计完成5种不同故事走向的结局可获得【三月七•巡猎】的星魂*3，开拓者可在后续版本活动中再获取其余【三月七•巡猎】的星魂。,default,
31,*限时活动期结束后，开拓者将无法获取限时活动奖励。,default,
32,==活动玩法==,default,
33,===玩法介绍===,default,
34,<gallery>,default,
35,初花习剑录-玩法介绍1.jpg,default,
36,初花习剑录-玩法介绍2.jpg,default,
37,初花习剑录-玩法介绍3.jpg,default,
38,初花习剑录-玩法介绍4.jpg,default,
39,初花习剑录-玩法介绍5.jpg,default,
40,初花习剑录-玩法介绍6.jpg,default,
41,初花习剑录-玩法介绍7.jpg,default,
42,初花习剑录-玩法介绍8.jpg,default,
43,初花习剑录-玩法介绍9.jpg,default,
44,初花习剑录-玩法介绍10.jpg,default,
45,初花习剑录-玩法介绍11.jpg,default,
