line_number,content,category,character
1,{{活动信息,default,
2,|名称=「千万别点开！！」,default,
3,|所属版本=2.0,default,
4,|系列活动=,default,
5,|开始时间=2024/02/29 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/03/27 06:00<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=额外活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=邮件<!--选填-->,default,
11,|条件限制=2024/03/27 06:00 (UTC+8) 前开拓等级≥4级,default,
12,|活动描述=,default,
13,|官方公告链接=https://www.bilibili.com/opus/903408145541365780<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=花火<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=燃料*10、花火妙妙包,default,
21,}},default,
22,===活动说明===,default,
23,千万别点开！！<br>,default,
24,<br>,default,
25,<br>,default,
26,<br>,default,
27,<br>,default,
28,<br>,default,
29,唉，都说了不要点开…亲爱的，你真的太叛逆了。<br>,default,
30,在匹诺康尼过得还轻松愉快吗？意犹未尽，对吧…既然小灰毛这么勇敢又叛逆，我也决定送出一份小礼物，一些…能让你能温暖起来的东西。<br>,default,
31,你懂我意思，想想看——那些漫游指南、提纯以太、信用点、不管有用没用的贵重材料，甚至还有那位冥火大公扒拉下来的衣服…它们就在你的双手一握中，不是么？<br>,default,
32,哦对了，还有一份额外的小礼物，我也不知道里面装了什么。要是开出什么宝贝，就发到星际和平网络上去吧，我会看到的~或者你也可以不拿，就这么留在邮箱里，等明年的今天再翻出来看看，说不定会有惊喜呢？<br>,default,
33,<br>,default,
34,啊，明年该不会没有今天吧？,default,
35,----,default,
36,来自神秘忆者的提醒：<br>,content,来自神秘忆者的提醒
37,2024/03/27 06:00 前，开拓等级≥4级才可以领取哦。邮件的有效期为30天，别忘了。<br>,default,
38,<br>,default,
39,※开拓者点击【领取】邮件后，「花火妙妙包」将随机赠予特定道具。,default,
40,<center>[[File:千万别点开！！-活动说明.gif|300px]]</center>,default,
41,===活动奖励===,default,
42,{{图标|材料|燃料|10}}{{图标|材料|花火妙妙包}},default,
