line_number,content,category,character
1,{{活动信息,default,
2,|名称=「周年庆典之约」,default,
3,|所属版本=2.0,default,
4,|系列活动=,default,
5,|开始时间=2024/03/22 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/03/08 23:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=网页活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=<!--选填-->,default,
11,|条件限制=开拓等级≥11级,default,
12,|活动描述=,default,
13,|官方公告链接=https://www.miyoushe.com/sr/article/50563454<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=亲爱的开拓者：<br>「周年庆典之约」网页活动现已上线！<br>,content,亲爱的开拓者
19,<center>[https://act.mihoyo.com/sr/event/e20240222rpg-mys/index.html >>点击前往「周年庆典之约」网页活动<<]</center><!--可留空-->,default,
20,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
21,|活动奖励=星琼*100、信用点*20000,default,
22,}},default,
23,===活动说明===,default,
24,访问页面，与帕姆对话生成周年贺卡，您的周年愿望将被记录并保留，明年记得回来看看~<br>,default,
25,活动期间，完成指定任务，即可获得{{颜色|描述|星琼*100}}与信用点*20000奖励。<br>,default,
26,完成任务获取许愿币，即可许愿抽奖，有机会获得「列车补给凭证」（总计15万张）、「星穹铁道嘉年华2024」入场资格、「星穹铁道演唱会2024」入场资格、游戏周边等奖励！<br>,default,
27,;开奖时间,default,
28,:2024年3月30日12:00,default,
29,:中奖信息将于活动页面内「抽奖奖池」模块展示,default,
30,<br>,default,
31,;活动介绍,default,
32,1）周年贺卡,default,
33,:进入页面「周年贺卡」模块，点击「去定制」与帕姆开启对话。,default,
34,:每位开拓者可与帕姆对话10次，每次完成对话后，帕姆将根据对话内容生成1张周年贺卡。开拓者与帕姆的最新一次对话将被留存，您许下的周年愿望将在2周年以特殊的方式寄回给开拓者。,default,
35,2）投币许愿,default,
36,:开拓者完成活动页面内指定任务可获得星琼*100、信用点*20000奖励、许愿币、开拓值。,default,
37,;许愿币说明：,content,许愿币说明
38,:获得许愿币后，开拓者可进入页面「抽奖奖池」模块进行投币许愿。单次投币需要至少10枚许愿币。,default,
39,:对于同奖品投入的许愿币越多，获奖机会越高，奖池内所有奖品仅可获得一份。,default,
40,;开拓值说明：,content,开拓值说明
41,:开拓者完成任务可获得开拓值，全体的开拓值总和将用于解锁列车补给凭证总奖数量。,default,
42,:月卡初始数量为5万张，当总计开拓值达到5亿、8亿、10亿，可分别追加3万张、3万张、4万张列车补给进入抽奖奖池，上限15万张。,default,
43,※开拓者可点击「抽奖奖池」模块内「剩余许愿币」按钮查看许愿币获取明细。开拓者可在该页面内撤销历史投币，许愿币将会返还。每个角色仅可撤销一次。<br>,default,
44,※活动结束后，开拓者未使用的许愿币将被清零，请及时使用。,default,
45,===活动奖励===,default,
46,{{图标|材料|星琼|100}}{{图标|材料|信用点|20000}},default,
47,*有机会获得：{{图标|列车补给凭证}}总计15万张）、「星穹铁道嘉年华2024」入场资格（总计200份）、「星穹铁道演唱会2024」入场资格（总计10份）、启行之时Q版主题手办 希儿（总计140份）,content,有机会获得
48,==活动剧情==,branch_content,
49,<tabber>,default,
50,版本1=,default,
51,{{人物对话|右|开拓者|头像=[[file:开拓者•星轨（星）.png|link=]]|列车长，我这边有件好笑的事情…}},default,
52,{{人物对话|左|帕姆|头像=[[file:聊天表情-07-01.png|link=]]|帕姆考虑了一下，要不然就定在后天吧}},default,
53,{{人物对话|左|帕姆|头像=[[file:聊天表情-07-01.png|link=]]|帕姆看看出发的时间…}},default,
54,{{人物对话|右|开拓者|头像=[[file:开拓者•星轨（星）.png|link=]]|你在说什么啊？}},default,
55,{{人物对话|左|帕姆|头像=[[file:聊天表情-07-01.png|link=]]|诶？}},default,
56,{{人物对话|左|帕姆|头像=[[file:聊天表情-07-01.png|link=]]|诶诶诶诶诶！}},default,
57,{{人物对话|左|帕姆|头像=[[file:聊天表情-07-01.png|link=]]|不好意思开拓者，帕姆发错消息了，你就当作没看到帕！}},default,
58,{{人物对话|右|开拓者|头像=[[file:开拓者•星轨（星）.png|link=]]|快快从实招来~}},default,
59,{{人物对话|左|帕姆|头像=[[file:聊天表情-07-01.png|link=]]|唔…其实是这样的，我们在准备开拓者的一周年登车纪念，大家准备先保密。}},default,
60,{{人物对话|右|开拓者|头像=[[file:开拓者•星轨（星）.png|link=]]|哇！！！感动！！！}},default,
61,{{人物对话|左|帕姆|头像=[[file:聊天表情-07-01.png|link=]]|开拓者，正好顺便问问你最喜欢的地方是哪里？}},default,
62,{{人物对话|左|帕姆|头像=[[file:聊天表情-07-01.png|link=]]|看看大家有没有猜错}},default,
63,{{短信选项|选项1=空间站「黑塔」|选项2=雅利洛-Ⅵ|选项3=仙舟「罗浮」|选项4=匹诺康尼,option,开拓者
64,|剧情1={{人物对话|右|开拓者|头像=[[file:开拓者•星轨（星）.png|link=]]|空间站「黑塔」}},branch_content,
65,|剧情2={{人物对话|右|开拓者|头像=[[file:开拓者•星轨（星）.png|link=]]|雅利洛-Ⅵ}},branch_content,
66,|剧情3={{人物对话|右|开拓者|头像=[[file:开拓者•星轨（星）.png|link=]]|仙舟「罗浮」}},branch_content,
67,|剧情4={{人物对话|右|开拓者|头像=[[file:开拓者•星轨（星）.png|link=]]|匹诺康尼}},branch_content,
68,}},default,
69,{{人物对话|左|帕姆|头像=[[file:聊天表情-07-01.png|link=]]|果然是这里！！我们马上就会出发去纪念旅行了。}},default,
