line_number,content,category,character
1,{{活动信息,default,
2,|名称=「哈努兄弟越狱记」,default,
3,|所属版本=2.0,default,
4,|系列活动=,default,
5,|开始时间=2024/02/08 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/03/25 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=版本活动、常驻活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=角色获取、解谜<!--选填-->,default,
11,|条件限制=完成开拓任务「匹诺康尼」-「[[犹在镜中]]」,default,
12,|活动描述=爱德华医生新上架了一枚题材特殊的梦泡，体验过的客人全都好评如潮。究竟是什么内容如此劲爆？只有亲自试过才知道。,default,
13,|官方公告链接=https://t.bilibili.com/895304847914434708?<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=桑博、艾丝妲、驭空、桂乃芬<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=4<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=自塑尘脂*1、命运的足迹*1、星琼*1020、旅程之遇：「哈努兄弟越狱记」、漫游指南、凝缩以太、遗失碎金,content,旅程之遇
21,}},default,
22,===活动说明===,default,
23,*活动开启后，「浅层梦境」中的「气泡弹珠」关卡会开启；完成该梦泡关卡后解锁下一个梦泡，以此类推。,default,
24,*完成「浅层梦境」的梦泡后，解锁「深层梦境」的对应梦泡章节。,default,
25,*其中「气泡弹珠」包含5个关卡，「梦境迷钟」包含5个关卡，「小小哈努行动」包含2个关卡，「梦客漫步」包含2个关卡。,default,
26,*限时活动期间达成指定活动目标，便可在「自选角色」中领取角色奖励。,default,
27,*限时活动期间达成指定活动目标，便可在「限时奖励」中领取活动奖励。,default,
28,*活动时间结束后，开拓者将无法获取限时活动奖励。但仍可前往「爱德华医生」处体验活动内容，并获取常驻奖励。,default,
29,,default,
30,==活动玩法==,default,
31,===玩法介绍===,default,
32,<gallery>,default,
33,File:哈努兄弟越狱记-玩法介绍1.jpg,default,
34,File:哈努兄弟越狱记-玩法介绍2.jpg,default,
35,File:哈努兄弟越狱记-玩法介绍3.gif,default,
36,File:哈努兄弟越狱记-玩法介绍4.gif,default,
37,File:哈努兄弟越狱记-玩法介绍5.gif,default,
38,File:哈努兄弟越狱记-玩法介绍6.gif,default,
39,</gallery>,default,
40,,default,
41,<!-- ===规则说明===,default,
42,{| class=wikitable,default,
43,!教程图名,default,
44,|[[File:活动名-规则说明1.png|400px]],default,
45,|教程图文本描述,default,
46,|-,default,
47,!教程图名,default,
48,|[[File:活动名-规则说明2.png|400px]],default,
49,|教程图文本描述,default,
50,|} -->,default,
51,,default,
52,<!-- ==社媒专栏== -->,default,
53,==活动剧情==,branch_content,
54,===活动任务===,default,
55,{{#ask:[[分类:活动任务]][[系列任务::~*此处写任务系列名*]],default,
56,|?系列任务,default,
57,|format=outline,default,
58,|sort=任务编号,default,
59,|outlineproperties=系列任务}},default,
60,<!-- ==活动内容==-->,default,
61,,default,
62,==活动奖励==,default,
63,===常驻奖励===,default,
64,====气泡弹珠====,default,
65,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
66,!浅层「气泡弹珠」难度I,default,
67,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
68,|-,default,
69,!浅层「气泡弹珠」难度II,default,
70,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
71,|-,default,
72,!深层「气泡弹珠」难度I,default,
73,|{{图标|材料|星琼|10}}{{图标|材料|凝缩以太|5}}{{图标|材料|信用点|10000}},default,
74,|-,default,
75,!深层「气泡弹珠」难度II,default,
76,|{{图标|材料|星琼|10}}{{图标|材料|遗失碎金|5}}{{图标|材料|信用点|10000}},default,
77,|-,default,
78,!深层「气泡弹珠」难度III,default,
79,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
80,|-,default,
81,!深层「气泡弹珠」难度IV,default,
82,|{{图标|材料|星琼|10}}{{图标|材料|凝缩以太|5}}{{图标|材料|信用点|10000}},default,
83,|-,default,
84,!深层「气泡弹珠」难度V,default,
85,|{{图标|材料|星琼|10}}{{图标|材料|遗失碎金|5}}{{图标|材料|信用点|10000}},default,
86,|},default,
87,====梦境迷钟====,default,
88,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
89,!浅层「梦境迷钟」难度I,default,
90,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
91,|-,default,
92,!浅层「梦境迷钟」难度II,default,
93,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
94,|-,default,
95,!深层「梦境迷钟」难度I,default,
96,|{{图标|材料|星琼|10}}{{图标|材料|凝缩以太|5}}{{图标|材料|信用点|10000}},default,
97,|-,default,
98,!深层「梦境迷钟」难度II,default,
99,|{{图标|材料|星琼|10}}{{图标|材料|遗失碎金|5}}{{图标|材料|信用点|10000}},default,
100,|-,default,
101,!深层「梦境迷钟」难度III,default,
102,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
103,|-,default,
104,!深层「梦境迷钟」难度IV,default,
105,|{{图标|材料|星琼|10}}{{图标|材料|凝缩以太|5}}{{图标|材料|信用点|10000}},default,
106,|-,default,
107,!深层「梦境迷钟」难度V,default,
108,|{{图标|材料|星琼|10}}{{图标|材料|遗失碎金|5}}{{图标|材料|信用点|10000}},default,
109,|},default,
110,====小小哈努行动====,default,
111,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
112,!浅层「小小哈努行动」难度I,default,
113,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
114,|-,default,
115,!浅层「小小哈努行动」难度II,default,
116,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
117,|-,default,
118,!深层「小小哈努行动」难度I,default,
119,|{{图标|材料|星琼|10}}{{图标|材料|凝缩以太|5}}{{图标|材料|信用点|10000}},default,
120,|-,default,
121,!深层「小小哈努行动」难度II,default,
122,|{{图标|材料|星琼|10}}{{图标|材料|遗失碎金|5}}{{图标|材料|信用点|10000}},default,
123,|-,default,
124,|},default,
125,====梦客漫步====,default,
126,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
127,!浅层「梦客漫步」难度I,default,
128,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
129,|-,default,
130,!浅层「梦客漫步」难度II,default,
131,|{{图标|材料|星琼|10}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
132,|-,default,
133,!深层「梦客漫步」难度I,default,
134,|{{图标|材料|星琼|10}}{{图标|材料|凝缩以太|5}}{{图标|材料|信用点|10000}},default,
135,|-,default,
136,!深层「梦客漫步」难度II,default,
137,|{{图标|材料|星琼|10}}{{图标|材料|遗失碎金|5}}{{图标|材料|信用点|10000}},default,
138,|-,default,
139,|},default,
140,===限时奖励===,default,
141,====气泡弹珠====,default,
142,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
143,!在浅层「气泡弹珠」中完成1个关卡,default,
144,|{{图标|材料|星琼|40}}{{图标|材料|星火之精|10}}{{图标|材料|信用点|60000}},default,
145,|-,default,
146,!在浅层「气泡弹珠」中完成2个关卡,default,
147,|{{图标|材料|星琼|40}}{{图标|材料|提纯以太|5}}{{图标|材料|遗失晶块|6}},default,
148,|-,default,
149,!在深层「气泡弹珠」中完成1个关卡,default,
150,|{{图标|材料|星琼|30}}{{图标|材料|漫游指南|6}},default,
151,|-,default,
152,!在深层「气泡弹珠」中完成2个关卡,default,
153,|{{图标|材料|星琼|30}}{{图标|材料|信用点|60000}},default,
154,|-,default,
155,!在深层「气泡弹珠」中完成3个关卡,default,
156,|{{图标|材料|星琼|30}}{{图标|材料|遗失晶块|6}},default,
157,|-,default,
158,!在深层「气泡弹珠」中完成4个关卡,default,
159,|{{图标|材料|星琼|30}}{{图标|材料|漫游指南|6}},default,
160,|-,default,
161,!在深层「气泡弹珠」中完成5个关卡,default,
162,|{{图标|材料|星琼|30}}{{图标|材料|信用点|60000}},default,
163,|},default,
164,====梦境迷钟====,default,
165,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
166,!在浅层「梦境迷钟」中完成1个关卡,default,
167,|{{图标|材料|星琼|40}}{{图标|材料|星火之精|10}}{{图标|材料|信用点|60000}},default,
168,|-,default,
169,!在浅层「梦境迷钟」中完成2个关卡,default,
170,|{{图标|材料|星琼|40}}{{图标|材料|漫游指南|6}}{{图标|材料|提纯以太|5}},default,
171,|-,default,
172,!在深层「梦境迷钟」中完成1个关卡,default,
173,|{{图标|材料|星琼|30}}{{图标|材料|遗失晶块|6}},default,
174,|-,default,
175,!在深层「梦境迷钟」中完成2个关卡,default,
176,|{{图标|材料|星琼|30}}{{图标|材料|信用点|60000}},default,
177,|-,default,
178,!在深层「梦境迷钟」中完成3个关卡,default,
179,|{{图标|材料|星琼|30}}{{图标|材料|漫游指南|6}},default,
180,|-,default,
181,!在深层「梦境迷钟」中完成4个关卡,default,
182,|{{图标|材料|星琼|30}}{{图标|材料|信用点|60000}},default,
183,|-,default,
184,!在深层「梦境迷钟」中完成5个关卡,default,
185,|{{图标|材料|星琼|30}}{{图标|材料|遗失晶块|6}},default,
186,|},default,
187,====小小哈努行动====,default,
188,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
189,!在浅层「小小哈努行动」中完成1个关卡,default,
190,|{{图标|材料|星琼|40}}{{图标|材料|星火之精|10}}{{图标|材料|信用点|60000}},default,
191,|-,default,
192,!在浅层「小小哈努行动」中完成2个关卡,default,
193,|{{图标|材料|星琼|40}}{{图标|材料|漫游指南|6}}{{图标|材料|遗失晶块|6}},default,
194,|-,default,
195,!在深层「小小哈努行动」中完成1个关卡,default,
196,|{{图标|材料|星琼|30}}{{图标|材料|信用点|60000}},default,
197,|-,default,
198,!在深层「小小哈努行动」中完成2个关卡,default,
199,|{{图标|材料|星琼|30}}{{图标|材料|提纯以太|5}},default,
200,|-,default,
201,|},default,
202,====梦客漫步====,default,
203,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
204,!在浅层「梦客漫步」中完成1个关卡,default,
205,|{{图标|材料|星琼|40}}{{图标|材料|星火之精|10}}{{图标|材料|信用点|60000}},default,
206,|-,default,
