line_number,content,category,character
1,{{活动信息,default,
2,|名称=「地城探宝」,default,
3,|所属版本=1.2,default,
4,|系列活动=,default,
5,|开始时间=2023/08/09 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/08/28 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=版本活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=装饰获取、战斗<!--选填-->,default,
11,|条件限制=完成开拓任务「雅利洛-Ⅵ」-「[[静静的星河]]」,default,
12,|活动描述=在贝洛伯格，寒潮前的古代遗迹重见天日，珍奇异宝与古代遗物埋藏在深处，等待敢于冒险的寻宝者前去探索…,default,
13,|官方公告链接=https://www.bilibili.com/opus/827326665337077765<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=矿灯巴列维、阿克赛、布洛妮娅、希儿、希露瓦、杰帕德、娜塔莎、佩拉、克拉拉、桑博、虎克<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=兔子在哪里？,default,
18,|介绍语=最近的贝洛伯格兴起了「寻宝」的热潮，大量古代遗物出现在了下层区中，而这一切似乎都与大矿区的古代遗迹有关……,default,
19,|奖励=自塑尘脂*1、命运的足迹*1、星琼*1000、遗器残骸、聊天对话框「兔子在哪里？」,default,
20,|所属地区=2,default,
21,}},default,
22,===活动说明===,default,
23,*活动开启后，每日将会解锁新的遗迹，共计5个遗迹，每个遗迹分别有「浅层探索」与「深层探索」两种模式，通关「浅层探索」后将会解锁对应遗迹的「深层探索」。,default,
24,*活动期间探索遗迹，达到特定探索进度时可在「探宝奖励」中领取任务奖励。,default,
25,*活动中，寻宝者可以通过消耗耐力值探索遗迹各个区域。区域中潜藏着道具、补给物资…还有危险的敌人，等待寻宝者前来探索。,default,
26,===注意事项===,default,
27,*合理地规划行动路线、分配耐力值，利用遗迹中发掘出来的道具，应对不同类型的敌人，将使寻宝任务更加顺利。,default,
28,*开拓者可以选择试用角色参与活动。,default,
29,*每次战斗结束后，将记录所有角色的生命值及能量。,default,
30,*当开拓者提升「均衡等级」时，活动中敌人和试用角色等级将同步提升。,default,
31,,default,
32,==玩法介绍==,default,
33,<gallery>,default,
34,地城探宝-玩法介绍.jpg,default,
35,</gallery>,default,
36,==规则说明==,default,
37,'''耐力''',default,
38,* 在「地城探宝」的关卡中，开拓者的行动需要消耗{{颜色|描述|耐力值}}。,default,
39,*当耐力值耗尽时，每消耗{{颜色|描述|1}}点耐力值，都将扣除{{颜色|描述|全队角色的生命值}}百分比。,default,
40,*「浅层探索」中，每进入新的一层，将会恢复{{颜色|描述|8}}点耐力值；耐力值耗尽后，行动会扣除全队角色{{颜色|描述|3%}}的生命值。,default,
41,*「深层探索」中，每进入新的一层，不再自动恢复{{颜色|描述|8}}点耐力值；耐力值耗尽时，行动会扣除全队角色{{颜色|描述|5%}}的生命值。,default,
42,*当角色的生命值被扣除至{{颜色|描述|0}}时，角色将会阵亡。若所有角色均阵亡，本次探索将会自动结束。,default,
43,<br>,default,
44,'''行动''',default,
45,*在「地城探宝」的关卡中，开拓者的以下行为将会被记作一次{{颜色|描述|行动}}：探索区域，拾取补给、古代装备、古代炸弹、古代遗物，通过战斗或使用古代炸弹击败敌人、被敌人击败。其中，行动会减少关卡中的部分敌人机制的倒计时次数，触发特殊效果，请合理规划探索路线和节奏。,content,行动
46,*探索过程中，拾取的{{颜色|描述|古代遗物}}，将会在后续场次的战斗中生效，使用后消耗可用次数。此外，古代遗物上附加了特殊挑战，达成特殊挑战目标，可以获取额外的奖励。,default,
47,<br>,default,
48,'''属性继承''',default,
49,*在「地城探宝」的关卡中，通过拾取古代装备提高的属性值，将会在结算后继承。同时，{{颜色|描述|「浅层探索」和「深层探索」会共享继承的属性值}}——建议寻宝者合理规划耐力和探索路线，{{颜色|描述|尽量找到更多的古代装备}}。,default,
50,<br>,default,
51,'''属性增益''',default,
52,*{{颜色|描述|伤害提高}}将为所有角色提供全属性伤害提高的增益效果，进入战斗后自动生效。此外，{{颜色|描述|不同遗迹}}中，{{颜色|描述|攻击类属性值}}均会根据{{颜色|描述|伤害提高}}的属性值提高。,default,
53,*{{颜色|描述|伤害减免}}将为所有角色提供减免受到的伤害的增益效果，进入战斗后自动生效。,default,
54,==玩法说明==,default,
55,{{折叠|开始|标题=玩法说明一览|折叠=是}},default,
56,{| class=wikitable,default,
57,!rowspan=2|地城探宝•探索,default,
58,|[[File:地城探宝-规则说明1.png|400px]],default,
59,|{{颜色|描述2|消耗耐力值}}，可以对明亮的区域进行探索。,default,
60,|-,default,
61,|[[File:地城探宝-规则说明2.png|400px]],default,
62,|{{颜色|描述2|黯淡的区域无法进行探索或交互}}，需要先探索邻近的区域使其恢复明亮。,default,
63,|-,default,
64,!地城探宝•寻宝者区域,default,
65,|[[File:地城探宝-规则说明11.png|400px]],default,
66,|探索{{颜色|描述2|寻宝者区域}}，会邂逅熟悉的伙伴加入探索，成为可供选择的试用角色。,default,
67,|-,default,
68,!地城探宝•招募区域,default,
69,|[[File:地城探宝-规则说明20.png|400px]],default,
70,|探索{{颜色|描述2|招募区域}}，可以选择你拥有的角色，加入探索队伍。,default,
71,|-,default,
72,!地城探宝•属性继承,default,
73,|[[File:地城探宝-规则说明6.png|400px]],default,
74,|古代装备提高的{{颜色|描述2|属性值}}，仅能在{{颜色|描述2|同一遗迹}}的探索中{{颜色|描述2|积累并生效}}。,default,
75,|-,default,
76,!rowspan=2|地城探宝•古代装备,default,
77,|[[File:地城探宝-规则说明5.png|400px]],default,
78,|收集{{颜色|描述2|古代兵器和古代防具}}可以提高角色的{{颜色|描述2|属性值}}，以便轻松应对遗迹中的{{颜色|描述2|各种敌人}}。,default,
79,|-,default,
80,|[[File:地城探宝-规则说明6.png|400px]],default,
81,|提高的{{颜色|描述2|属性值}}可以在本遗迹的{{颜色|描述2|浅层探索和深层探索}}中生效。,default,
82,|-,default,
83,!地城探宝•补给物资,default,
84,|[[File:地城探宝-规则说明9.png|400px]],default,
85,|{{颜色|描述2|补给物资}}会恢复探索需要的耐力值。当耐力值耗尽后，将改为消耗{{颜色|描述2|「生命值」}}。,default,
86,|-,default,
87,!地城探宝•治疗物资,default,
88,|[[File:地城探宝-规则说明10.png|400px]],default,
89,|{{颜色|描述2|治疗物资}}会回复全队所有角色的生命值。,default,
90,|-,default,
91,!地城探宝•古代炸弹,default,
92,|[[File:地城探宝-规则说明12.png|400px]],default,
93,|{{颜色|描述2|古代炸弹}}可以直接击败1个普通敌人。,default,
94,|-,default,
95,!地城探宝•古代遗物,default,
96,|[[File:地城探宝-规则说明13.png|400px]],default,
97,|{{颜色|描述2|古代遗物}}可以为单次战斗提供增益效果。达成遗物的挑战，还可以获取额外的奖励。,default,
98,|-,default,
99,!地城探宝•传送装置,default,
100,|[[File:地城探宝-规则说明14.png|400px]],default,
101,|击败所有敌人，将激活{{颜色|描述2|传送装置}}，点击传送装置将结束本次探索并结算成绩。,default,
102,|-,default,
103,!地城探宝•敌人•封锁能力,default,
104,|[[File:地城探宝-规则说明8.png|400px]],default,
105,|具有{{颜色|描述2|封锁能力}}的敌人会封锁周围的区域，可通过战斗将其击败。,default,
106,|-,default,
107,!rowspan=2|地城探宝•敌人•突袭能力,default,
108,|[[File:地城探宝-规则说明15.png|400px]],default,
109,|具有{{颜色|描述2|突袭能力}}的敌人会根据你的行动进行倒计时。在计时结束时发起攻击{{颜色|描述2|扣除耐力值}}。该敌人会直接出现，但{{颜色|描述2|不会封锁周围的区域}}。,default,
110,|-,default,
111,|[[File:地城探宝-规则说明16.png|400px]],default,
112,|{{颜色|描述2|探索、战斗、拾取或使用道具}}都将视为1次{{颜色|描述2|行动}}，每次行动都会减少倒计时。,default,
113,|-,default,
114,!rowspan=2|地城探宝•敌人•成长能力,default,
115,|[[File:地城探宝-规则说明17.png|400px]],default,
116,|具有{{颜色|描述2|成长能力}}的敌人会根据你的行动进行倒计时。在计时结束时将获得强化，提高自己的攻击力。,default,
