line_number,content,category,character
1,{{活动信息,default,
2,|名称=「实验助手请就位」,default,
3,|所属版本=1.1,default,
4,|开始时间=2023/06/19 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/07/03 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=常规活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|TAG=材料<!--选填-->,default,
10,|条件限制=开拓等级≥21级<br>完成开拓任务「雅利洛-Ⅵ」-「[[已故去的必如雪崩再来]]」,default,
11,|活动描述=空间站「黑塔」实验报告三要「点」：实验严谨点、报告用心点、提交准时点。,content,点
12,|官方公告链接=https://www.bilibili.com/opus/808409052377776161<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=温世玲、艾丝妲<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=<!--可留空-->,default,
15,|光锥获取=<!--可留空-->,default,
16,|所属地区=1,default,
17,|介绍语=黑塔空间站的应物科科员温世玲正在汇总本季度需要的研究报告，但是由于反物质军团的入侵，导致她额外多了很多工作，没有办法及时收集研究所需要的材料，因此特聘实验助手一名。<!--可留空-->,default,
18,}},default,
19,===活动说明===,default,
20,活动开启后，温世玲将每日公开新的1道「研究课题」及完成课题所需的「实验素材」，课题共计7道。,default,
21,*开拓者收集当日课题所需的「实验素材」并提交后，可获得今日研究成果与奖励。,default,
22,*当开拓者提交「实验素材」时，将额外获得「{{图标|你好剂}}」。随着实验的深入，温世玲也将逐步掌握「你好剂」的制作机理。在最终实验完成时，温世玲将把「你好剂」的配方作为奖励赠送。,default,
23,==活动剧情==,branch_content,
24,[[实验报告]],default,
25,{{#ask:[[分类:活动任务]][[系列任务::~*实验报告*]]|format=ul}},default,
26,<br>,default,
27,==实验记录==,default,
28,===实验内容及奖励===,default,
29,{| class=wikitable,default,
30,! 对象 !! 标题 !! 详细记录 !!提交素材 !! 奖励,default,
31,|-,default,
32,|{{图标|大|虚卒•践踏者}}||01 此腿非腿 || '''01 虚卒•践踏者保持站立时是否四足均匀受力'''<br>,default,
33,「虚卒•践踏者」多数情况下会保持四足均匀受力，偶尔会将重心放到后足，并使前足互相交叉，酷似人类的「翘腿」。,default,
34,|{{图标|材料|掠夺的本能|1}}{{图标|材料|虚粒子|1}}{{图标|材料|金属|1}},default,
35,|{{图标|材料|星琼|70}}{{图标|材料|无生残刃|3}}{{图标|材料|你好剂|1}}{{图标|材料|信用点|30000}},default,
36,|-,default,
37,|{{图标|大|虚卒•践踏者}}||02 水生万物 || '''02 虚卒•践踏者的尾部是否存在吸水器官'''<br>,default,
38,「虚卒•践踏者」尾部并无吸水器官，无法从固态净水中获取营养物质。不过看上去挺可爱的。,default,
39,|{{图标|材料|掠夺的本能|1}}{{图标|材料|蛋白米|1}}{{图标|材料|固态净水|1}},default,
40,|{{图标|材料|星琼|70}}{{图标|材料|屠魔之矢|3}}{{图标|材料|你好剂|1}}{{图标|材料|信用点|30000}},default,
41,|-,default,
42,|{{图标|大|外宇宙之炎}}||03 宇宙之炎 || '''03 如何充分利用外宇宙之炎的表层温度'''<br>,default,
43,「外宇宙之炎」本身存在极强的未知性，本研究非常有难度。目前有效数据已证明，外宇宙之炎的温度萃取咖啡液口感极佳。,default,
44,|{{图标|材料|熄灭原核|1}}{{图标|材料|冰之芯|1}}{{图标|材料|燃素|1}},default,
45,|{{图标|材料|星琼|70}}{{图标|材料|启迪之钥|3}}{{图标|材料|你好剂|1}}{{图标|材料|信用点|30000}},default,
46,|-,default,
47,|{{图标|大|外宇宙之炎}}||04 转瞬即燃 || '''04 浅析外宇宙之炎表层温度的工业化使用可能'''<br>,default,
48,除开萃取咖啡之外，「外宇宙之炎」在金属冶炼方面也可以提供有效的帮助。点燃金属，就在一瞬间！,default,
49,|{{图标|材料|熄灭原核|1}}{{图标|材料|量子涟漪|1}}{{图标|材料|金属|1}},default,
50,|{{图标|材料|星琼|70}}{{图标|材料|寒铁的誓言|3}}{{图标|材料|你好剂|1}}{{图标|材料|信用点|30000}},default,
51,|-,default,
52,|{{图标|大|自动机兵•灰熊}}||05 未知领域 || '''05 探秘——未知机器人的制作材料解析'''<br>,default,
53,空间站鲜有科员研究的胖胖机器人，今日就由世玲来揭下它的神秘面纱！这个机器人浑身由金属打造，世玲怀疑是某种战斗兵器，但这个猜想…还有待考证！,default,
54,|{{图标|材料|古代零件|1}}{{图标|材料|陨铁|1}}{{图标|材料|金属|1}},default,
55,|{{图标|材料|星琼|70}}{{图标|材料|生命之芽|3}}{{图标|材料|你好剂|1}}{{图标|材料|信用点|30000}},default,
56,|-,default,
57,|{{图标|大|自动机兵•灰熊}}||06 直面未知 || '''06 再谈——机器人的背后竟然是…'''<br>,default,
58,世玲再度深入调查，发现着机器人背后竟然有惊天阴谋！欲知后事如何…请支持世玲的独立研究！谢谢大家！,default,
59,|{{图标|材料|熄灭原核|1}}{{图标|材料|零件|1}}{{图标|材料|基本食材|1}},default,
60,|{{图标|材料|星琼|70}}{{图标|材料|家族颂歌|3}}{{图标|材料|你好剂|1}}{{图标|材料|信用点|30000}},default,
61,|-,default,
62,"|colspan=5 style=""text-align:center"" |第七日内容为三选一",default,
63,|-,default,
64,|{{图标|大|虚卒•践踏者}}||07 卒以食为天 || '''07 浅析虚卒•践踏者的饮食口味嗜甜还是嗜咸'''<br>,default,
65,无论是甜口的蛋白米还是咸口的蛋白米，「虚卒•践踏者」都没表现出太强的兴趣。也可能是单纯不喜欢蛋白米呢?,default,
66,"|rowspan=""3""|{{图标|材料|虚粒子|1}}{{图标|材料|虚数残叶|1}}{{图标|材料|蛋白米|1}}",default,
