line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「巡星之礼」,default,
3,|系列活动=巡星之礼,default,
4,|所属版本=1.1,default,
5,|开始时间=2023/06/07 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=1.1版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/07/18 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=额外活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=签到,default,
11,|条件限制=解锁「旅情事记」,default,
12,|活动描述=,default,
13,|官方公告链接=https://www.bilibili.com/opus/803600407008903176<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--选填-->,default,
16,}}<!--,default,
17,-->===活动说明===,default,
18,活动期间，每日登录游戏即可获得签到奖励。<br>完成7日签到累计可领取{{图标|星轨专票|10}}。,default,
19,===活动奖励===,default,
20,{| class=wikitable,default,
21,! 第1天,default,
22,| {{图标|星轨专票|1}},default,
23,|-,default,
24,! 第2天,default,
25,| {{图标|星轨专票|1}},default,
26,|-,default,
27,! 第3天,default,
28,| {{图标|星轨专票|2}},default,
29,|-,default,
30,! 第4天,default,
31,| {{图标|星轨专票|1}},default,
32,|-,default,
33,! 第5天,default,
34,| {{图标|星轨专票|1}},default,
35,|-,default,
36,! 第6天,default,
37,| {{图标|星轨专票|1}},default,
38,|-,default,
39,! 第7天,default,
40,| {{图标|星轨专票|3}},default,
41,|},default,
