line_number,content,category,character
1,{{活动信息,default,
2,|名称=「巡星之礼」第七期,default,
3,|所属版本=2.0,default,
4,|系列活动=巡星之礼,default,
5,|开始时间=2024/02/06 10:00,default,
6,|开始描述=2.0版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/03/26 03:59,default,
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=额外活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=签到<!--选填-->,default,
11,|条件限制=解锁「旅情事记」,default,
12,|活动描述=,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,}},default,
21,===活动说明===,default,
22,每日登录游戏，可在「旅情事记」中领取当日奖励，奖励将根据开拓者累计登录天数依次解锁。<br>,default,
23,活动期间，完成7日签到累计可领取星轨专票*10！,default,
24,===活动奖励===,default,
25,{| class=wikitable,default,
26,! 第1天,default,
27,| {{图标|星轨专票|1}},default,
28,|-,default,
29,! 第2天,default,
30,| {{图标|星轨专票|1}},default,
31,|-,default,
32,! 第3天,default,
33,| {{图标|星轨专票|2}},default,
34,|-,default,
35,! 第4天,default,
36,| {{图标|星轨专票|1}},default,
37,|-,default,
38,! 第5天,default,
39,| {{图标|星轨专票|1}},default,
40,|-,default,
41,! 第6天,default,
42,| {{图标|星轨专票|1}},default,
43,|-,default,
44,! 第7天,default,
45,| {{图标|星轨专票|3}},default,
46,|},default,
