line_number,content,category,character
1,{{活动信息,default,
2,|名称=「巡星之礼」第三期,default,
3,|所属版本=1.3,default,
4,|系列活动=巡星之礼,default,
5,|开始时间=2023/08/30 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=1.3版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/10/10 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=额外活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=签到<!--选填-->,default,
11,|条件限制=解锁「旅情事记」,default,
12,|活动描述=,default,
13,|官方公告链接=https://www.bilibili.com/opus/833627399556956233<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=<!--可留空-->,default,
18,}},default,
19,===活动说明===,default,
20,每日登录游戏，可在「旅情事记」中领取当日奖励，奖励将根据开拓者累计登录天数依次解锁。<br>,default,
21,活动期间，完成7日签到累计可领取星轨专票*10！,default,
22,===活动奖励===,default,
23,{| class=wikitable,default,
24,! 第1天,default,
25,| {{图标|星轨专票|1}},default,
26,|-,default,
27,! 第2天,default,
28,| {{图标|星轨专票|1}},default,
29,|-,default,
30,! 第3天,default,
31,| {{图标|星轨专票|2}},default,
32,|-,default,
33,! 第4天,default,
34,| {{图标|星轨专票|1}},default,
35,|-,default,
36,! 第5天,default,
37,| {{图标|星轨专票|1}},default,
38,|-,default,
39,! 第6天,default,
40,| {{图标|星轨专票|1}},default,
41,|-,default,
42,! 第7天,default,
43,| {{图标|星轨专票|3}},default,
44,|},default,
