line_number,content,category,character
1,{{活动信息,default,
2,|名称=「幽府偃偶」,default,
3,|所属版本=2.3,default,
4,|系列活动=,default,
5,|开始时间=2024/06/19 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2.3版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=9999/01/01<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=永久<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=永久活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=逐光捡金、新手活动、角色获取<!--选填-->,default,
11,|条件限制=通关任意一期「末日幻影」难度02,default,
12,|活动描述=,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=雪衣<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=,default,
21,}},default,
22,===活动说明===,default,
23,首次完成「末日幻影」难度02挑战，即可领取角色「{{图标|雪衣}}（毁灭•量子）」以及{{图标|星琼|300}}与{{图标|自塑尘脂|1}}.,default,
