line_number,content,category,character
1,{{活动信息,default,
2,|名称=「庆典祝礼」,default,
3,|所属版本=2.1,default,
4,|系列活动=,default,
5,|开始时间=2024/03/27 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2.1版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/05/07 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=周年活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=签到<!--选填-->,default,
11,|条件限制=解锁「旅情事记」,default,
12,|活动描述=,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=星轨专票*20,default,
21,}},default,
22,===活动说明===,default,
23,活动期间，每日登录游戏即可获得签到奖励。<br>,default,
24,完成7日签到累计可领取{{图标|星轨专票|20}}！,default,
25,===活动奖励===,default,
26,{| class=wikitable,default,
27,! 第1天,default,
28,| {{图标|星轨专票|2}},default,
29,|-,default,
30,! 第2天,default,
31,| {{图标|星轨专票|2}},default,
32,|-,default,
33,! 第3天,default,
34,| {{图标|星轨专票|4}},default,
35,|-,default,
36,! 第4天,default,
37,| {{图标|星轨专票|2}},default,
38,|-,default,
39,! 第5天,default,
40,| {{图标|星轨专票|2}},default,
41,|-,default,
42,! 第6天,default,
43,| {{图标|星轨专票|2}},default,
44,|-,default,
45,! 第7天,default,
46,| {{图标|星轨专票|6}},default,
47,|},default,
