line_number,content,category,character
1,{{活动信息,default,
2,|名称=「开『饭』之道」,default,
3,|所属版本=1.1,default,
4,|开始时间=2023/06/27 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=2023/06/27<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/07/04 23:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=网页活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|TAG=<!--选填-->,default,
10,|条件限制=开拓等级≥11级,default,
11,|活动描述=开拓宇宙美食的受众，当然是开拓之道咯~,default,
12,|官方公告链接=https://www.bilibili.com/opus/811748836391256420<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=罗刹、驭空<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=<!--可留空-->,default,
15,|光锥获取=<!--可留空-->,default,
16,|介绍语=所有厨艺师都心知肚明：最难的就是做好一碗炒饭。<br><br>,content,所有厨艺师都心知肚明
17,「开『饭』之道」限时网页活动开启!活动期间，开拓者经营列车小馆，为仙舟的客人们制作美食。完成客人的美食委托，开拓者可获得星琼、提纯以太、遗失碎金等奖励~<br><br>,default,
18,<center>[https://act.mihoyo.com/sr/event/e20230625luocha-fki8ca/index.html >>>点击前往「开『饭』之道」网页活动<<<]</center>,default,
19,|活动时间补充=※活动结束后不可领取奖励，请开拓者合理安排时间、及时领取；<br>,default,
20,※若游戏进行停服更新，停服期间将无法参与「开『饭』之道」，请开拓者注意更新时间。,default,
21,}},default,
22,===活动说明===,default,
23,*活动期间，开拓者经营列车小馆，为仙舟的客人们制作美食。通过积累委托数量，开拓者的店铺将不断升级，同时店铺的美食评论将越来越丰富。,default,
24,*活动期间，完成开店引导将获得2名客人的美食委托，每日登录网页活动均可获得1名客人的美食委托。此外，完成活动任务，三月七每日将至多帮开拓者招揽4名客人。,default,
25,*客人的美食委托分为指定美食和邀请推荐美食两种，任意选择完成菜品制作后均将获得1点店铺经验值，仅有该客人的美食点评不同。,default,
26,*店铺等级上限为6级，每次升级需要完成一定的委托数量，每级均设有店铺奖励。完成委托的同时可解锁店铺评论图鉴，完成全部客人的评论搜集后可以获得额外的奖励。,default,
27,,default,
28,※该网页活动仅供娱乐，与游戏内实际情况无关。,default,
29,,default,
30,=== 活动奖励 ===,default,
31,完成全部客人的美食委托，开拓者共可获得{{图标|星琼|120}}，{{图标|提纯以太|6}}，{{图标|遗失碎金|15}}，{{图标|信用点|75000}}。,default,
32,,default,
33,==活动剧情==,branch_content,
34,{{人物对话|左|三月七|来仙舟也有一阵子了，我有一个重大发现！}},default,
35,{{人物对话|右|开拓者|我猜和吃的有关。}},default,
36,{{人物对话|左|三月七|嘿嘿，还是你懂我。仙舟上虽然好吃的很多，但是!竟然没有「大宇宙炒饭」！}},default,
