line_number,content,category,character
1,{{活动信息,default,
2,|名称=「开拓，友谊魔法！」,default,
3,|所属版本=2.4,default,
4,|系列活动=,default,
5,|开始时间=2024/08/21 12:00,default,
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/09/09 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=战斗<!--选填-->,default,
11,|条件限制=完成开拓任务「雅利洛-VI」-「静静的星河」,default,
12,|活动描述=曾在梦中相会的灰色朋友只身来到贝洛伯格的现实世界，他前来解决一桩不明黑影袭击居民的危机，但急需你与伙伴们的帮助……,default,
13,|官方公告链接=https://www.bilibili.com/opus/967589126039666712?spm_id_from=333.999.0.0<!--填写崩坏星穹铁道驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=娜塔莎<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=曾在梦中相会的灰色朋友只身来到贝洛伯格的现实世界，他前来解决一桩不明黑影袭击居民的危机，但急需你与伙伴们的帮助……<!--可留空-->,default,
19,|所属地区=2<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=,default,
21,}},default,
22,===活动说明===,default,
23,活动开启后，每日将会开启新的关卡，共计6关。,default,
24,* 活动开启后，每日将会开启新的试炼关，共计5关。,default,
25,* 每一个挑战关拥有两种难度：「初始试炼」「正式试炼」，完成「初始试炼」挑战后，解锁「正式试炼」难度。,content,每一个挑战关拥有两种难度
26,* 每一关试炼中，不同角色将扮演魔法师，召唤不同能力的小桶并肩而战。,default,
27,* 扮演魔法师的角色战技和终结技将获得全新战斗效果，用以指挥小桶进行战斗。,default,
28,* 在「正式试炼」难度中，完成指定挑战目标，并在轮次结束前击败指定波次敌人，将会获得不同星级的评价。,default,
29,* 活动期间，在关卡内达成指定挑战目标后，可以在「桶装奖励」中领取各类奖励。,default,
30,<!-- ==活动玩法==,default,
31,===玩法介绍===,default,
32,<gallery>,default,
33,活动名-玩法介绍.jpg,default,
34,</gallery>,default,
35,===规则说明===,default,
36,{| class=wikitable,default,
37,!教程图名,default,
38,|[[File:活动名-规则说明1.png|400px]],default,
39,|教程图文本描述,default,
40,|-,default,
41,!教程图名,default,
42,|[[File:活动名-规则说明2.png|400px]],default,
43,|教程图文本描述,default,
44,|} -->,default,
45,,default,
46,==社媒专栏==,default,
47,[https://www.bilibili.com/opus/967233507045670915?spm_id_from=333.999.0.0 「开拓，友谊魔法！」活动指南],default,
48,==活动剧情==,branch_content,
49,===活动任务===,default,
50,{{#ask:[[分类:活动任务]][[系列任务::~*老朋友，新朋友？*]],default,
51,|?系列任务,default,
52,|format=outline,default,
53,|sort=任务编号,default,
54,|outlineproperties=系列任务}},default,
55,==活动内容==,default,
56,"{| class=""wikitable""",default,
57,! 关卡 !! 地图 !! 介绍,default,
58,|-,default,
59,! 拾荒的小桶,default,
60,| 行政区 || 「你站在广场翻垃圾，装垃圾的桶站在远处看你」,default,
61,|-,default,
62,! 冰封的小桶,default,
63,| 城郊雪原 || 「有时，回忆在冷藏后风味更佳」,default,
64,|-,default,
65,! 深蓝的小桶,default,
66,| 磐岩镇 || 「你说的蓝是什么蓝？」,default,
67,|-,default,
68,! 负责的小桶,default,
69,| 铆钉镇 || 「工作是永远都做不完的，出来玩吧！」,default,
70,|-,default,
71,! 同好的小桶,default,
72,| 行政区 || 「追过同部番，咱俩就是过命的交情！」,default,
73,|},default,
74,==活动奖励==,default,
75,"{| class=""wikitable""",default,
76,! rowspan=4|拾荒的小桶,default,
77,| 在「初始试炼」中，消灭所有敌人 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
78,|-,default,
79,| 在「正式试炼」中，我方场上同时存在5个小桶 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
80,|-,default,
81,| 在「正式试炼」中，击杀2波敌人 || {{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
82,|-,default,
83,| 在「正式试炼」中，击杀3波敌人 || {{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
84,|-,default,
85,! rowspan=4|冰封的小桶,default,
86,| 在「初始试炼」中，消灭所有敌人 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
87,|-,default,
88,| 在「正式试炼」中，将我方小桶进化至究极金 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
89,|-,default,
90,| 在「正式试炼」中，击杀2波敌人 || {{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
91,|-,default,
92,| 在「正式试炼」中，击杀3波敌人 || {{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
93,|-,default,
94,! rowspan=4|深蓝的小桶,default,
95,| 在「初始试炼」中，消灭所有敌人 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
96,|-,default,
97,| 在「正式试炼」中，累计在敌方场上召唤2个小桶 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
98,|-,default,
99,| 在「正式试炼」中，击杀2波敌人 || {{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
100,|-,default,
101,| 在「正式试炼」中，击杀3波敌人 || {{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
102,|-,default,
103,! rowspan=4|负责的小桶,default,
104,| 在「初始试炼」中，消灭所有敌人 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
105,|-,default,
106,| 在「正式试炼」中，将我方小桶进化至究极金 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
107,|-,default,
108,| 在「正式试炼」中，击杀2波敌人 || {{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
109,|-,default,
110,| 在「正式试炼」中，击杀3波敌人 || {{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
111,|-,default,
112,! rowspan=4|同好的小桶,default,
113,| 在「初始试炼」中，消灭所有敌人 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
114,|-,default,
115,| 在「正式试炼」中，累计自爆10个小桶 || {{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
116,|-,default,
117,| 在「正式试炼」中，击杀2波敌人 || {{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
118,|-,default,
119,| 在「正式试炼」中，击杀3波敌人 || {{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
120,|-,default,
121,! 友谊的馈赠,default,
122,| 所有「正式试炼」都获得至少1星 || {{图标|材料|命运的足迹|1}},default,
123,|-,default,
124,! 奖励总计,default,
125,|colspan=3|{{图标|材料|命运的足迹|1}}{{图标|材料|星琼|500}}{{图标|材料|漫游指南|30}}{{图标|材料|提纯以太|15}}{{图标|材料|遗失晶块|20}}{{图标|材料|信用点|240000}},default,
126,|},default,
