line_number,content,category,character
1,{{活动信息,default,
2,|名称=「异器盈界」第五期,default,
3,|所属版本=2.5,default,
4,|系列活动=异器盈界,default,
5,|开始时间=2024/10/11 04:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/10/18 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=特殊活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=侵蚀隧洞、遗器<!--选填-->,default,
11,|条件限制=解锁「漂泊之径•侵蚀隧洞」,default,
12,|活动描述=,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=<!--可留空-->,default,
18,}},default,
19,===活动说明===,default,
20,*「异器盈界」活动期间，挑战并通关「侵蚀隧洞」时，可获得双倍奖励。,default,
21,*消耗活动双倍奖励次数与开拓力后，将在原有奖励之外额外获得一次奖励。,default,
22,*每日双倍奖励的次数有限，可用的剩余次数和次数上限以「异器盈界」活动界面中的显示为准。,default,
23,*双倍奖励次数将于每日 04:00 重置，请开拓者及时挑战。,default,
