line_number,content,category,character
1,{{活动信息,default,
2,|名称=「异宠拾遗」,default,
3,|所属版本=1.6,default,
4,|系列活动=,default,
5,|开始时间=2023/12/27 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=1.6版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/02/05 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动、常驻活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=装饰获取、模拟、创意<!--选填-->,default,
11,|条件限制=完成开拓续闻「湛蓝星」-「[[天才群星闪耀时]]」,default,
12,|活动描述=空间站的「阮•梅造物」竟然产生了自己的社会文明！艾丝妲与螺丝咕姆委托你去一探究竟……,default,
13,|官方公告链接=https://t.bilibili.com/879301778278973524<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=星体培养皿<!--可留空-->,default,
18,|介绍语=香喷喷的点心在空间站乱窜？这不会是在做梦吧？可爱的小家伙在舱室里欢腾跳跃，现在，照顾它们的重任落在了你的肩上……<!--可留空-->,default,
19,|所属地区=1<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=命运的足迹*1、星琼*750、聊天对话框「星体培养皿」,default,
21,}},default,
22,===活动说明===,default,
23,*在「异宠拾遗」活动中，开拓者可以通过组合搭配，培育自己心仪的「『阮•梅』造物」。,default,
24,*在培育过程中，有概率发生突变，获得新的造物特征或「稀有造物」。,default,
25,*完成冒险任务「异宠拾遗」和在「禁闭舱段」中自由探索，皆可获得基础的造物特征。,default,
26,<br>,default,
27,'''■常驻奖励''',default,
28,*通过获得新的造物特征、培育「稀有造物」等方式，可提升研究等级。,default,
29,*通过提升研究等级，可获取对应奖励。,default,
30,<br>,default,
31,'''■限时奖励''',default,
32,*限时活动期间，通过完成指定培育目标，可获取对应奖励。,default,
33,==活动玩法==,default,
34,*每种造物具有不同的「造物特征」，分为「基础特征」和「突变特征」。,default,
35,*基础特征：酥壳、内馅、花纹。,content,基础特征
36,*突变特征：眼睛、装饰。,content,突变特征
37,*在「生命烘焙箱」中，两只亲代造物的「基础特征」将随机遗传给新造物。,default,
38,*培育过程中可能出现「突变」，在突变时投入材料，将培育出带有「突变特征」的造物。,default,
39,*如果感觉造物太多，可以选择「送养」。,default,
40,==社媒专栏==,default,
41,*[https://www.bilibili.com/opus/878528688454369344 「生命烘焙箱使用指南」],default,
42,*[https://www.bilibili.com/opus/881883916906004564 「阮•梅造物」大集合],default,
43,*[https://www.bilibili.com/opus/882285943058333745 「阮•梅造物」的日程表],default,
44,==活动剧情==,branch_content,
45,===活动任务===,default,
46,{{#ask:[[分类:活动任务]][[系列任务::~*异宠拾遗*]],default,
47,|?系列任务,default,
48,|format=outline,default,
49,|sort=任务编号,default,
50,|outlineproperties=系列任务}},default,
51,==活动内容==,default,
52,===造物特征===,default,
53,*普通造物的名字根据特征组合而确定，眼睛-内馅-酥壳,default,
54,*例如：一般眼睛-灰色内馅-蓝色酥壳的造物都叫做“无辜椰子卡姆啾”。,content,例如
55,====酥壳====,default,
56,"{| class=""wikitable"" style=""text-align:center""",default,
57,! 图例 !! 样式 !! 命名特点,default,
58,|-,default,
59,| [[file:造物特征-蓝色酥壳.png|x80px|link=]] || 蓝色 || 卡姆啾,default,
60,|-,default,
61,| [[file:造物特征-灰色酥壳.png|x80px|link=]] || 灰色 || 天使糕,default,
62,|-,default,
63,| [[file:造物特征-绿色酥壳.png|x80px|link=]] || 绿色 || 咕咚瓜,default,
64,|-,default,
65,| [[file:造物特征-橙色酥壳.png|x80px|link=]] || 橙色 || 芙奶酥,default,
66,|-,default,
67,| [[file:造物特征-紫色酥壳.png|x80px|link=]] || 紫色 || 霜芋仙,default,
68,|},default,
69,====内馅====,default,
70,"{| class=""wikitable"" style=""text-align:center""",default,
71,! 图例 !! 样式 !! 命名特点,default,
72,|-,default,
73,| [[file:造物特征-红色内馅.png|x80px|link=]] || 红色 || 莓果,default,
74,|-,default,
75,| [[file:造物特征-灰色内馅.png|x80px|link=]] || 灰色 || 椰子,default,
76,|-,default,
77,| [[file:造物特征-橙色内馅.png|x80px|link=]] || 橙色 || 橙渍,default,
78,|-,default,
79,| [[file:造物特征-紫色内馅.png|x80px|link=]] || 紫色 || 蜜豆,default,
80,|-,default,
81,| [[file:造物特征-棕色内馅.png|x80px|link=]] || 棕色 || 咖啡,default,
82,|},default,
83,====花纹====,default,
84,"{| class=""wikitable"" style=""text-align:center""",default,
85,! 图例 !! 样式,default,
86,|-,default,
87,| [[file:造物特征-无花纹.png|x80px|link=]] || 无花纹,default,
88,|-,default,
89,| [[file:造物特征-人字花纹.png|x80px|link=]] || 人字,default,
90,|-,default,
91,| [[file:造物特征-白圈花纹.png|x80px|link=]] || 白圈,default,
92,|-,default,
93,| [[file:造物特征-斑点花纹.png|x80px|link=]] || 斑点,default,
94,|-,default,
95,| [[file:造物特征-唇爪花纹.png|x80px|link=]] || 唇爪,default,
96,|},default,
97,====装饰====,default,
98,"{| class=""wikitable"" style=""text-align:center""",default,
99,! 图例 !! 样式 !! 材料,default,
100,|-,default,
101,| [[file:造物特征-尾巴绷带.png|x80px|link=]] || 尾巴绷带 ||align=left| {{图标|风之旋}},default,
102,|-,default,
103,| [[file:造物特征-尾巴发圈.png|x80px|link=]] || 尾巴发圈 ||align=left| {{图标|火之翎}},default,
104,|-,default,
105,| [[file:造物特征-尾巴皮带.png|x80px|link=]] || 尾巴皮带 ||align=left| {{图标|零件}},default,
106,|-,default,
107,| [[file:造物特征-尾巴创可贴.png|x80px|link=]] || 尾巴创可贴 ||align=left| {{图标|燃素}},default,
108,|-,default,
109,| [[file:造物特征-尾巴花边饰带.png|x80px|link=]] || 尾巴花边饰带 ||align=left| {{图标|虚粒子}},default,
110,|-,default,
111,| [[file:造物特征-头上小花.png|x80px|link=]] || 头上小花 ||align=left| {{图标|种子}},default,
112,|-,default,
113,| [[file:造物特征-头上流汗.png|x80px|link=]] || 头上流汗 ||align=left| {{图标|垃圾}},default,
114,|-,default,
115,| [[file:造物特征-身体白环.png|x80px|link=]] || 身体白环 ||align=left| {{图标|冰之芯}},default,
116,|-,default,
117,| [[file:造物特征-头上四叶草.png|x80px|link=]] || 头上四叶草 ||align=left| {{图标|虚数残叶}},default,
118,|-,default,
119,| [[file:造物特征-头上奶油.png|x80px|link=]] || 头上奶油 ||align=left| {{图标|蛋白米}},default,
120,,default,
121,|},default,
122,====眼睛====,default,
123,"{| class=""wikitable"" style=""text-align:center""",default,
