line_number,content,category,character
1,{{活动信息,default,
2,|名称=「循星归程」,default,
3,|所属版本=1.2,default,
4,|系列活动=,default,
5,|开始时间=2023/07/19 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=1.2版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=9999/01/01<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=永久<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=永久活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=回归<!--选填-->,default,
11,|条件限制=开拓等级≥10级，且完成开拓任务「雅利洛-Ⅵ」-「[[她等待刀尖已经太久]]」<br>连续未登录游戏天数≥14天<br>距离上一次激活「循星归程」活动≥40天,default,
12,|活动描述=,default,
13,|官方公告链接=https://www.bilibili.com/opus/819897230922088483<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=亲爱的开拓者：<br><br>,content,亲爱的开拓者
18,回归活动「循星归程」上线，满足回归条件的开拓者可通过完成活动领取自选4星光锥、星琼等奖励。,default,
19,|活动时间补充=激活「循星归程」活动当天至激活起第15天04:00（服务器时间）<br>※若您在1月1日登录并激活了「循星归程」活动，则您的活动奖开放至1月15日04:00（服务器时间）。,default,
20,}},default,
21,===活动说明===,default,
22,*活动期间，回归的开拓者可以领取1次「'''星回赐礼'''」奖励。,default,
23,*参与并完成「'''七日签到'''」和「'''回归进程'''」活动可以获得对应的奖励。活动期间挑战并通关拟造花萼，还可以享受「'''礼遇成双'''」带来的双倍奖励。<br>,default,
24,<br>,default,
25,'''■「七日签到」累计登录奖励'''<br>,default,
26,*活动期间，每日登录即可领取{{图标|星琼}}、{{图标|燃料}}等奖励，奖励将于每日04:00（服务器时间）更新。,default,
27,*每日登录奖励仅可领取1次，最多可以领取7天奖励。,default,
28,<br>,default,
29,'''■「回归进程」回归任务奖励'''<br>,default,
30,*活动期间，完成指定任务可获得{{颜色|描述|任务奖励}}和{{图标|归程轨迹}}。当归程轨迹达到指定数量，可领取对应档位的奖励，每档额外奖励仅可领取1次。当归程轨迹累计至800点时，开拓者可领取{{图标|「忆持光匣」}}。,default,
31,*「回归进程」分为4个阶段，每个阶段将于每日04:00（服务器时间）依次开放。,default,
32,*忆持光匣中包含：4星光锥「{{图标|等价交换}}（丰饶）」「{{图标|延长记号}}（虚无）」「{{图标|我们是地火}}（存护）」「{{图标|春水初生}}（巡猎）」「{{图标|过往未来}}（同谐）」「{{图标|汪！散步时间！}}（毁灭）」「{{图标|早餐的仪式感}}（智识）」，开启后可从以上4星光锥中任选一张。,content,忆持光匣中包含
33,<br>,default,
34,'''■「礼遇成双」额外双倍奖励'''<br>,default,
35,*开拓者在回归期间共会获得{{颜色|描述|42次}}拟造花萼双倍奖励的机会，每日6次。消耗开拓力挑战并通关{{颜色|描述|「拟造花萼(金)」}}和{{颜色|描述|「拟造花萼(赤)」}}时，将获得双倍奖励。,default,
36,*双倍奖励次数将于每日04:00(服务器时间)重置，请开拓者及时挑战。,default,
37,:{{颜色|描述1|※若「循星归程」活动期间，「花藏繁生」活动同时开启，挑战并通关「拟造花萼」时，将优先消耗「花藏繁生」活动的双倍奖励次数。}},default,
38,<br>,default,
39,'''■「回归问卷」''' <br>,default,
40,*填写调查问卷可获得奖励，奖励将通过邮件进行发放。问卷仅可填写1次，若您已提交问卷，则不可重复填写或修改。,default,
41,,default,
42,==活动指南==,default,
43,<gallery>,default,
44,循星归程-活动指南.jpg,default,
45,</gallery>,default,
46,==活动奖励==,default,
47,=== 星回赠礼 ===,default,
48,{{图标|材料|星琼|100}}{{图标|材料|漫游指南|10}}{{图标|材料|提纯以太|8}}{{图标|材料|信用点|100000}},default,
49,=== 七日签到 ===,default,
50,"{| class=""wikitable""",default,
51,|-,default,
52,! 第一天 !! 第二天 !! 第三天 !! 第四天 !! 第五天 !! 第六天 !! 第七天,default,
53,|-,default,
54,| {{图标|材料|星琼|100}} || {{图标|材料|燃料|2}} || {{图标|材料|星琼|100}} || {{图标|材料|漫游指南|10}} || {{图标|材料|燃料|10}} || {{图标|材料|提纯以太|2}} || {{图标|材料|星琼|100}},default,
55,|},default,
56,=== 归还之路 ===,default,
57,"{| class=""wikitable"" style=""text-align:center""",default,
58,! colspan=5 | 达到积分领取奖励,default,
59,|-,default,
60,| 100 || 200 || 400 || 600 || 800,default,
61,|-,default,
62,| {{图标|材料|星琼|100}} || {{图标|材料|燃料|1}} || {{图标|材料|星琼|100}} || {{图标|材料|燃料|1}} || {{图标|材料|忆持光匣|1}},default,
63,|},default,
64,,default,
65,"{| class=""wikitable""",default,
66,! rowspan=6 | 始发站,default,
67,| 登录1天 || {{图标|材料|归程轨迹|20}}{{图标|材料|冒险记录|2}}{{图标|材料|凝缩以太|2}},default,
68,|-,default,
69,| 累计获取500活跃度 || {{图标|材料|归程轨迹|40}}{{图标|材料|冒险记录|2}}{{图标|材料|遗失碎金|2}},default,
70,|-,default,
71,| 累计消耗120点开拓力 || {{图标|材料|归程轨迹|40}}{{图标|材料|冒险记录|2}}{{图标|材料|遗失碎金|2}},default,
72,|-,default,
73,| 完成1次「拟造花萼」 || {{图标|材料|归程轨迹|20}}{{图标|材料|冒险记录|2}}{{图标|材料|信用点|10000}},default,
74,|-,default,
75,| 合成1个消耗品 || {{图标|材料|归程轨迹|20}}{{图标|材料|愈合喷剂|2}}{{图标|材料|信用点|10000}},default,
76,|-,default,
77,| 派遣一次委托 || {{图标|材料|归程轨迹|20}}{{图标|材料|凝缩以太|2}}{{图标|材料|信用点|10000}},default,
78,|-,default,
79,! rowspan=6 | 第二站,default,
80,| 累计登录2天 || {{图标|材料|归程轨迹|20}}{{图标|材料|冒险记录|2}}{{图标|材料|凝缩以太|2}},default,
81,|-,default,
82,| 将任意角色等级提升1次 || {{图标|材料|归程轨迹|20}}{{图标|材料|冒险记录|2}}{{图标|材料|信用点|10000}},default,
83,|-,default,
84,| 将任意光锥等级提升1次 || {{图标|材料|归程轨迹|20}}{{图标|材料|遗失碎金|2}}{{图标|材料|信用点|10000}},default,
85,|-,default,
86,| 累计消灭20个敌人 || {{图标|材料|归程轨迹|20}}{{图标|材料|一次性防护壁|2}}{{图标|材料|信用点|15000}},default,
87,|-,default,
88,| 累计获取1000活跃度 || {{图标|材料|归程轨迹|20}}{{图标|材料|凝缩以太|2}}{{图标|材料|遗失碎金|2}},default,
89,|-,default,
90,| 累计消耗240点开拓力 || {{图标|材料|归程轨迹|20}}{{图标|材料|冒险记录|2}}{{图标|材料|遗失碎金|2}},default,
91,|-,default,
92,! rowspan=6 | 第三站,default,
93,| 累计登录3天 || {{图标|材料|归程轨迹|20}}{{图标|材料|冒险记录|2}}{{图标|材料|凝缩以太|2}},default,
94,|-,default,
95,| 累计获取1500活跃度 || {{图标|材料|归程轨迹|40}}{{图标|材料|凝缩以太|2}}{{图标|材料|遗失碎金|2}},default,
96,|-,default,
97,| 累计消耗360点开拓力 || {{图标|材料|归程轨迹|40}}{{图标|材料|冒险记录|2}}{{图标|材料|遗失碎金|2}},default,
98,|-,default,
99,| 将任意遗器等级提升1次 || {{图标|材料|归程轨迹|20}}{{图标|材料|遗失碎金|2}}{{图标|材料|信用点|10000}},default,
