line_number,content,category,character
1,{{活动信息,default,
2,|名称=「循星归程」第二期,default,
3,|所属版本=2.3,default,
4,|系列活动=,default,
5,|开始时间=2024/06/19 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2.3版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=9999/01/01<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=永久<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=永久活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=回归<!--选填-->,default,
11,|条件限制=开拓等级≥10级，且完成开拓任务「雅利洛-Ⅵ」-「[[她等待刀尖已经太久]]」<br>连续未登录游戏天数≥14天<br>距离上一次激活「循星归程」活动≥40天,default,
12,|活动描述=,default,
13,|官方公告链接=https://www.bilibili.com/opus/819897230922088483<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=亲爱的开拓者：<br><br>,content,亲爱的开拓者
18,2.3版本开始，回归活动「循星归程」更新，满足回归条件的开拓者可更快地完成活动领取自选4星光锥、星琼等奖励。,default,
19,|活动时间补充=激活「循星归程」活动当天至激活起第15天04:00（服务器时间）<br>※若您在1月1日登录并激活了「循星归程」活动，则您的活动奖开放至1月15日04:00（服务器时间）。,default,
20,}},default,
21,===更新内容===,default,
22,*优化了「循星归程」活动页面的展示。,default,
23,*移除了「回归进程」中逐日解锁4个阶段的限制，调整了「回归进程」中回归任务、奖励与领取奖励所需的归程轨迹，「回归进程」中的任务可一次性全部完成，开拓者可更快地完成活动，获取「忆持光匣」。,default,
24,*移除了「礼遇成双」额外双倍奖励的每日次数限制，同时新增了4次隧洞遗器或位面饰品双倍奖励机会。开拓者在回归期间会一次性获得42次花萼双倍奖励机会，以及4次隧洞遗器或位面饰品双倍奖励机会，消耗开拓力与双倍奖励次数后，将在原有奖励之外额外获得一次奖励。,default,
25,**若开拓者在2.3版本更新前，激活了「循星归程」活动，您的活动进度不会受到本次更新的影响，也不会有本次更新新增的4次隧洞遗器或位面饰品双倍奖励机会。但是，「回归进程」中逐日解锁4个阶段的限制将解除，2.3版本更新后开拓者可一次性完成全部回归任务。,default,
26,,default,
27,==活动说明==,default,
28,*活动期间，回归的开拓者可以领取1次「'''星回赐礼'''」奖励。,default,
29,*参与并完成「'''七日签到'''」和「'''回归进程'''」活动可以获得对应的奖励。活动期间挑战并通关拟造花萼，还可以享受「'''礼遇成双'''」带来的双倍奖励。<br>,default,
30,<br>,default,
31,'''■「七日签到」累计登录奖励'''<br>,default,
32,*活动期间，每日登录即可领取{{图标|星琼}}、{{图标|燃料}}等奖励，奖励将于每日04:00（服务器时间）更新。,default,
33,*每日登录奖励仅可领取1次，最多可以领取7天奖励。,default,
34,<br>,default,
35,'''■「回归进程」回归任务奖励'''<br>,default,
36,*活动期间，完成指定任务可获得{{颜色|描述|任务奖励}}和{{图标|归程轨迹}}。当归程轨迹达到指定数量，可领取对应档位的奖励，每档额外奖励仅可领取1次。当归程轨迹累计至400点时，开拓者可领取{{图标|「忆持光匣」}}。,default,
37,*忆持光匣中包含：4星光锥「{{图标|等价交换}}（丰饶）」「{{图标|延长记号}}（虚无）」「{{图标|我们是地火}}（存护）」「{{图标|春水初生}}（巡猎）」「{{图标|过往未来}}（同谐）」「{{图标|汪！散步时间！}}（毁灭）」「{{图标|早餐的仪式感}}（智识）」，开启后可从以上4星光锥中任选一张。,content,忆持光匣中包含
38,<br>,default,
39,'''■「礼遇成双」额外双倍奖励'''<br>,default,
40,开拓者在回归期间{{颜色|描述|共会获得42次}}花萼双倍奖励的机会，{{颜色|描述|4次}}隧洞遗器或位面饰品双倍奖励机会。消耗双倍奖励次数与开拓力后，将在原有奖励之外额外获得一次奖励。,default,
41,:{{颜色|描述1|※若「循星归程」活动期间，存在「花藏繁生」等活动同时开启，挑战并通关「拟造花萼」时，将优先消耗「花藏繁生」等活动的双倍奖励次数。}},default,
42,<br>,default,
43,'''■「回归问卷」''' <br>,default,
