line_number,content,category,character
1,{{活动信息,default,
2,|名称=「惊梦电视台」,default,
3,|所属版本=2.0,default,
4,|系列活动=,default,
5,|开始时间=2024/02/29 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/03/25 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=战斗<!--选填-->,default,
11,|条件限制=完成开拓任务「匹诺康尼」-「[[是谁杀死了…]]」,default,
12,|活动描述=匹诺康尼的某些屏幕突然开始播放一些奇怪的节目，引起了你与匹诺康尼电视台的注意……,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=4<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=命运的足迹*1、星琼*500、；遗器残骸、漫游指南,default,
21,}},default,
22,===活动说明===,default,
23,<!-- 文本形式的活动说明 -->,default,
24,,default,
25,<!-- ==活动玩法==,default,
26,===玩法介绍===,default,
27,<gallery>,default,
28,活动名-玩法介绍.jpg,default,
29,</gallery>,default,
30,===规则说明===,default,
31,{| class=wikitable,default,
32,!教程图名,default,
33,|[[File:活动名-规则说明1.png|400px]],default,
34,|教程图文本描述,default,
35,|-,default,
36,!教程图名,default,
37,|[[File:活动名-规则说明2.png|400px]],default,
38,|教程图文本描述,default,
39,|} -->,default,
40,,default,
41,<!-- ==社媒专栏== -->,default,
42,==活动剧情==,branch_content,
43,===活动任务===,default,
44,{{#ask:[[分类:活动任务]][[系列任务::~*此处写任务系列名*]],default,
45,|?系列任务,default,
46,|format=outline,default,
47,|sort=任务编号,default,
48,|outlineproperties=系列任务}},default,
49,<!-- ==活动内容== -->,default,
50,,default,
51,,default,
52,==活动奖励==,default,
53,===限时奖励===,default,
54,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
55,!rowspan=4|与银袋山同行,default,
56,|触发【弱点击破】机制，将关卡增益提升至4档,default,
57,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
58,|-,default,
59,|在「终极挑战」阶段，积分达到40000,default,
60,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
61,|-,default,
62,|在「终极挑战」阶段，积分达到60000,default,
63,|{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
64,|-,default,
65,|在「终极挑战」阶段，积分达到80000,default,
66,|{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
67,|-,default,
68,!rowspan=4|匹诺康尼偶像,default,
69,|触发【微笑三消】机制，将关卡增益提升至12档,default,
70,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
71,|-,default,
72,|在「终极挑战」阶段，积分达到40000,default,
73,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
74,|-,default,
75,|在「终极挑战」阶段，积分达到60000,default,
76,|{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
77,|-,default,
78,|在「终极挑战」阶段，积分达到80000,default,
79,|{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
80,|-,default,
81,!rowspan=4|地狱厨房,default,
82,|触发【叠层引爆】机制，将关卡增益提升至5档,default,
83,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
84,|-,default,
85,|在「终极挑战」阶段，积分达到40000,default,
86,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
87,|-,default,
88,|在「终极挑战」阶段，积分达到60000,default,
89,|{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
90,|-,default,
91,|在「终极挑战」阶段，积分达到80000,default,
92,|{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
93,|-,default,
94,!rowspan=4|与猩共舞,default,
95,|触发【反震还击】机制，将关卡增益提升至20档,default,
96,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
97,|-,default,
98,|在「终极挑战」阶段，积分达到40000,default,
99,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
100,|-,default,
101,|在「终极挑战」阶段，积分达到60000,default,
102,|{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
103,|-,default,
104,|在「终极挑战」阶段，积分达到80000,default,
105,|{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
106,|-,default,
107,!rowspan=4|情绪黑洞,default,
108,|在当前关卡中，积分达到30000,default,
109,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|50000}},default,
110,|-,default,
111,|在当前关卡中，积分达到40000,default,
112,|{{图标|材料|星琼|50}}{{图标|材料|漫游指南|3}}{{图标|材料|提纯以太|3}},default,
113,|-,default,
114,|在当前关卡中，积分达到60000,default,
115,|{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
116,|-,default,
117,|在当前关卡中，积分达到80000,default,
118,|{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
119,|-,default,
120,|},default,
121,====电视台谢礼====,default,
122,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
123,!完成全部关卡，且积分均达到40000,default,
124,|{{图标|材料|命运的足迹|1}},default,
125,|},default,
126,==无名勋礼奖励==,default,
127,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
128,|{{图标|材料|无名客的经验|1400}},default,
129,|在「惊梦电视台」活动中，完成全部关卡，且关卡积分均达到40000分,default,
130,|},default,
