line_number,content,category,character
1,{{活动信息,default,
2,|名称=「无尽位面」,default,
3,|所属版本=1.4,default,
4,|系列活动=,default,
5,|开始时间=2023/10/27 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/11/13 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=模拟宇宙、战斗<!--选填-->,default,
11,|条件限制=通关「模拟宇宙•第五世界」,default,
12,|活动描述=这一次，黑塔与另外三位天才俱乐部会员对模拟宇宙做了些，呃，小小的疯狂改造，没想到各自捅了点篓子——代码发生错乱，宇宙开始无尽膨胀了！<br>现在只能靠你去解决这个疯狂的宇宙了！,default,
13,|官方公告链接=https://www.bilibili.com/opus/856642394124189699?spm_id_from=333.999.0.0<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=黑塔、螺丝咕姆、阮•梅<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=1<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,}},default,
21,===活动说明===,default,
22,*活动开启后，每日将会解锁新的位面，共计5个位面。,default,
23,*每个位面均由「常规位面」「最终试炼」组成，通关「常规位面」后，可进入「最终试炼」。,default,
24,*每个「常规位面」均有不同的位面规则，帮助开拓者获取更多祝福、奇物、宇宙碎片，提升开拓者实力。,default,
25,*「最终试炼」为多层连续战斗，每1波次战斗记作1层，设有6轮次倒计时，随层数提升，敌人将不断增强。,default,
26,*「最终试炼」中，对敌方造成伤害及击败敌人，可获得「试炼点数」。通关时如有剩余轮次还可额外获得「试炼点数」。,default,
27,*通关「常规位面」后下载的角色，获得的祝福、奇物、宇宙碎片等数据将自动存档。开拓者可使用存档反复挑战「最终试炼」，获取更高「试炼点数」。,default,
28,===注意事项===,default,
29,*当开拓者提升「均衡等级」时，活动中敌人等级将同步提升。,default,
30,*「常规位面」探索结算时，会'''根据本次探索的进度获得「模拟宇宙积分」和「技能点」'''。,default,
31,*「无尽位面」活动可继承模拟宇宙技能树养成结果（开拓祝福除外）。,default,
32,*「无尽位面」活动内获取的祝福、奇物与遭遇的事件，'''不会解锁「模拟宇宙图鉴」'''。,default,
33,==活动剧情==,branch_content,
34,*[[无尽位面]],default,
35,==活动内容==,default,
36,===位面一览===,default,
37,"{| class=""wikitable""",default,
38,!colspan=2|「无尽膨胀奇物」位面,default,
39,|-,default,
40,|colspan=2 align=center|黑塔对大乐透做了点小改造…糟糕，奇物在源源不断地冒出来！,default,
41,|-,default,
42,! 推荐队伍等级,default,
43,|80,default,
44,|-,default,
45,! 推荐角色属性,default,
46,|[[file:物理.png|link=|24px]][[file:雷.png|link=|24px]],default,
47,|-,default,
48,! rowspan=3|位面规则,default,
49,|初始赠送改造奇物：{{颜色|描述|银河大乐透（无尽）}}。该位面内{{颜色|描述|大乐透不会被损毁}}，敲破坏物可能会获得奇物。,content,初始赠送改造奇物
50,|-,default,
51,|初始赠送改造奇物：{{颜色|描述|万识囊（无尽）}}。该位面内存在大量可破坏物，击碎后收益翻倍。,content,初始赠送改造奇物
52,|-,default,
53,|每次进入新区域可获得1张随机祝福。,default,
54,|-,default,
55,! 初始奇物,default,
56,|{{图标|银河大乐透（无尽）}}{{图标|万识囊（无尽）}},default,
57,|-,default,
58,!colspan=2|「无尽膨胀培育」位面,default,
59,|-,default,
60,|colspan=2 align=center|阮•梅在这里等着你，仿佛是专门为给予你「奖励」——但她请你不要告诉黑塔……,default,
61,|-,default,
62,! 推荐队伍等级,default,
63,|80,default,
64,|-,default,
65,! 推荐角色属性,default,
66,|[[file:火.png|link=|24px]][[file:量子.png|link=|24px]],default,
67,|-,default,
68,! rowspan=3|位面规则,default,
69,|将遇见天才俱乐部#81{{颜色|描述|阮•梅}}培育的全新秘密「切片」。,default,
70,|-,default,
71,|位面内所有区域均为区域-事件（区域-首领除外），完成事件后可获得1张随机祝福。,default,
72,|-,default,
73,|每次进入新区域可获得1张随机祝福。,default,
74,|-,default,
75,!colspan=2|「无尽膨胀碎片」位面,default,
76,|-,default,
77,|colspan=2 align=center|螺丝咕姆的代码推演出了错误版『纯美之袍』…接着，它产生的奇妙化学反应，让宇宙碎片不停地向外涌现！,default,
78,|-,default,
79,! 推荐队伍等级,default,
80,|80,default,
81,|-,default,
82,! 推荐角色属性,default,
83,|[[file:雷.png|link=|24px]][[file:火.png|link=|24px]],default,
84,|-,default,
85,! rowspan=3|位面规则,default,
86,|初始赠送改造奇物：{{颜色|描述|纯美之袍（无尽）}}，位面内{{颜色|描述|已消耗}}宇宙碎片同样可提供伤害加成。,content,初始赠送改造奇物
87,|-,default,
88,|进入新区域、获得战斗胜利、敲碎部分可破坏物时，可{{颜色|描述|随机}}获得大量宇宙碎片，并{{颜色|描述|不再获得祝福}}。,default,
89,|-,default,
90,|区域-休整内可购买大量祝福。,default,
91,|-,default,
92,! 初始奇物,default,
93,|{{图标|纯美之袍（无尽）}},default,
94,|-,default,
95,!colspan=2|「无尽膨胀碎饵」位面,default,
96,|-,default,
97,|colspan=2 align=center|斯蒂芬•劳艾德本想用碎星芳饵吸引宇宙中的古兽，没想到吸引到了大量扑满……,default,
98,|-,default,
99,! 推荐队伍等级,default,
100,|80,default,
101,|-,default,
102,! 推荐角色属性,default,
103,|[[file:风.png|link=|24px]][[file:虚数.png|link=|24px]],default,
104,|-,default,
105,! rowspan=3|位面规则,default,
106,|位面内出现大量扑满，抓住扑满可获得2张随机祝福。,default,
107,|-,default,
108,|区域-冒险内每抓住1只扑满，结算时便可获得1张随机祝福。,default,
109,|-,default,
110,|每次进入新区域可获得1张随机祝福。,default,
111,|-,default,
112,! 初始奇物,default,
113,|{{图标|碎星芳饵（无尽）}},default,
114,|-,default,
115,!colspan=2|「无尽膨胀升级」位面,default,
116,|-,default,
117,|colspan=2 align=center|游戏狂人斯蒂芬捅的篓子——你的祝福可以无尽强化了！他称这是在尝试更棒的游戏体验……,default,
118,|-,default,
119,! 推荐队伍等级,default,
120,|80,default,
121,|-,default,
122,! 推荐角色属性,default,
123,|[[file:冰.png|link=|24px]][[file:量子.png|link=|24px]],default,
124,|-,default,
125,! rowspan=3|位面规则,default,
126,|初始赠送所选命途{{颜色|描述|活动限定祝福}}。,default,
127,|-,default,
128,|进入新区域、战胜精英及首领后均可获得活动限定祝福。,default,
129,|-,default,
130,|单张活动限定祝福可{{颜色|描述|重复获取}}，每获得1张可视作对其进行{{颜色|描述|1次强化}}，单张活动限定祝福最多可被{{颜色|描述|强化9次}}。,default,
131,|-,default,
132,! 初始祝福,default,
133,|初始赠送所选命途的{{颜色|描述|1张活动限定祝福}}，{{颜色|描述|1张3星强化祝福}},default,
134,|-,default,
135,|},default,
136,===敌方信息===,default,
137,{{切换板|开始}},default,
138,{{切换板|默认显示|「无尽膨胀奇物」位面}},default,
139,{{切换板|默认折叠|「无尽膨胀培育」位面}},default,
140,{{切换板|默认折叠|「无尽膨胀碎片」位面}},default,
141,{{切换板|默认折叠|「无尽膨胀碎饵」位面}},default,
142,{{切换板|默认折叠|「无尽膨胀升级」位面}},default,
143,{{切换板|显示内容}},default,
144,"{| class=""wikitable"" style=""width:100%;text-align:center;""",default,
145,!colspan=2|敌人信息,default,
146,|-,default,
147,!常规位面首领,default,
148,|{{图标|杰帕德（完整）}},default,
149,|-,default,
150,!常规位面精英,default,
151,|{{图标|自动机兵•齿狼}}、{{图标|炽燃徘徊者}}、{{图标|虚卒•践踏者}}、{{图标|承露天人}},default,
152,|-,default,
153,!最终试炼1层,default,
154,|{{图标|巽风造物}}、{{图标|兴风者}}、{{图标|巽风造物}},default,
155,|-,default,
156,!最终试炼2层,default,
157,|{{图标|自动机兵•灰熊}},default,
158,|-,default,
159,!最终试炼3层,default,
160,|{{图标|虚数织叶者}}、{{图标|蚕食者之影}}、{{图标|虚数织叶者}},default,
161,|-,default,
162,!最终试炼4层,default,
163,|{{图标|可可利亚（敌方）}},default,
164,|-,default,
165,!最终试炼5层,default,
166,|{{图标|金人司阍}}、{{图标|承露天人}},default,
167,|-,default,
168,!最终试炼6层,default,
169,|{{图标|银鬃尉官（错误）}},default,
170,|-,default,
171,!最终试炼7层,default,
172,|{{图标|外宇宙之炎（错误）}}、{{图标|守护者之影（错误）}},default,
173,|-,default,
174,!最终试炼8层,default,
175,|{{图标|杰帕德（完整）}},default,
176,|},default,
177,{{切换板|内容结束}},default,
178,{{切换板|折叠内容}},default,
179,"{| class=""wikitable"" style=""width:100%;text-align:center;""",default,
180,!colspan=2|敌人信息,default,
181,|-,default,
182,!常规位面首领,default,
183,|{{图标|可可利亚（完整）}},default,
184,|-,default,
185,!最终试炼1层,default,
186,|{{图标|银鬃尉官}},default,
187,|-,default,
188,!最终试炼2层,default,
189,|{{图标|永冬灾影}}、{{图标|守护者之影}}、{{图标|永冬灾影}},default,
190,|-,default,
191,!最终试炼3层,default,
192,|{{图标|魔阴身士卒}}、{{图标|承露天人}}、{{图标|魔阴身士卒}},default,
193,|-,default,
194,!最终试炼4层,default,
195,|{{图标|布洛妮娅（敌方）}},default,
196,|-,default,
197,!最终试炼5层,default,
198,|{{图标|外宇宙之冰}}、{{图标|外宇宙之炎}},default,
199,|-,default,
200,!最终试炼6层,default,
201,|{{图标|深寒徘徊者（错误）}},default,
202,|-,default,
203,!最终试炼7层,default,
204,|{{图标|丰饶灵兽•长右（错误）}}、{{图标|兴风者（错误）}},default,
205,|-,default,
206,!最终试炼8层,default,
207,|{{图标|可可利亚（完整）}},default,
208,|},default,
209,{{切换板|内容结束}},default,
210,{{切换板|折叠内容}},default,
211,"{| class=""wikitable"" style=""width:100%;text-align:center;""",default,
212,!colspan=2|敌人信息,default,
213,|-,default,
214,!常规位面首领,default,
215,|{{图标|史瓦罗（敌方）}},default,
216,|-,default,
217,!常规位面精英,default,
