line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「无尽的三月七」,default,
3,|所属版本=1.0,default,
4,|开始时间=2023/04/28 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/05/03 12:00<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=网页活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|条件限制=开拓者首次进入H5活动需同意《「无尽的三月七」H5网页活动说明》并登录米游社通行证,default,
10,|活动描述=开拓者可以上传照片，奇物「模因共振机」将会显示出开拓者心目中最为可爱的存在❀,default,
11,|官方公告链接=https://t.bilibili.com/789483725895237801<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
12,|出场人物=三月七<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
13,|角色获取=<!--选填-->,default,
14,|介绍语=空间读数异常！<br>,default,
15,前方区域受到不明能量干扰产生了扭曲现象！<br>,default,
16,开拓者，快使用奇物「模因共振机」，通过共振将所有影像转换为宇宙中最可爱的存在，吸收干扰能量！<br>,default,
17,嗯？帕姆才没有胡言乱语帕，也没有被三月七乘客威胁帕！<br>,default,
18,咱就是说……等等！怎么连帕姆也……不要啊帕！<br><br>,default,
19,《崩坏：星穹铁道》网页活动——「无尽的三月七」现已上线！<br><br>,content,崩坏
20,<center>[https://webstatic.mihoyo.com/sr/event/e20230428ai-0x2qd1/index.html >>点击参与「无尽的三月七」网页活动<<]</center>,default,
21,}}<!--,default,
22,-->===活动说明===,default,
23,#开拓者可上传尺寸大于500*426 像素，文件小于10mb的图片；建议图片清晰，包含视觉重心（人或物），以获得更好的游玩体验,default,
24,#如果当前游玩人数过多，将会出现排队情况，请开拓者们错峰体验,default,
