line_number,content,category,character
1,{{活动信息,default,
2,|名称={{PAGENAME}},default,
3,|所属版本=2.5,default,
4,|系列活动=,default,
5,|开始时间=2024/09/10 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2.5版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/10/21 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=版本活动、常驻活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=剧情、战斗、随宠获取<!--选填-->,branch_content,
11,|条件限制=开拓等级≥21级<br>,default,
12,※本内容支持使用「终末视界」提前体验。<br>,default,
13,※建议开拓者完成开拓续闻「仙舟『罗浮』」-「明霄竞武试锋芒」后体验本内容。,default,
14,|活动描述=星天演武仪典在罗浮竞锋舰隆重召开，全银河的武林高手汇聚一堂跃跃欲试。而你也将亲身参与这场武林盛会，开启一段充满传奇色彩的演武之旅……,default,
15,|官方公告链接=https://www.bilibili.com/opus/975057221611159574?spm_id_from=33.999.0.0<!--填写星铁驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
16,|出场人物=彦卿、卢卡、托帕、波提欧、银枝、克拉拉、虎克、三月七、素裳、杰帕德、布洛妮娅、佩拉、玲可、希儿、青雀、灵砂、藿藿、景元、驭空<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
17,|角色获取=<!--可留空-->,default,
18,|光锥获取=<!--可留空-->,default,
19,|装饰获取=<!--可留空-->,default,
20,|介绍语=<!--可留空-->,default,
21,|所属地区=3<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
22,}},default,
23,===活动说明===,default,
24,*活动中，开拓者将作为贝洛伯格代表队卢卡选手的教练，共同参与「星天演武仪典」赛事。,default,
25,*赛事包括若干个赛程。每个赛程中，选手需参加「叩关赛」击败其他选手获得积分，积分达标后可挑战各赛程「擂台赛」擂主，挑战成功即可晋级至后续赛程，参与最终的「竞锋守擂」挑战。,default,
26,*部分赛程存在可选择挑战的「特别邀请赛」，挑战「特别邀请赛」期间，可正常参加「叩关赛」。,default,
27,*演武比赛中，双方选手将根据场下观众对自己的支持度，分别获得「气氛值」。在战斗中完成特定战斗行为，上演「高光时刻」，可积累我方「气氛值」，对手进行特定行动时，也会积累其「气氛值」。任一方「气氛值」达到上限时，赛场将进入「强化鼓舞」状态，获得观众支持的选手将获得强大增益以赢得比赛。,default,
28,* 开拓者作为卢卡选手的教练，也可在战斗前装配「战术秘籍」和「战术饮料」帮助卢卡获取特定增益。,default,
29,* 完成各赛程「擂台赛」后，可解锁新的「梦境训练」关卡，共计5关。「梦境训练」中，可挑战难度较高的擂主战斗，完成挑战目标可领取「训练奖励」。,default,
30,===注意事项===,default,
31,* 当开拓者提升「均衡等级」时，敌方强度将同步提升。,default,
32,*开拓者可以选择试用角色参与挑战。,default,
33,* 限时活动期结束后，开拓者将无法获取限时活动奖励，但仍可前往场景「竞锋舰」的「战术板」体验活动并获取常驻奖励。,default,
34,==社媒专栏==,default,
