line_number,content,category,character
1,{{活动信息,default,
2,|名称=「星旅寻影」,default,
3,|所属版本=1.5,default,
4,|开始时间=2023/12/01 12:00,default,
5,|结束时间=2023/12/11 03:59,default,
6,|类型=常规活动,default,
7,|TAG=剧情、拍照,branch_content,
8,|条件限制=开拓等级≥21级,default,
9,|活动描述=在开拓之旅中，你们遭遇的奇景与趣事都被三月七拍摄了下来，但这些照片似乎出现了一些问题……,default,
10,|官方公告链接=https://t.bilibili.com/869259285743271961,default,
11,|出场人物=三月七、阿兰、艾丝妲、佩佩、帕姆、黑塔、桑博、虎克,default,
12,|所属地区=1、2,default,
13,}},default,
14,===活动说明===,default,
15,*活动开启后，开拓者需要帮助三月七重新拍摄被黑影覆盖的照片，被黑影覆盖的照片共有14张，每日开启2张，一共7日。,default,
16,*开拓者可根据照片上黑影的形状寻找拍摄目标，成功拍摄后即可领取对应奖励。,default,
17,==规则说明==,default,
18,"{|class=""wikitable""",default,
19,|[[File:星旅寻影-规则说明.png|400px]]||三月七的照片损坏，内容被黑影遮蔽。{{颜色|描述2|寻找}}照片中被{{颜色|描述2|黑影}}覆盖的东西，重新{{颜色|描述2|拍摄目标}}，帮助三月七还原照片吧。,default,
20,|},default,
21,==活动剧情==,branch_content,
22,{{#ask:[[分类:活动任务]][[系列任务::~*星旅寻影*]],default,
23,|?系列任务,default,
24,|format=outline,default,
25,|sort=任务编号,default,
26,|outlineproperties=系列任务}},default,
27,==活动内容==,default,
28,"{|class=""wikitable""",default,
29,!地区!!线索!!描述,default,
30,|-,default,
31,!rowspan=2|01 主控舱段,default,
32,|[[file:星旅寻影-佩佩1.png|center|300px]]这个尖尖的东西…是犄角？还是…耳朵？<br>难道是空间站中的神秘怪物？,default,
33,|[[file:星旅寻影-佩佩2.png|center|300px]]'''佩佩'''<br>汪汪…汪汪！佩佩小狗今天也在认真工作汪！<br>备注：照片备份已发送至阿兰。,content,备注
34,|-,default,
35,|[[file:星旅寻影-艾丝妲1.png|center|300px]]似乎是某个人的身影…模糊的边缘无法判断其外貌特征。<br>去主控舱段找找看吧，或许是某位熟悉的朋友。,default,
36,|[[file:星旅寻影-艾丝妲2.png|center|300px]]'''艾丝妲'''<br>是艾丝妲工作时的身影，真不愧是代理站长！<br>备注：记得修图。,content,备注
37,|-,default,
38,!rowspan=2|02 收容舱段,default,
39,|[[file:星旅寻影-定分枪1.png|center|300px]]外部轮廓似乎是某种枪械…<br>看这个样子…难道是空间站的秘密武器？,default,
40,|[[file:星旅寻影-定分枪2.png|center|300px]]'''定分枪'''<br>嘿，让定分枪来给你打个分吧！<br>话说回来，这家伙打分的逻辑到底是什么呢？,default,
41,|-,default,
42,|[[file:星旅寻影-黑塔1.png|center|300px]]看起来是三个外形相似的人。<br>难道说…空间站中有三胞胎吗？,default,
43,|[[file:星旅寻影-黑塔2.png|center|300px]]'''黑塔、黑塔和黑塔'''<br>看起来是三个外形相似的人。<br>难道说…空间站中有三胞胎吗？黑塔、黑塔、黑塔…好多黑塔！<br>空间站里到底一共有多少个黑塔的人偶呢？,default,
44,|-,default,
45,!rowspan=2|03 支援舱段,default,
46,|[[file:星旅寻影-呜呜伯1.png|center|300px]]一个漂浮在空中的不明鬼影…<br>难道这次真的是灵异照片吗！？,default,
47,|[[file:星旅寻影-呜呜伯2.png|center|300px]]'''呜呜伯'''<br>原来是呜呜伯，好大的呜呜伯！<br>它看起来非常喜欢拍照，下次再去拍一次吧！,default,
48,|-,default,
49,|[[file:星旅寻影-湛蓝星1.png|center|300px]]一个…圆球？<br>看起来体型非常巨大，空间站上有这种东西吗？,default,
50,|[[file:星旅寻影-湛蓝星2.png|center|300px]]'''湛蓝星与呜呜伯'''<br>黑塔空间站之下的湛蓝星，似乎是一颗生机勃勃的星球。<br>不知道湛蓝星上会有怎样的光景呢？,default,
51,|-,default,
52,!rowspan=2|04 行政区,default,
53,|[[file:星旅寻影-乐手1.png|center|300px]]一个手捧器物的神秘人影，似乎坐在长椅上。<br>她手中的东西有些眼熟，应该是某种乐器……,default,
54,|[[file:星旅寻影-乐手2.png|center|300px]]'''吉他手'''<br>热情的乐手，用琴声为贝洛伯格的街头带来一丝浪漫。<br>祝愿她的成名梦想早日实现！,default,
55,|-,default,
56,|[[file:星旅寻影-叮叮车1.png|center|300px]]虽然不知道是什么，但感觉在贝洛伯格的街道上看到过类似的东西…<br>如果找不到线索的话，可以换个角度拍摄试试，或许能发现新的思路。,default,
57,|[[file:星旅寻影-叮叮车2.png|center|300px]]'''叮叮车'''<br>是叮叮车，贝洛伯格重要的交通工具。<br>虽然叮叮车的行驶速度不快，但也不要站在它们的铁轨上！,default,
58,|-,default,
