line_number,content,category,character
1,{{活动信息,default,
2,|名称=「星芒战幕」,default,
3,|所属版本=1.1,default,
4,|开始时间=2023/06/28 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/07/10 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=常规活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|TAG=战斗<!--选填-->,default,
10,|系列活动=星芒,default,
11,|条件限制=开拓等级≥21级,default,
12,|活动描述=某个空间站的科员不知从何处找到了名为「星芒战幕」的作战模拟程序。它可以将用户带入虚拟的作战场景里，与不同的对手进行作战演练。在模拟程序中，战斗被赋予了特殊的规则——熟读规则、制定战略，爽快利落地战胜敌人吧。,default,
13,|官方公告链接=https://www.bilibili.com/opus/811756550152519688,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=<!--可留空-->,default,
18,|所属地区=1,default,
19,}},default,
20,===活动说明===,default,
21,*活动期间将逐日开启活动关卡，共计8关，每一个挑战关拥有3种难度：「矮星」「巨星」「超巨星」。,content,种难度
22,*依据难度不同，战斗中敌方强度和游戏模式将不同。开拓者可以直接挑战「巨星」难度，完成「巨星」难度后，可以解锁「超巨星」难度挑战。,default,
23,*首次进入活动时，开拓者的「均衡等级」将决定活动中的敌方及试用角色的等级。若开拓者在活动期间提升「均衡等级」，敌方及试用角色等级不变。,default,
24,*达成关卡挑战后，将可以在活动界面领取奖励。达成高难度挑战后，可直接领取低难度挑战奖励。,default,
25,*开拓者挑战「超巨星」难度时，可以分别在消灭第3波与第6波敌人后领取挑战奖励。,default,
26,<!--,default,
27,==玩法教学==,default,
28,,default,
29,==活动内容==,default,
30,,default,
31,-->,default,
32,==活动奖励==,default,
33,===限时奖励===,default,
34,{{切换板|开始}},default,
35,{{切换板|默认显示|趁病要命}},default,
36,{{切换板|默认折叠|七伤，灭顶}},default,
37,{{切换板|默认折叠|传染型心灵炸弹}},default,
38,{{切换板|默认折叠|有限火力}},default,
39,{{切换板|默认折叠|我的回合！}},default,
40,{{切换板|默认折叠|不止冰火两重天}},default,
41,{{切换板|默认折叠|铁，锂，钠}},default,
42,{{切换板|默认折叠|深度昏迷，但一秒}},default,
43,{{切换板|显示内容}},default,
44,"{|class=wikitable style=""text-align:center""",default,
45,!挑战目标!!奖励,default,
46,|-,default,
47,|完成「矮星」难度挑战||{{图标|材料|星琼|30}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|30000}},default,
48,|-,default,
49,|完成「巨星」难度挑战||{{图标|材料|星琼|30}}{{图标|材料|虚空黑曜|5}},default,
50,|-,default,
51,|在「超巨星」难度中消灭3波敌人||{{图标|材料|遗器残骸|15}}{{图标|材料|遗失碎金|5}},default,
52,|-,default,
53,|在「超巨星」难度中消灭6波敌人||{{图标|材料|遗器残骸|5}}{{图标|材料|信用点|20000}},default,
54,|},default,
55,{{切换板|内容结束}},default,
56,{{切换板|折叠内容}},default,
57,"{|class=wikitable style=""text-align:center""",default,
58,!挑战目标!!奖励,default,
59,|-,default,
60,|完成「矮星」难度挑战||{{图标|材料|星琼|30}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|30000}},default,
61,|-,default,
62,|完成「巨星」难度挑战||{{图标|材料|星琼|30}}{{图标|材料|生命之芽|5}},default,
63,|-,default,
64,|在「超巨星」难度中消灭3波敌人||{{图标|材料|遗器残骸|15}}{{图标|材料|遗失碎金|5}},default,
65,|-,default,
66,|在「超巨星」难度中消灭6波敌人||{{图标|材料|遗器残骸|5}}{{图标|材料|信用点|20000}},default,
67,|},default,
68,{{切换板|内容结束}},default,
69,{{切换板|折叠内容}},default,
70,"{|class=wikitable style=""text-align:center""",default,
71,!挑战目标!!奖励,default,
72,|-,default,
73,|完成「矮星」难度挑战||{{图标|材料|星琼|30}}{{图标|材料|漫游指南|3}}{{图标|材料|信用点|30000}},default,
74,|-,default,
