line_number,content,category,character
1,{{活动信息,default,
2,|名称=「星芒烁变」,default,
3,|所属版本=2.3,default,
4,|系列活动=星芒,default,
5,|开始时间=2024/07/05 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/07/29 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=战斗<!--选填-->,default,
11,|条件限制=开拓等级≥21级,default,
12,|活动描述=空间站的科员布凯辛在主持一项神秘测试，这一次她带上她的搭档找到了你，希望你能施以援手……,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=1<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=,default,
21,}},default,
22,===活动说明===,default,
23,,default,
24,<!-- ==活动玩法==,default,
25,===玩法介绍===,default,
26,<gallery>,default,
27,活动名-玩法介绍.jpg,default,
28,</gallery>,default,
29,===规则说明===,default,
30,{| class=wikitable,default,
31,!教程图名,default,
32,|[[File:活动名-规则说明1.png|400px]],default,
33,|教程图文本描述,default,
34,|-,default,
35,!教程图名,default,
36,|[[File:活动名-规则说明2.png|400px]],default,
37,|教程图文本描述,default,
38,|} -->,default,
39,,default,
40,<!-- ==社媒专栏== -->,default,
41,==活动剧情==,branch_content,
42,===活动任务===,default,
43,{{#ask:[[分类:活动任务]][[系列任务::~*此处写任务系列名*]],default,
44,|?系列任务,default,
45,|format=outline,default,
46,|sort=任务编号,default,
47,|outlineproperties=系列任务}},default,
48,<!-- ==活动内容==,default,
49,,default,
50,==活动奖励==,default,
51,===常驻奖励===,default,
52,,default,
53,===限时奖励===,default,
54,,default,
55,==无名勋礼奖励==,default,
56,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
57,|{{图标|材料|无名客的经验|1400}},default,
58,|,default,
59,|} -->,default,
