line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「星轺旅进」,default,
3,|所属版本=1.0,default,
4,|开始时间=2023/04/26 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=正式开服后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=9999/01/01<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=永久<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=永久活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|TAG=新手活动、角色获取、光锥获取,default,
10,|条件限制=解锁「旅情事记」,default,
11,|活动描述=,default,
12,|官方公告链接=https://t.bilibili.com/787994274201337897<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=黑塔、娜塔莎<!--选填-->,default,
15,|光锥获取=早餐的仪式感、等价交换,default,
16,}}<!--,default,
17,-->===活动说明===,default,
18,完成指定的系列开拓任务，可分别获得4星角色{{图标|小|黑塔}}[[黑塔|「黑塔（智识•冰）」]]、{{图标|小|娜塔莎}}[[娜塔莎|「娜塔莎（丰饶•物理）」]]、4星光锥{{图标|小|早餐的仪式感}}[[早餐的仪式感|「早餐的仪式感（智识）」]]以及道具{{图标|开拓进行时}}。开拓等级达到20级时，可获得4星光锥{{图标|小|等价交换}}[[等价交换|「等价交换（丰饶）」]]。,default,
19,,default,
20,==活动奖励==,default,
21,{| class=wikitable,default,
22,! 任务 !! 奖励,default,
23,|-,default,
24,| 完成开拓任务[[模拟宇宙•始发测试]] || {{图标|大|黑塔}},default,
25,|-,default,
26,| 完成开拓任务[[躺在铁锈中]] || {{图标|大|娜塔莎}},default,
27,|-,default,
28,| 完成开拓任务[[腐烂或燃烧]] || {{图标|大|早餐的仪式感}},default,
29,|-,default,
30,| 到达开拓等级20级后，在帕姆处领取等级奖励获得 || {{图标|大|等价交换}},default,
31,|-,default,
32,| 完成开拓任务[[「均衡」的试炼•壹]] || {{图标|大|开拓进行时}},default,
33,|},default,
