line_number,content,category,character
1,{{活动信息,default,
2,|名称=「星间旅行」,default,
3,|所属版本=2.1,default,
4,|系列活动=,default,
5,|开始时间=2024/03/27 10:00 <!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2024/03/27 2.1版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/05/06 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=周年活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=装饰获取<!--选填-->,default,
11,|条件限制=开拓等级≥21级,default,
12,|活动描述=星穹列车收到了来自无名客的包裹，帕姆等你回列车一起拆开看看……,default,
13,|官方公告链接=https://www.bilibili.com/opus/913085995330568214<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=帕姆、玛姬、姬子、瓦尔特、三月七、丹恒<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=星间旅行、一周年纪念<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=自塑尘脂*1、命运的足迹*1、星琼*1000、手机壁纸「星间旅行」、头像「一周年纪念」,default,
21,}},default,
22,===活动说明===,default,
23,*活动开启后，开拓者需要不断获取「开拓券」，用于解锁全服奖励和个人奖励。,default,
24,*活动期间，每日登录即可获取骰子。投掷骰子可在地图中前进，并在多种玩法中获取「开拓券」。当骰子用尽时，开拓者可将累积的「开拓券」进行贡献。,default,
25,*活动期间持续贡献「开拓券」，可积累【个人贡献】并解锁对应奖励。,default,
26,*【个人贡献】也将促进【全银河贡献进度】提升，当【全银河贡献进度】提升至特定节点时，将解锁节点奖励。,default,
27,*开拓者可在活动中体验到测试玩法。完成一定数量的测试题，将解锁测试报告，并获取对应奖励。,default,
28,<br>,default,
29,'''注意事项''',default,
30,*若开拓者当日未进行贡献，则会在下一次进入活动时自动贡献「开拓券」。,default,
31,*【全银河贡献进度】到达100%后，将不限制玩家的可使用骰子数量。,default,
32,==活动玩法==,default,
33,===玩法介绍===,default,
34,"<gallery mode=""packed"">",default,
35,File:星间旅行-玩法介绍1.png,default,
36,File:星间旅行-玩法介绍2.png,default,
37,File:星间旅行-玩法介绍3.gif,default,
38,File:星间旅行-玩法介绍4.png,default,
39,File:星间旅行-玩法介绍5.gif,default,
40,File:星间旅行-玩法介绍6.png,default,
41,File:星间旅行-玩法介绍7.png,default,
42,File:星间旅行-玩法介绍8.png,default,
43,</gallery>,default,
44,<!--,default,
45,===规则说明===,default,
46,{| class=wikitable,default,
47,!教程图名,default,
48,|[[File:活动名-规则说明1.png|400px]],default,
49,|教程图文本描述,default,
50,|-,default,
51,!教程图名,default,
52,|[[File:活动名-规则说明2.png|400px]],default,
53,|教程图文本描述,default,
54,|} -->,default,
55,,default,
56,==社媒专栏==,default,
57,[https://www.bilibili.com/opus/919348053358411840?spm_id_from=333.999.0.0 「开拓倾向测测乐」结果分享 ],default,
58,==活动剧情==,branch_content,
59,===活动任务===,default,
60,*[[寄给无名客的包裹]],default,
61,*[[寄往无名客的包裹]],default,
62,==活动内容==,default,
63,===格子类型===,default,
64,"{| class=""wikitable""",default,
65,! 类型 !! 介绍,default,
66,|-,default,
67,! 奖券格,default,
68,| 省去中间商赚差价，直接获得开拓券（金色格子收益更高）,default,
69,|-,default,
70,! 土地格,default,
71,| 强手棋怎么可以没有「买地」呢？买买买,default,
72,|-,default,
73,! 游戏格,default,
74,| 放轻松，在纯看运气的游戏里试试手气（金色格子收益更高）,default,
75,|-,default,
76,! 商店格,default,
77,| 在「星际和平购购购」里进货（金色商店格将出现稀有商品）,default,
78,|-,default,
79,! 奇遇格,default,
80,| 美好的东西，往往在意料之外（金色格子收益更高）,default,
81,|-,default,
82,! 委托格,default,
83,| 根据目标选择最合适的人选，赚取开拓券,default,
84,|-,default,
85,! 传送格,default,
86,| 嘿，你动不动就打开传送门的日子开始了,default,
87,|},default,
88,===土地一览===,default,
89,"{| class=""wikitable""",default,
90,|+ 土地一览,default,
91,|-,default,
92,! 地区 !!colspan=4| 土地,default,
93,|-,default,
94,!rowspan=4| 空间站「黑塔」,default,
95,|-,default,
96,| 温床 || 集散中心 || 核心通路 || 监察域,default,
97,|-,default,
98,| 接待中心 || 医疗舱 || 特殊解析室 || 控制中心,default,
99,|-,default,
100,| 电力室 || 月台 || 药物制备间 || 黑塔的办公室,default,
101,|-,default,
102,!rowspan=4| 雅利洛-Ⅵ,default,
103,|-,default,
104,| 长坡 || 克里珀堡 || 黄金歌剧院 || 花店「长夏」,default,
105,|-,default,
106,| 历史文化博物馆 || 地底商店 || 俯瞰点 || 搏击俱乐部,default,
107,|-,default,
108,| 娜塔莎的诊所 || 歌德大饭店 || 造物之柱：施工场 || 永冬铭碑,content,造物之柱
109,|-,default,
110,!rowspan=4|仙舟「罗浮」,default,
111,|-,default,
112,| 坤舆台 || 流云渡货道 || 泊航区 || 若木亭,default,
113,|-,default,
114,| 金人巷码头 || 大衍穷观阵 || 造化洪炉 || 偃息馆长廊,default,
115,|-,default,
116,| 行医市集 || 显龙大雩殿 || 古海宫墟 || 建木玄根,default,
117,|-,default,
118,!rowspan=4| 匹诺康尼,default,
119,|-,default,
120,| 酒店大堂 || 梦境大堂 || 梦境贩售店 || 艾迪恩公园,default,
121,|-,default,
122,| 家族建设局 || 筑梦广场 || 观景台前 || 回忆走廊,default,
123,|-,default,
124,| 洑洄梦境 || 入梦池 || 惊梦酒吧 || 钟表小子广场,default,
125,|},default,
126,"{| class=""wikitable""",default,
127,|+ 土地文本,default,
128,|-,default,
129,! 地块 !! 简介,default,
130,|-,default,
131,| 空间站「黑塔」•黑塔的办公室 || 开拓者经常测试模拟宇宙的土地格。<br><br><i>「开拓者，来测。」</i>,default,
132,|-,default,
133,| 雅利洛-Ⅵ•永冬铭碑 || 贝洛伯格整座城市的象征，为了纪念伟大的筑城者而竖立的。<br><br><i>「佩～拉～姐～姐～」</i>,default,
134,|-,default,
135,| 仙舟「罗浮」•建木玄根 || 原本深藏水下的建木玄根，奉龙尊敕令现世。<br><br><i>「以为自己胜券在握了吗，幻胧？」</i>,default,
136,|-,default,
137,| 匹诺康尼•钟表小子广场 || 开拓者曾在钟表小子雕像下面见过真正的钟表小子。<br><br><i>「我叫钟表小子，是美梦小镇匹诺康尼的大明星！」</i>,default,
138,|-,default,
139,| 其余土地 || ''「开拓者，到此一游。」'',default,
140,|},default,
141,===枰上奇遇===,default,
142,{{折叠|折叠=是|标题=奇遇一览|内容=,default,
143,{{/枰上奇遇}},default,
144,}},default,
145,===委托一览===,default,
146,*根据目标选择最合适的人选，赚取开拓券,default,
147,"{| class=""wikitable"" style=""text-align:center""",default,
148,|+旅行小组,default,
149,!colspan=3|需要几个懂行的人来负责规划旅行了……,default,
150,|-,default,
151,"| style=""width:33%"" valign=top|最适合为旅行做计划的人是谁？",default,
152,"| style=""width:34%"" valign=top|最适合到陌生地点负责带路的人是谁？",default,
153,"| style=""width:33%"" valign=top|最适合为旅行开支做整理的人是谁？",default,
154,|-,default,
155,| {{图标|小|三月七}}{{图标|小|丹恒}}{{图标|小|白露}},default,
156,| {{图标|小|黄泉}}{{图标|小|姬子}}{{图标|小|虎克}},default,
157,| {{图标|小|黑塔}}{{图标|小|瓦尔特}}{{图标|小|停云}},default,
158,|-,default,
159,!colspan=3|通用模板,default,
160,|-,default,
161,|colspan=3|{{颜色|描述|角色1}}查询了旅行攻略，{{颜色|描述|角色2}}根据攻略很快找到了方向…{{颜色|描述|角色3}}发现开支在预算之内。旅行小组顺利达成目标！,default,
162,|-,default,
163,!colspan=3|特殊组合,default,
164,|-,default,
165,| {{图标|小|三月七}}{{图标|小|黄泉}}{{图标|小|黑塔}} || {{图标|小|姬子}}{{图标|小|瓦尔特}}{{图标|小|丹恒}} || {{图标|小|白露}}{{图标|小|虎克}},default,
166,|-,default,
167,|valign=top| {{颜色|描述|三月七}}摸不着头脑，{{颜色|描述|黄泉}}记不清事，{{颜色|描述|黑塔}}甩手掌柜…至于旅行嘛，全靠临场发挥，真是可喜可贺、充满希望之旅。,default,
168,|valign=top| {{颜色|描述|姬子}}、{{颜色|描述|瓦尔特•杨}}、{{颜色|描述|丹恒}}配合紧密，不愧是列车上最靠得住的三位，任何星际旅行应该都不在话下。,default,
169,|valign=top| {{颜色|描述|白露}}和{{颜色|描述|虎克}}为了「去哪里、怎么走」争吵一整天，幸好有{{颜色|描述|角色3}}还算能带孩子吧，旅行小组顺利完成目标。,default,
170,|},default,
171,"{| class=""wikitable"" style=""text-align:center""",default,
172,|+家庭餐小组,default,
173,!colspan=3|大家聚在一起，需要几个人来组织聚餐……,default,
174,|-,default,
175,"| style=""width:33%"" valign=top|最适合出门采购食材的人是谁？",default,
176,"| style=""width:34%"" valign=top|最适合在厨房里掌勺的人是谁？",default,
177,"| style=""width:33%"" valign=top|最适合在吃饱喝足后洗碗的人是谁？",default,
178,|-,default,
179,| {{图标|小|艾丝妲}}{{图标|小|克拉拉}}{{图标|小|景元}},default,
180,| {{图标|小|阮•梅}}{{图标|小|玲可}}{{图标|小|驭空}},default,
181,| {{图标|小|阿兰}}{{图标|小|桑博}}{{图标|小|符玄}},default,
182,|-,default,
183,!colspan=3|通用模板,default,
184,|-,default,
185,|colspan=3|{{颜色|描述|角色1}}从市场里买到了新鲜的食材，交给{{颜色|描述|角色2}}大厨精心制作…大家饱餐了一顿，最后多亏了{{颜色|描述|角色3}}将锅碗洗净。家庭餐小组顺利达成目标。,default,
186,|-,default,
187,!colspan=3|特殊组合,default,
188,|-,default,
189,| {{图标|小|艾丝妲}}{{图标|小|阮•梅}}{{图标|小|阿兰}} || {{图标|小|克拉拉}}{{图标|小|玲可}} || {{图标|小|景元}}{{图标|小|驭空}}{{图标|小|符玄}},default,
190,|-,default,
191,|valign=top|{{颜色|描述|艾丝妲}}豪掷千金买下上好食材，{{颜色|描述|阮•梅}}女士制作了点心，最后交由任劳任怨的{{颜色|描述|阿兰}}处理残局…又在空间站「黑塔」里度过了和平的一天。,default,
192,|valign=top|{{颜色|描述|克拉拉}}和{{颜色|描述|玲可}}充分发挥了雪原寻宝的经验，制作了满满一锅雪原乱炖，好吃得出乎{{颜色|描述|角色3}}的意料。,default,
193,|valign=top|{{颜色|描述|景元}}买了菜回来，{{颜色|描述|驭空}}露了一手绝活狐人料理，饱餐一顿之后，{{颜色|描述|符太卜}}还来帮忙洗碗。罗浮六御真是样样精通啊。,default,
194,|},default,
195,"{| class=""wikitable"" style=""text-align:center""",default,
196,|+戏剧小组,default,
197,!colspan=3|需要你凑齐一个剧组，整上一出好戏……,default,
198,|-,default,
199,"| style=""width:33%"" valign=top|最适合写舞台剧脚本的人是谁？",default,
200,"| style=""width:34%"" valign=top|最适合布置舞台美术的人是谁？",default,
201,"| style=""width:33%"" valign=top|最适合扮演主人公的人是谁？",default,
202,|-,default,
203,| {{图标|小|佩拉}}{{图标|小|花火}}{{图标|小|寒鸦}},default,
204,| {{图标|小|希露瓦}}{{图标|小|黑天鹅}}{{图标|小|雪衣}},default,
205,| {{图标|小|杰帕德}}{{图标|小|黄泉}}{{图标|小|彦卿}},default,
206,|-,default,
207,!colspan=3|通用模板,default,
208,|-,default,
209,|colspan=3|{{颜色|描述|角色1}}有一个天才的剧本，{{颜色|描述|角色2}}看了之后，设计出了舞台美术，{{颜色|描述|角色3}}背好了台词，登上了舞台完成表演！,default,
210,|-,default,
211,!colspan=3|特殊组合,default,
212,|-,default,
213,| {{图标|小|佩拉}}{{图标|小|希露瓦}}{{图标|小|杰帕德}} || {{图标|小|花火}}{{图标|小|黑天鹅}}{{图标|小|黄泉}}  || {{图标|小|寒鸦}}{{图标|小|雪衣}}{{图标|小|彦卿}},default,
214,|-,default,
215,|valign=top|{{颜色|描述|佩拉}}改编了《雪国冒险奇谭》，{{颜色|描述|希露瓦}}提供了大量舞台装置，羞涩的{{颜色|描述|杰帕德}}走上舞台扮演冒险家阿尔乔姆…舞台剧大受好评！,default,
216,|valign=top|{{颜色|描述|花火}}想出了一个剑戟片剧本，{{颜色|描述|黑天鹅}}用记忆搭出一个舞台，{{颜色|描述|黄泉}}在舞台上扮演一名刀客…亦真亦假，博得众人喝彩。,default,
217,|valign=top|{{颜色|描述|寒鸦}}改编了云上五骁的剧本，{{颜色|描述|雪衣}}搭好了苍城仙舟的布景，邀请了天才剑客{{颜色|描述|彦卿}}扮演剑首镜流…真是精彩啊精彩！,default,
218,|},default,
219,"{| class=""wikitable"" style=""text-align:center""",default,
220,|+时装小组,default,
221,!colspan=3|时尚秀就要开始了，你的设计师和模特呢……,default,
222,|-,default,
223,"| style=""width:33%"" valign=top|最适合做服装设计的人是谁？",default,
224,"| style=""width:34%"" valign=top|最适合亲手制作服装的人是谁？",default,
225,"| style=""width:33%"" valign=top|最适合作为模特展示服装的人是谁？",default,
226,|-,default,
227,| {{图标|小|罗刹}}{{图标|小|卡芙卡}}{{图标|小|青雀}},default,
228,| {{图标|小|真理医生}}{{图标|小|姬子}}{{图标|小|素裳}},default,
229,| {{图标|小|砂金}}{{图标|小|开拓者}}{{图标|小|卢卡}},default,
230,|-,default,
231,!colspan=3|通用模板,default,
232,|-,default,
233,|colspan=3|{{颜色|描述|角色1}}灵感闪现设计一套时装，{{颜色|描述|角色2}}量体裁衣，给{{颜色|描述|角色3}}穿上，「咔嚓咔嚓！」{{颜色|描述|角色3}}在T台上收获了全场的目光。,default,
234,|-,default,
235,!colspan=3|特殊组合,default,
236,|-,default,
237,| {{图标|小|罗刹}}{{图标|小|真理医生}}{{图标|小|砂金}} || {{图标|小|卡芙卡}}{{图标|小|姬子}} || {{图标|小|青雀}}{{图标|小|素裳}},default,
238,|-,default,
239,|valign=top|{{颜色|描述|罗刹}}准备一套净庭风格的服饰，{{颜色|描述|拉帝奥教授}}将它制作出来，让那位「像孔雀一样」的{{颜色|描述|砂金}}穿上…别说，还挺合适的！,default,
240,|valign=top|{{颜色|描述|卡芙卡}}设计了一件漂亮的大衣，并拜托{{颜色|描述|姬子}}做出来——从结果上来说，{{颜色|描述|角色3}}穿着两位携手做出来的衣服，还挺好看的。,default,
241,|valign=top|{{颜色|描述|青雀}}随便给了一套设计，{{颜色|描述|素裳}}其实也没看懂，结果到最后，还是靠着{{颜色|描述|角色3}}的颜值撑着…真不容易呀。,default,
242,|},default,
243,"{| class=""wikitable"" style=""text-align:center""",default,
244,|+机动球小组,default,
245,!colspan=3|泰科铵机动球大赛需要一支强大的队伍……,default,
246,|-,default,
247,"| style=""width:33%"" valign=top|最适合做争夺球权的前锋是谁？",default,
248,"| style=""width:34%"" valign=top|最适合组织进攻节奏的中场是谁？",default,
249,"| style=""width:33%"" valign=top|最适合防守对方进攻的后卫是谁？",default,
250,|-,default,
251,| {{图标|小|刃}}{{图标|小|丹恒•饮月}}{{图标|小|黄泉}},default,
252,| {{图标|小|景元}}{{图标|小|镜流}}{{图标|小|卡芙卡}},default,
253,| {{图标|小|符玄}}{{图标|小|克拉拉}}{{图标|小|瓦尔特}},default,
254,|-,default,
255,!colspan=3|通用模板,default,
256,|-,default,
257,|colspan=3|{{颜色|描述|角色3}}将对方的机动球截下，传给{{颜色|描述|角色2}}，{{颜色|描述|角色2}}长传找到{{颜色|描述|角色1}}，{{颜色|描述|角色1}}高高跃起完成得分！真是场不错的比赛。,default,
258,|-,default,
259,!colspan=3|特殊组合,default,
260,|-,default,
261,| {{图标|小|符玄}}{{图标|小|景元}}{{图标|小|刃}} || {{图标|小|克拉拉}}{{图标|小|镜流}}{{图标|小|丹恒•饮月}} || {{图标|小|瓦尔特}}{{图标|小|卡芙卡}}{{图标|小|黄泉}},default,
262,|-,default,
263,|valign=top|{{颜色|描述|符太卜}}的防守天衣无缝，{{颜色|描述|景元}}的组织无可挑剔，{{颜色|描述|刃}}的进攻更是犀利…他们对手真的能赢吗？,default,
264,|valign=top|{{颜色|描述|史瓦罗}}和{{颜色|描述|克拉拉}}联手实现防守反击，{{颜色|描述|镜流}}选手接球后立刻发动总攻，{{颜色|描述|丹恒•饮月}}临门一脚彻底打消对手气焰——毁灭、毁灭、还是毁灭！,default,
265,|valign=top|{{颜色|描述|瓦尔特•杨}}的防守有些缺乏兴趣，{{颜色|描述|卡芙卡}}的组织也不是很着急，{{颜色|描述|黄泉}}自由发挥得分，对手彻底懵了——虚无、虚无、还得是虚无。,default,
266,|},default,
267,"{| class=""wikitable"" style=""text-align:center""",default,
268,|+音乐小组,default,
269,!colspan=3|银河好声音需要新的音乐，你的人选是……,default,
270,|-,default,
271,"| style=""width:33%"" valign=top|最适合谱写乐谱的作曲人是谁？",default,
272,"| style=""width:34%"" valign=top|最适合填写歌词的作词人是谁？",default,
273,"| style=""width:33%"" valign=top|最适合演唱歌曲的歌唱者是谁？",default,
274,|-,default,
275,| {{图标|小|银狼}}{{图标|小|开拓者}}{{图标|小|姬子}},default,
276,| {{图标|小|刃}}{{图标|小|丹恒}}{{图标|小|黑天鹅}},default,
277,| {{图标|小|卡芙卡}}{{图标|小|三月七}}{{图标|小|杰帕德}},default,
278,|-,default,
279,!colspan=3|通用模板,default,
