line_number,content,category,character
1,<noinclude>{{面包屑|「星间旅行」}}</noinclude>,default,
2,====空间站「黑塔」====,default,
3,"{| class=""wikitable"" style=""width:100%""",default,
4,"! style=""width:20%"" |事件描述",default,
5,"!style=""width:8%""|选择",default,
6,"!style=""width:7.5%""|选择描述",default,
7,"!style=""width:4%""|点数",default,
8,"!style=""width:10%"" |分支",default,
9,"!style=""width:20%"" |分支描述",default,
10,"!style=""width:10%"" |奖励",default,
11,|-,default,
12,| rowspan=5 |黑塔空间站舱段之间的连接通道并不算是特别宽敞，偶尔会有「拐角相撞」的事情发生。你刚听见「要迟到了，要迟到了…」的电子声，便被「炒饭天才123号」撞倒在地，当你缓过劲时，它已经不见了。,default,
13,| rowspan=3 |撞了我就跑？我要躺着不走了！<br>可获得开拓券,default,
14,| rowspan=3 |你假装晕倒在地，这说明伤势*非常严重*。,default,
15,|10~12||艾丝妲经过了这里。||艾丝妲用支付到账的系统提示音唤醒了你。||开拓券增加24000,default,
16,|-,default,
17,|5~9||医疗科员路过，给你打了一针。||？！…你忘记了刚才发生的事情。||开拓券增加4000,default,
18,|-,default,
19,|2~4||半天了，没有人经过这里。||地板有些凉，你染上了感冒。||开拓券减少500,default,
20,|-,default,
21,| rowspan=2 |撞了我就跑？我要立刻追上去！<br>可获得开拓券,default,
22,| rowspan=2 |一个弹射起身，你立刻追向了它离开的方同。,default,
23,|7~12||饸好赶上了空肉站的饭点。||顺理成章地蹭了一顿饭。||开拓券增加7500,default,
24,|-,default,
25,|2~6||你再次被机器人从背后撞倒。||什么？！它竟然跑得比你慢。||开拓券增加5000,default,
26,|-,default,
27,| rowspan=6 |你认识眼前这个人，她如此介绍自己「希拉·诺娃，黑塔·银河法政科的向导。」你又觉得自己并不认识她，她的微笑像是一种伪装——冰冷而妥帖。她突然向你询问「是否可以通过足够丰富的剧本让仿生人成为真人？」,default,
28,| rowspan=3 |我觉得不能。<br>可获得开拓券,default,
29,| rowspan=3 |即便无人能够分辨，假亦无法成真。,default,
30,|10~12||古恩希望能和你谈谈。||他想放下他早该放下的。||开拓券增加10000,default,
31,|-,default,
32,|5~9||希拉感谢了你的回答。||她喜欢你的回答。||开拓券增加6000,default,
33,|-,default,
34,|2~4||希拉陷入了无尽思考。||就像是掉进了逻辑陷阱，就像是宕机。||开拓券增加4000,default,
35,|-,default,
36,"| rowspan=""3"" |我觉得能。<br>可获得开拓券",default,
37,"| rowspan=""3"" |那么仿生人有成为真人的愿望吗？",default,
38,|10~12||古恩希望能和你谈谈。||他突然感慨万千，一切徒劳变得有意义。||开拓券增加10000,default,
39,|-,default,
40,|5~9||希拉感谢了你的回答。||她喜欢你的回答。||开拓券增加6000,default,
41,|-,default,
42,|2~4||希拉陷入了无尽思考。||就像是掉进了逻辑陷阱，就像是宕机。||开拓券增加4000,default,
43,|-,default,
44,| rowspan=6 |佩佩是和空间站签订合同的正式员工，你经常听到它故意打哈欠的声音。今天，阿兰忙得不可开交，希望你能带佩佩去视察空间站的基层工作…结果，刚离开主控舱段，佩佩撒腿就跑，而你——,default,
