line_number,content,category,character
1,{{活动信息,default,
2,|名称=「杯中逸事」,default,
3,|所属版本=2.1,default,
4,|系列活动=,default,
5,|开始时间=2024/03/29 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/05/06 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=版本活动、常驻活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=角色获取、装饰获取、经营、创意<!--选填-->,default,
11,|条件限制=完成开拓任务「匹诺康尼」-「[[行过死荫之地]]」,default,
12,|活动描述=「惊梦酒吧」的管理者有事外出，委托你接替调饮师的工作。但没想到，光顾酒吧的并非普通客人……,default,
13,|官方公告链接=<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=加拉赫、米沙、雪衣、寒鸦、桂乃芬、卢卡、玲可、驭空<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=怪物酒馆<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=4<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=自塑尘脂*1、命运的足迹*2、星琼*1400、旅程之遇：「杯中逸事」、短信和聊天对话框「怪物酒馆」、漫游指南,content,旅程之遇
21,}},default,
22,===活动说明===,default,
23,<!-- 文本形式的活动说明 -->,default,
24,,default,
25,<!-- ==活动玩法==,default,
26,===玩法介绍===,default,
27,<gallery>,default,
28,活动名-玩法介绍.jpg,default,
29,</gallery>,default,
30,===规则说明===,default,
31,{| class=wikitable,default,
32,!教程图名,default,
33,|[[File:活动名-规则说明1.png|400px]],default,
34,|教程图文本描述,default,
35,|-,default,
36,!教程图名,default,
37,|[[File:活动名-规则说明2.png|400px]],default,
38,|教程图文本描述,default,
39,|} -->,default,
40,,default,
41,==社媒专栏==,default,
42,[https://www.bilibili.com/video/BV1Qx421m7Qg/ 帕姆放映厅 | 欢迎光临「惊梦酒吧」],default,
43,==活动剧情==,branch_content,
44,===活动任务===,default,
45,{{#ask:[[分类:活动任务]][[系列任务::~*此处写任务系列名*]],default,
