line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「浮生惊梦」,default,
3,|所属版本=1.2,default,
4,|开始时间=2023/07/21 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/07/30 23:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=网页活动,default,
9,|TAG=OST<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|条件限制=完成开拓任务「湛蓝星」-「[[宇宙安宁片刻]]」后开启【邮件】功能，激活道具礼包，每个UID限领1次,default,
11,|活动描述=长生梦短，仙骸有终。<br>远道而来的开拓者，醒来之时，你又该身在何处……,default,
12,|官方公告链接=https://t.bilibili.com/820685786920779797<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=<!--选填-->,default,
15,|介绍语=长生梦短，仙骸有终。<br>,default,
16,远道而来的开拓者，醒来之时，你又该身在何处……<br>,default,
17,「浮生惊梦」——《崩坏：星穹铁道》游戏OST宣传H5现已正式上线，参与活动即可领取星琼。同时，仙舟「罗浮」主题OST也已上线QQ音乐、酷狗音乐，欢迎各位开拓者前往收听。<br>,content,崩坏
18,<center>[https://y.qq.com/forest/EQ7ZKActUG6jfhXJ/index.html 点击参与「浮生惊梦」H5活动]<br>,default,
19,※需要使用移动端打开对应链接</center>,default,
20,}},default,
21,===活动说明===,default,
22,活动期间，完成听歌交互活动即可获得{{图标|星琼}}、{{图标|漫游指南}}、{{图标|遗失碎金}}等兑换码奖励（限量300万份）；,default,
23,获得兑换码后，开拓者可点击QQ音乐APP「我的」-「会员中心」-「我的资产」-「优惠券」进行查看。,default,
24,,default,
25,===活动奖励===,default,
26,{{图标|材料|星琼|60}}{{图标|材料|漫游指南|2}}{{图标|材料|遗失碎金|2}}（限量300万份，先到先得）,default,
27,,default,
28,==温馨提示==,default,
29,*开拓者需完成开拓任务「湛蓝星」-「[[宇宙安宁片刻]]」，后开启【邮件】功能，方可激活道具礼包，且每个UID限领1次；,default,
30,*兑换码有效期截止至2023/08/30 06:00，请在有效期内进行兑换；,default,
31,*更多活动细则详见H5页面。,default,
