line_number,content,category,character
1,{{活动信息,default,
2,|名称=「狐斋志异」,default,
3,|所属版本=1.5,default,
4,|系列活动=,default,
5,|开始时间=2023/11/15 10:00,default,
6,|开始描述=1.5版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/12/25 03:59,default,
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=版本活动、常驻活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=剧情、战斗、光锥获取、装饰获取<!--选填-->,branch_content,
11,|条件限制=完成开拓任务「仙舟『罗浮』」-「安灵布奠，天清路远」,default,
12,|活动描述=造化洪炉破碎，误放走了其中的妖物「岁阳」。十王司受命祓除妖魔。而你将与判官携手经历一场奇遇。,default,
13,|官方公告链接=https://www.bilibili.com/opus/863716222438473768?spm_id_from=333.999.0.0<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=藿藿、桂乃芬、素裳、寒鸦、雪衣、白露、景元、彦卿、驭空、符玄、青雀、三月七<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=嘿，我在这儿<!--可留空-->,default,
17,|装饰获取=星火游园<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=3<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,}},default,
21,===活动说明===,default,
22,====开拓续闻「狐斋志异」====,default,
23,*「狐斋志异」开拓续闻包含「游园惊梦」和「双生」「犀照」「剑精」「狐梦」等剧情，完成「游园惊梦」后，即可开始「狐斋志异」后续剧情，可以在「罗浮杂俎」中进行调查委托以及在「降妖辑录」中进行关卡挑战。,branch_content,
24,====罗浮杂俎====,default,
25,*开拓者在「罗浮杂俎」<ref>名字来源于唐代段成式创作的志怪笔记小说集《酉阳杂俎》。</ref>中与捉鬼小队共同管理「小桂子Guinevere」博主账号，获得粉丝提升账号人气等级。,default,
26,*开拓者在「罗浮杂俎」中可以接取调查委托，完成调查委托后可以编辑并发布「捉鬼小队」帖子来吸引网友评论并收获大量粉丝和打赏积分。,default,
27,*累计获得粉丝可以提升账号在「罗浮杂俎」的人气阶段。进入新的人气阶段后会解锁新的「狐斋志异」开拓续闻剧情，完成剧情可以解锁更多调查委托。,branch_content,
28,*除了接取调查委托外，开拓者也可以在「罗浮杂俎」上回复网友评论，也可以收获打赏积分。,default,
29,====降妖辑录====,default,
30,*完成「狐斋志异」开拓续闻解锁「绥园」各处镇妖塔并开放其中的降妖辑录挑战，每处镇妖塔中包含4个难度的关卡。,default,
31,*通关「降妖辑录」中关卡可以获得打赏积分，累计完成关卡中的挑战可以在降妖奖励中领取奖励。,default,
32,*完成开拓续闻「狐梦」后解锁「斩邪除恶」，其中包含4个历战探游关卡，分别需要完成镇妖塔中所有难度降妖辑录关卡后可以解锁。,default,
33,*降妖辑录中所有挑战均需要选择在「狐斋志异」中获得的驱邪术进行挑战。,default,
34,==活动玩法==,default,
35,===玩法介绍===,default,
36,<gallery>,default,
37,狐斋志异-玩法介绍1.jpg,default,
38,狐斋志异-玩法介绍2.jpg,default,
39,</gallery>,default,
40,===玩法说明===,default,
41,{{折叠|开始|标题=玩法说明一览|折叠=是}},default,
42,{| class=wikitable,default,
43,!活动名•教程图名,default,
44,|[[File:活动名-规则说明01.png|400px]],default,
45,|教程图文本描述,default,
46,|-,default,
47,!活动名•教程图名,default,
48,|[[File:活动名-规则说明02.png|400px]],default,
49,|教程图文本描述,default,
50,|},default,
51,{{折叠|结束}},default,
52,==活动剧情==,branch_content,
53,===活动任务===,default,
54,{{#ask:[[分类:开拓续闻]][[系列任务::~*狐斋志异*]],default,
55,|?系列任务,default,
56,|format=outline,default,
57,|sort=任务编号,default,
58,|outlineproperties=系列任务}},default,
