line_number,content,category,character
1,{{活动信息,default,
2,|名称=「猎星游戏」,default,
3,|所属版本=1.1,default,
4,|开始时间=2023/06/07 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=1.1版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/06/19 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=常规活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|TAG=光锥获取、剧情、拍照、战斗、创意<!--选填-->,branch_content,
10,|条件限制=开拓等级≥21级,default,
11,|活动描述=来自朋克洛德的传奇骇客，向空间站「黑塔」发起了一场游戏…,default,
12,|官方公告链接=https://www.bilibili.com/read/cv24150150<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=银狼、黑塔、螺丝咕姆、阿兰、艾丝妲、伦纳德、卡芙卡<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=<!--可留空-->,default,
15,|光锥获取=新手任务开始前<!--可留空-->,default,
16,|介绍语=<!--可留空-->,default,
17,|活动时间补充='''商店兑换期'''<br>1.1版本更新后-2023/06/26 03:59,default,
18,|所属地区=1,default,
19,}}<!--,default,
20,-->===活动说明===,default,
21,*「猎星游戏」活动共分为「故事模式」和「街机挑战」两个模块。,default,
22,<br>,default,
23,'''故事模式''',default,
24,*「猎星游戏」活动期间内，在故事模式下完成同行任务「[[朋克洛德精神]]」可以获得涂鸦，并激活涂鸦标识。,default,
25,*点击涂鸦标识进行光锥解析，解析完成后可获得4星活动光锥「{{图标|新手任务开始前}}（虚无) 」。,default,
26,<br>,default,
27,'''街机挑战''',default,
28,*「街机挑战」分为「隐匿代码」「访问筛查」「封锁扇区」三个部分。完成各项挑战可获得星琼、活动道具「{{图标|笑口常开}}」。笑口常开可用于在活动商店「深网灰市」兑换限时活动奖励。,default,
29,*「隐匿代码」挑战：根据图示寻找隐匿涂鸦并与之交互，可获得对应的奖励。,content,挑战
30,*「访问筛查」挑战：根据图示寻找拍摄目标并与之交互，可获得对应的奖励。,content,挑战
31,*「封锁扇区」挑战：「猎星游戏」活动期间内，通关指定难度的「封锁扇区」，可获得额外的奖励。,content,挑战
32,<br>,default,
33,'''涂鸦模式''',default,
34,*「猎星游戏」活动期间，打开相机，也可以切换至涂鸦模式，进行喷涂创作。另外，在故事模式点击「开始涂鸦！」，也可以进入涂鸦模式进行游玩。,default,
35,*开拓者可以通过切换涂鸦组合可以喷涂出有趣的图像——配合撤销和清除功能，可以更方便地进行喷涂。请注意，当区域内超过8个涂鸦时，最先喷涂的涂鸦将会被替换。离开当前区域后，涂鸦也会消失。,default,
36,===注意事项===,default,
37,*「猎星游戏」限时活动结束后，活动专属光锥「新手任务开始前（虚无）」将无法获取，涂鸦模式将会关闭。,default,
38,*商店兑换期截止后，活动道具「笑口常开」将会消失，活动商店将会关闭，请开拓者及时参与活动并兑换奖励。,default,
39,*'''「猎星游戏」限时活动结束后，开拓者将无法获取限时活动奖励。但仍可体验同行任务「朋克洛德精神」与挑战关卡「封锁扇区」。''',default,
40,<br>,default,
41,==活动剧情==,branch_content,
42,*[[朋克洛德精神]],default,
43,*[[封锁扇区（任务）]],default,
44,<br>,default,
45,==玩法说明==,default,
46,<gallery>,default,
47,File:猎星游戏-活动说明1.png,default,
48,File:猎星游戏-活动说明2.png,default,
49,File:猎星游戏-活动说明3.png,default,
50,File:猎星游戏-活动说明4.gif,default,
51,File:猎星游戏-活动说明5.png,default,
52,File:猎星游戏-活动说明6.png,default,
53,File:猎星游戏-活动说明7.gif,default,
54,</gallery>,default,
55,==规则说明==,default,
56,{| class=wikitable,default,
57,! rowspan=3|猎星游戏：故事模式,content,猎星游戏
58,| [[File:猎星游戏-故事模式-规则说明1.png|400px]],default,
59,|{{颜色|描述2|猎星游戏}}活动期间内，在故事模式下完成同行任务{{颜色|描述2|朋克洛德精神}}可以获得{{颜色|描述2|涂鸦}}，并激活{{颜色|描述2|涂鸦标识}}。,default,
60,|-,default,
61,| [[File:猎星游戏-故事模式-规则说明2.png|400px]],default,
62,| 点击{{颜色|描述2|涂鸦标识}}进行光锥解析，解析完成后可获得光锥{{颜色|描述2|新手任务开始前}}。,default,
63,|-,default,
64,|[[File:猎星游戏-故事模式-规则说明3.png|400px]],default,
65,| 点击{{颜色|描述2|开始涂鸦！}}，可以使用{{颜色|描述2|涂鸦}}进行喷涂创作。,default,
66,|-,default,
67,! rowspan=4 | 猎星游戏：街机挑战,content,猎星游戏
68,| [[File:猎星游戏-街机挑战-规则说明1.png|400px]],default,
69,|{{颜色|描述2|猎星游戏}}活动期间内，完成街机挑战可获得{{颜色|描述2|笑口常开}}，用于在活动商店兑换{{颜色|描述2|叠影}}所需的素材等奖励。,default,
70,|-,default,
71,|[[File:猎星游戏-街机挑战-规则说明2.png|400px]],default,
72,| 根据图示，寻找{{颜色|描述2|隐匿涂鸦}}并与之交互，可获得对应的奖励。,default,
73,|-,default,
74,|[[File:猎星游戏-街机挑战-规则说明3.png|400px]],default,
75,|根据图示，寻找{{颜色|描述2|拍摄目标}}并与之交互，可获得对应的奖励。,default,
76,|-,default,
77,|[[File:猎星游戏-街机挑战-规则说明4.png|400px]],default,
78,|{{颜色|描述2|猎星游戏}}活动期间内，通关指定难度的{{颜色|描述2|封锁扇区}}，可获得额外的奖励。,default,
79,|-,default,
80,! rowspan=3|猎星游戏：涂鸦模式,content,猎星游戏
81,|[[File:猎星游戏-涂鸦模式-规则说明1.png|400px]],default,
82,|通过切换{{颜色|描述2|涂鸦}}组合可以喷涂出有趣的图像——配合{{颜色|描述2|撤销}}和{{颜色|描述2|清除全部}}可以更方便地进行喷涂。,default,
83,|-,default,
84,|[[File:猎星游戏-涂鸦模式-规则说明2.png|400px]],default,
85,|当区域内超过8个{{颜色|描述2|涂鸦}}时，最先喷涂的{{颜色|描述2|涂鸦}}将会被替换。离开当前区域后，{{颜色|描述2|涂鸦}}也会消失。,default,
86,|-,default,
87,|[[File:猎星游戏-涂鸦模式-规则说明3.png|400px]],default,
88,| 打开{{颜色|描述2|相机}}，也可以切换至{{颜色|描述2|涂鸦}}模式，进行{{颜色|描述2|喷涂}}创作。,default,
89,|},default,
90,,default,
91,==涂鸦一览==,default,
92,{| class=wikitable,default,
