line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「登栖敛翼」,default,
3,|所属版本=1.2,default,
4,|开始时间=2023/07/19 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=9999/01/01<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=永久<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=永久活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|TAG=新手活动、角色获取、逐光捡金,default,
10,|条件限制=完成开拓任务「[[有龙矫矫，其渊渺渺]]」，并通关「忘却之庭•仙舟回忆其一」,default,
11,|活动描述=,default,
12,|官方公告链接=https://www.bilibili.com/opus/818459275857756160<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=驭空<!--选填-->,default,
15,}},default,
16,===活动说明===,default,
17,完成开拓任务「[[有龙矫矫，其渊渺渺]]」，并通关「忘却之庭•仙舟回忆其一」后获取角色{{图标|驭空}},default,
