line_number,content,category,character
1,{{活动信息,default,
2,|名称=「盛会邀约」,default,
3,|所属版本=2.0,default,
4,|系列活动=,default,
5,|开始时间=2024/02/06 07:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/03/27 06:00<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=网页活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=回归<!--选填-->,default,
11,|条件限制=,default,
12,|活动描述=在盛会之星向你的朋友发出邀约吧！一同参与这场盛大的欢宴，在匹诺康尼的游乐园追逐梦想！最高可获540星琼！,default,
13,|官方公告链接=https://www.bilibili.com/opus/894879628994281476<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=在盛会之星向你的朋友发出邀约吧！一同参与这场盛大的欢宴，在匹诺康尼的游乐园追逐梦想！最高可获540星琼！<br><br>,default,
19,参与链接：[https://mhyurl.cn/25cgFBAL 点击跳转]<!--可留空-->,content,参与链接
20,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
21,|活动奖励=,default,
22,}},default,
23,===活动说明===,default,
24,#活动期间开拓者可通过邀约回归开拓者来获得星琼奖励等好礼。,default,
25,#活跃开拓者可分享个人专属邀约码，邀约其他满足条件的开拓者回归，获得星琼奖励与抽奖机会。,default,
26,#回归开拓者登录游戏后，也可分享个人专属邀约码，邀约其他满足条件的开拓者回归，参与网页活动。,default,
27,:※回归开拓者的状态更新存在延迟，开拓者可以等待2分钟后刷新网页查看。,default,
28,===回归开拓者===,default,
29,可参与活动「循星归程」的开拓者将被视为「回归开拓者」， 「循星归程」参与条件如下：,content,参与条件如下
30,#开拓等级≥10级；完成开拓任务「雅利洛-VI」-「她等待刀尖已经太久」；,default,
31,#连续未登录游戏天数≥14天；,default,
32,#距离上一次参与活动「循星归程」≥40天。,default,
33,:※回归开拓者状态持续时间，与活动「循星归程」开启时间保持一致。,default,
