line_number,content,category,character
1,{{活动信息,default,
2,|名称=「磐岩镇斗技表演赛」,default,
3,|所属版本=1.5,default,
4,|系列活动=,default,
5,|开始时间=2023/12/06 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/12/25 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动、常驻活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=战斗<!--选填-->,default,
11,|条件限制=完成冒险任务「角斗士」及开拓任务「雅利洛-Ⅵ」-「静静的星河」,default,
12,|活动描述=磐岩镇的搏击俱乐部正在举办一场「斗技表演赛」，冠军拳手不仅能获得金钱和荣耀，还能获得贝洛伯格失传已久的综合搏击秘籍……,default,
13,|官方公告链接=https://www.bilibili.com/opus/871509011087753283?spm_id_from=333.999.0.0<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=2<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,}},default,
21,===活动说明===,default,
22,*在「磐岩镇斗技表演赛」中，开拓者可以通过挑战不同赛事以赢取对应赛事奖励。,default,
23,*活动开启后，每日将会解锁新的赛事，共计7个赛事。,default,
24,*选择参加赛事后，开拓者将会对阵不同的对手，将其击败后可选择不同增益。,default,
25,*抽选开始后，角色阵容将锁定。每次战斗开始时将重置角色生命值和能量值。,default,
26,*在活动期间内完成「限时挑战」，还可获取限时额外奖励。,default,
27,*当开拓者提升「均衡等级」时，活动中敌人等级将同步提升。,default,
28,==活动玩法==,default,
29,===玩法介绍===,default,
30,<gallery>,default,
31,「磐岩镇斗技表演赛」-玩法介绍.jpg,default,
32,</gallery>,default,
33,===规则说明===,default,
34,<!-- {{折叠|开始|标题=玩法说明一览|折叠=是}},default,
35,{| class=wikitable,default,
36,!活动名•教程图名,default,
37,|[[File:活动名-规则说明01.png|400px]],default,
38,|教程图文本描述,default,
39,|-,default,
40,!活动名•教程图名,default,
41,|[[File:活动名-规则说明02.png|400px]],default,
42,|教程图文本描述,default,
43,|},default,
44,{{折叠|结束}} -->,default,
45,<!-- ==活动剧情==,branch_content,
46,===活动任务===,default,
47,{{#ask:[[分类:活动任务]][[系列任务::~*此处写任务系列名*]],default,
48,|?系列任务,default,
49,|format=outline,default,
50,|sort=任务编号,default,
51,|outlineproperties=系列任务}} -->,default,
52,==活动内容==,default,
53,"{| class=""wikitable"" style=""text-align:center""",default,
54,"!style=""width:3%""|场次 !!style=""width:3%""|属性 !!style=""width:6%""|试用 !!colspan=2| 增益 !!对手!!对话",default,
55,|-,default,
56,|rowspan=3| 刚之型 ||rowspan=3| [[file:物理.png|link=|24px]] ||rowspan=3| {{图标|中|银枝}}{{图标|中|卢卡}},default,
57,|valign=top colspan=2| '''斗技•刚'''<br>当我方目标对处于{{颜色|描述|弱点击破状态}}的敌人造成{{颜色|描述|物理属性伤害}}后，{{颜色|描述|每段攻击}}额外造成1次等同于目标最大生命值{{颜色|描述|6%}}的固定数值的伤害。,default,
58,|valign=top|'''巡猎同好会'''<br>{{图标|小|反重子}}{{图标|小|虚卒•践踏者}}{{图标|小|反重子}},default,
59,|align=left|*对手：这是我们能找到最像岚的服装了。<br>*开拓者：联盟要是找来了，你们血别溅我身上……,content,对手
60,|-,default,
61,"|valign=top style=""width:22%""| '''炸弹摔'''<br>我方单位{{颜色|描述|击破敌人弱点}}后，自身下一次行动提前{{颜色|描述|100%}}。",default,
62,"|valign=top style=""width:22%""| '''黑洞摔'''<br>我方单位{{颜色|描述|击破敌人弱点}}后，恢复自身{{颜色|描述|100%}}能量上限的能量。",default,
63,|valign=top|'''存护同好会'''<br>{{图标|小|银鬃尉官}}{{图标|小|银鬃尉官}}{{图标|小|银鬃射手}},default,
64,|align=left|*对手：这是我们能找到最像克里珀的服装了。<br>*开拓者：哪里像了！！！,content,对手
65,|-,default,
66,|valign=top|'''压路机式摔'''<br>我方使用{{颜色|描述|物理属性攻击}}的弱点击破效率提高{{颜色|描述|150%}}。,default,
67,|valign=top|'''断头台抛摔'''<br>当敌方单位从弱点击破状态恢复时，{{颜色|描述|韧性恢复量降低}}等同于韧性上限的{{颜色|描述|80%}}。,default,
68,|valign=top|'''火力老年王'''<br>{{图标|小|永冬灾影}}{{图标|小|外宇宙之炎}}{{图标|小|守护者之影}}{{图标|小|炎华造物}},default,
69,|align=left|*对手：老夫年轻时也是一团野火啊！<ref>队名源自系列电视剧《火力少年王》</ref><br>*开拓者：小心别闪到腰……,content,对手
70,|-,default,
71,|rowspan=3| 固之型 ||rowspan=3| [[file:冰.png|link=|24px]] ||rowspan=3| {{图标|中|镜流}}{{图标|中|佩拉}},default,
72,|valign=top colspan=2| '''斗技•固'''<br>我方单位攻击处于{{颜色|描述|冻结状态}}的敌人时，会基于自身的攻击力提高第1次击中每个敌方目标的伤害，攻击后解除目标的冻结状态。,default,
73,|valign=top|'''怒之铁拳'''<br>{{图标|小|炎华造物}}{{图标|小|火焚灾影}}{{图标|小|炎华造物}}<br>{{图标|小|火焚灾影}}{{图标|小|火焚灾影}}{{图标|小|火焚灾影}},default,
74,|align=left|*对手：贝洛伯格古拳法，天下无双！<br>*开拓者：你先把武器放下再跟我说拳法！,content,对手
75,|-,default,
76,|valign=top| '''手部十字固'''<br>我方单位施放{{颜色|描述|冰属性终结技}}攻击敌人后，可对目标造成冰属性的击破效果。,default,
77,|valign=top| '''膝盖十字固'''<br>我方单位击破敌人{{颜色|描述|冰属性弱点}}后，可使其相邻目标受到相同的冰属性的击破效果。,default,
78,|valign=top|'''锯锯人'''<br>{{图标|小|炎华造物}}{{图标|小|火焚灾影}}{{图标|小|炽燃徘徊者}}{{图标|小|火焚灾影}},default,
79,|align=left|*对手：尸体在说话……<ref>源自藤本树漫画《电锯人》名台词</ref><br>*开拓者：你演点阳间的吧！,content,对手
80,|-,default,
81,|valign=top| '''颈脖裸绞'''<br>我方单位攻击处于{{颜色|描述|冻结状态}}的敌人后，自身下一次行动提前{{颜色|描述|100%}}。,default,
82,|valign=top| '''咽喉裸绞'''<br>我方单位攻击处于{{颜色|描述|冻结状态}}的敌人后，可恢复等同于自身{{颜色|描述|100%}}能量上限的能量。,default,
83,|valign=top|'''燚拳'''<br>{{图标|小|火焚灾影}}{{图标|小|外宇宙之炎}}{{图标|小|炽燃徘徊者}}{{图标|小|火焚灾影}},default,
84,|align=left|*对手：为了获胜，对他/她使用燚拳吧！<ref>源自藤本树漫画《炎拳》名台词</ref><br>*开拓者：还…还挺热血……,content,对手
85,|-,default,
86,|rowspan=3| 烈之型 ||rowspan=3| [[file:火.png|link=|24px]] ||rowspan=3| {{图标|中|桂乃芬}}{{图标|中|艾丝妲}},default,
87,|valign=top colspan=2| '''斗技•烈'''<br>我方单位攻击处于{{颜色|描述|弱点击破状态}}的敌人后，目标每陷入1个灼烧状态会受到{{颜色|描述|1}}次【<u>转身鞭拳</u>】。,default,
88,|valign=top|'''冷酷战士'''<br>{{图标|小|霜晶造物}}{{图标|小|永冬灾影}}{{图标|小|霜晶造物}}<br>{{图标|小|永冬灾影}}{{图标|小|永冬灾影}}{{图标|小|永冬灾影}},default,
89,|align=left|*对手：*冷酷的沉默*<br>*开拓者：你是装酷还是冻得说不出话？,content,对手
90,|-,default,
91,|valign=top|'''直拳'''<br>我方单位使用{{颜色|描述|火属性攻击}}的弱点击破效率提高{{颜色|描述|150%}}。,default,
92,|valign=top|'''摆拳'''<br>我方单位{{颜色|描述|击破敌人的火属性弱点}}后，会使敌方全体陷入火属性弱点击破状态。,default,
