line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「磐岩镇超级联赛」,default,
3,|所属版本=1.0,default,
4,|开始时间=2023/05/19 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/06/06 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=常规活动、常驻活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|TAG=战斗,default,
10,|条件限制=开拓等级≥21级<br>完成系列冒险任务[[拳台即戏台•上]]、[[拳台即戏台•下]]、[[角斗士]],default,
11,|活动描述=「磐岩镇超级联赛」现已在搏击俱乐部正式开赛——向掘掘博士咨询以了解详情。,default,
12,|官方公告链接=https://www.bilibili.com/opus/796905433709150228<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=掘掘博士<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=<!--选填-->,default,
15,|所属地区=2<!--选填-->,default,
16,}}<!--,default,
17,-->===活动说明===,default,
18,「磐岩镇超级联赛」活动分为常驻活动与限时活动两部分。,default,
19,*常驻活动：开拓者可以挑战五大赛事，每场赛事共有四场战斗。开拓者选择参加赛事后，会以随机抽选的方式确定敌方阵容，将其击败后可获得不同增益。首次通关赛事即可获得星琼等常驻奖励。,content,常驻活动
20,*限时活动：超级联赛还将开启限时挑战！活动期间，开拓者完成每场战斗将记录战斗轮数，总轮数越低，可获得奖励越多！,content,限时活动
21,「磐岩镇超级联赛」限时活动结束后，开拓者将无法获取限时活动奖励。但仍可前往「搏击俱乐部，进行挑战。,default,
22,===参与方式===,default,
23,*点击【旅情事记】查看活动开启地点,default,
24,*或前往地图'''「磐岩镇」-搏击俱乐部'''与NPC[[掘掘博士]]对话后即可参与挑战,default,
25,===特别提醒===,default,
26,*每场战斗开始后，将重置角色的生命值及终结技能量。开拓者可以多多使用角色的终结技哦！,default,
27,*此外，活动中的敌人强度与开拓者的「均衡等级」息息相关。「均衡等级」提升后，活动内的敌人也将变强。,default,
28,*请开拓者谨慎提升「均衡等级」，若已经提升，开拓者可通过提升角色或光锥等级等方式强化后再进行挑战。,default,
29,==玩法指南==,default,
30,<gallery>,default,
31,File:磐岩镇超级联赛-玩法指南1.jpg,default,
32,File:磐岩镇超级联赛-玩法指南2.jpg,default,
33,File:磐岩镇超级联赛-玩法指南3.jpg,default,
34,File:磐岩镇超级联赛-玩法指南4.jpg,default,
35,File:磐岩镇超级联赛-玩法指南5.jpg,default,
36,</gallery>,default,
37,==规则说明==,default,
38,"{| class=wikitable style=""text-align:center""",default,
39,| [[File:磐岩镇超级联赛-规则说明1.png|500px]] ||在「磐岩镇超级联赛」中，开拓者可以通过挑战不同赛事以赢取对应赛事奖励。,default,
40,|-,default,
41,| [[File:磐岩镇超级联赛-规则说明2.png|500px]] ||选择参加赛事后，开拓者将会以随机抽选的方式确定对手阵容，将其击败后可获得不同增益。抽选开始后，角色阵容将锁定；每次战斗开始时将重置角色生命值和能量值。「均衡等级」将影响活动中敌方强度。,default,
42,|-,default,
43,| [[File:磐岩镇超级联赛-规则说明3.png|500px]] || 在活动期间内完成「限时挑战」，还可获取限时额外奖励。,default,
44,|},default,
45,==活动剧情==,branch_content,
46,{{折叠|标题=与掘掘博士对话|内容=,default,
47,*掘掘博士：搏击俱乐部全新赛季现已开始——您可以报名参与「羽量级」的比赛了！,content,掘掘博士
48,*掘掘博士：若您想要了解详情，或是参加比赛，都请随时告诉我！掘掘博士竭诚为您服务！,content,掘掘博士
49,{{剧情选项,default,
50,|选项1=积分赛的具体规则是什么？,option,开拓者
51,|图标1=对话,default,
52,|剧情1=*掘掘博士：您听说过「天梯排行榜」吗？也就是记录了每位拳手比赛积分的榜单。您的积分越高，在榜上排的位置也就越高。只要您在对战中取胜，就能获得一定积分。,branch_content,掘掘博士
53,*掘掘博士：换句话说，分数越高的拳手实力越强，您和对手皆是如此。这也意味着随着您胜利的次数增加，战斗强度也会随之增大——不过，这点我猜您早有准备，对吧？,content,掘掘博士
54,*掘掘博士：此外，我们还为不同实力的选手分别设置了不同的赛事，难度由低到高依次为——,content,掘掘博士
55,「羽量级」、「轻量级」、「沉量级」、「中量级」、「重量级」——每个排行榜的积分各自独立计算！,default,
56,*掘掘博士：您可以任意选择其一，与不同水平的选手对垒。只要您愿意，更可以将自己在全部赛事中的排名全部提升至第一，从而将赛季全部奖励收入囊中！,content,掘掘博士
57,*掘掘博士：不过，五大赛事将依次隔天开启——若您想要体验更加激烈的战斗，可千万别扑空了！,content,掘掘博士
58,|选项2=我想参加比赛！,option,开拓者
59,|剧情2=*掘掘博士：没问题，我立刻为您安排！,branch_content,掘掘博士
60,|选项3=我没什么想要了解的。,option,开拓者
61,|图标3=退出}},default,
62,:{{颜色|描述|完成五场赛事后…}},default,
63,*掘掘博士：天啊…没想到您已经制霸五大赛事了！外来者实力竟恐怖如斯！,content,掘掘博士
64,*掘掘博士：随着开拓者您在本赛季中一路高歌猛进、彻底扫清一切障碍，本赛季也即将迎来尾声——,content,掘掘博士
65,*掘掘博士：我宣布：本赛季圆满结束，恭喜您成为冠军！史考特商业联盟已为您准备了海量豪华奖励，请您务必收好！,content,掘掘博士
66,*掘掘博士：最后，请记住我们的口号——,content,掘掘博士
67,*掘掘博士：<big><big>史考特商业，只为冠军而生！</big></big>,content,掘掘博士
68,}},default,
69,,default,
70,==活动奖励==,default,
71,===常驻奖励===,default,
72,{|class=wikitable,default,
73,!赛事!!奖励,default,
74,|-,default,
75,!羽量级,default,
76,| {{图标|材料|星琼|20}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|10000}},default,
77,|-,default,
78,!轻量级,default,
79,| {{图标|材料|星琼|20}}{{图标|材料|凝缩以太|5}}{{图标|材料|信用点|10000}},default,
80,|-,default,
81,!沉量级,default,
