line_number,content,category,character
1,{{活动信息,default,
2,|名称=「神奇扑满在哪里」,default,
3,|所属版本=1.2,default,
4,|系列活动=,default,
5,|开始时间=2023/07/28 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/08/14 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=<!--选填-->,default,
11,|条件限制=开拓等级≥21级,default,
12,|活动描述=神奇扑满在哪里？不如去歌德宾馆，问问神奇的雷金自制感应仪！,default,
13,|官方公告链接=https://t.bilibili.com/822881374203543588<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=雷金<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=民间科学家雷金的感应仪最近有了新反应，而前往对应坐标进行勘测后，发现异常反应的真实面目，似乎是一只…奇怪的扑满？<!--可留空-->,default,
18,|所属地区=2,default,
19,}},default,
20,===活动说明===,default,
21,*活动期间，开拓者每日可帮助「雷金」进行感应仪实验寻找扑满的踪迹。扑满的踪迹共有7处，每日逐步开启。完成已有异常勘测后，将解锁下一个内容。,default,
22,*开拓者完成每日异常勘测后可获得奖励。完成所有感应勘测后可获得命运的足迹。,default,
23,,default,
24,==活动剧情==,branch_content,
25,{{#ask:[[分类:活动任务]][[系列任务::~*异常勘测*]],default,
26,|?系列任务,default,
27,|format=outline,default,
28,|sort=任务编号,default,
29,|outlineproperties=系列任务}},default,
30,==活动内容==,default,
31,{|class=wikitable width=100%,default,
32,!次数!!研究方向!!研究结果,default,
33,|-,default,
34,!style=white-space:nowrap|第一次,default,
35,|跟随感应仪的指引，我知道，答案就在「行政区」的那个…那个可以进行交易的…哎，就是那个什么！,default,
36,|从没听过有什么奇怪的售货机，更没听过什么扑满！该不会是全新的研究领域吧？我得再好好瞧瞧……,default,
37,|-,default,
38,!第二次,default,
39,|灵感，五彩缤纷的灵感！而且还是…会变化的灵感！「行政区」还有这种好地方？,default,
40,|真不知道223号感应到的玩意儿，是真的具有审美能力呢？还是单纯只是一个巧合而已呢？哎，要是能亲眼看看那副广告画就好了。,default,
41,|-,default,
42,!第三次,default,
43,|光是想一想「城郊雪原」我都觉得冷，就连进入大脑的灵感都感觉冰冰凉凉的…早去早回吧！,default,
44,|看来223号感应到的神秘玩意儿…还挺耐寒的？说不定以后有非常广阔的商业价值！,default,
45,|-,default,
46,!第四次,default,
47,|光与影的艺术…哎，我搞不懂！「磐岩镇」那地方，我去都没去过，也不知道会有个啥？,default,
48,|它究竟是躲藏在了投影设备里，还是藏在墙壁上？哎，有效信息还是太少了！,default,
49,|-,default,
50,!第五次,default,
