line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「米游姬的开拓指南」,default,
3,|所属版本=1.0,default,
4,|开始时间=2023/04/26 18:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/05/10 18:00<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=网页活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
9,|条件限制=,default,
10,|活动描述=,default,
11,|官方公告链接=https://www.miyoushe.com/sr/article/38473354<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
12,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
13,|角色获取=<!--选填-->,default,
14,}}<!--,default,
15,-->===活动说明===,default,
16,活动期间，开拓者在网页活动中完成页面任务，可以根据任务数量解锁不同奖励。<br>,default,
17,※游戏内星琼等奖励将通过游戏内【邮件】功能发放，若开拓者未解锁该功能，请解锁后再领取奖励。邮件有效期为30天，以获得奖励的时间开始计算。,default,
18,===活动奖励===,default,
19,参与活动可获得60星琼、3次抽奖机会。抽奖有机会获得【信用点*10000】或以下实物奖励：<br>,content,或以下实物奖励
20,iPhone 14 Pro 256G 随机配色*3<br>,default,
21,Redmi K50 PRO*12<br>,default,
22,Redmi K50 电竞版*8<br>,default,
23,===注意事项===,default,
24,1. 米游社及游戏现有封禁状态的开拓者，无法参与本活动。<br>,default,
25,2. 活动结束后，任务列表、抽奖将无法使用，请开拓者及时参与。<br>,default,
26,3. 游戏内奖励将通过游戏内邮件发放，邮件有效期为30天，以获得奖励的时间开始计算。<br>,default,
27,4. 在游戏内领取奖励需先解锁【邮件】功能。<br>,default,
28,5. 获得实物奖励的开拓者请在获得奖励的10个工作日内，点击首页【奖励】图标填写地址，地址填写问卷将于 5月24日 23:59关闭，若未填写则默认放弃奖励。实物奖励预计将于地址填写截止后的60个工作日内发货。<br>,default,
29,6.商品售后问题可在米游社App内【我的】-【联系客服】反馈问题。<br>,default,
30,7. 本活动为米游社官方活动，与所在的应用分发平台无关（如：App Store等）。<br>,content,如
31,8. 该网页仅供娱乐，与游戏内实际情况无关。,default,
