line_number,content,category,character
1,{{活动信息,default,
2,|名称=「给列车组老幺的小礼物」,default,
3,|所属版本=2.1,default,
4,|系列活动=,default,
5,|开始时间=2024/04/26 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/05/08 06:00<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=周年活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=邮件<!--选填-->,default,
11,|条件限制=开拓等级≥4级,default,
12,|活动描述=,default,
13,|官方公告链接=https://www.bilibili.com/opus/924590924225314836<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=星琼*1600，燃料*10,default,
21,}},default,
22,===活动说明===,default,
23,《崩坏：星穹铁道》一周年当日（2024/04/26 12:00 UTC+8），将通过邮件向各位开拓者赠送{{图标|星琼|1600}}。<br>,content,崩坏
24,===邮件原文===,default,
25,今天是星穹列车重新启航的一周年。<br>,default,
26,时间过得真快，还记得第一次见面的时候，你、小三月和丹恒，你们三个带着阿兰从虚卒的包围中脱身。明明是那么紧迫的情况，你们却还能有说有笑。当时我就在想，这灰头发的孩子说不定很适合当个无名客。<br>,default,
27,转眼间，我们已经一起经历了那么多，我很高兴能看着你成长。<br>,default,
28,往后的路还很长，要一直记得，你身边始终有许多人，会支持你，守护你，当然，这其中也包括我。<br>,default,
29,一起「开拓」下去吧！,default,
30,{{提示|蓝色|宽度=100%|详见[[邮件]]。}},default,
31,===活动奖励===,default,
32,{{图标|材料|星琼|1600}}{{图标|材料|燃料|10}},default,
