line_number,content,category,character
1,{{活动信息<!--此为备注，下方=后填写对应信息-->,default,
2,|名称=「群星如诉」,default,
3,|所属版本=1.0,default,
4,|开始时间=2023/05/03 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
5,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
6,|结束时间=2023/05/11 23:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
7,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
8,|类型=网页活动,default,
9,|TAG=OST<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|条件限制=完成开拓任务「湛蓝星」-「[[宇宙安宁片刻]]」后开启【邮件】功能，激活道具礼包，每个UID限领1次,default,
11,|活动描述=浩瀚宇宙以群星为诗，<br>请您稍许驻留，<br>聆听群星的诉说……,default,
12,|官方公告链接=https://www.bilibili.com/opus/791760689945378817<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
13,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
14,|角色获取=<!--选填-->,default,
15,|介绍语=亲爱的开拓者：<br><br>,content,亲爱的开拓者
16,浩瀚宇宙以群星为诗，<br>请您稍许驻留，<br>聆听群星的诉说……<br>,default,
17,<br>,default,
18,「群星如诉」——《崩坏:星穹铁道》游戏OST宣传H5现已正式上线，参与活动即可领取星琼。同时，贝洛伯格主题OST也已上线QQ音乐、酷狗音乐，欢迎各位开拓者前往收听。<br><br>,default,
19,<center>[https://y.qq.com/forest/t3S2rcYLfwsuz8z5/index.html 点击参与「群星如诉」H5活动]<br>,default,
20,※需要使用移动端打开对应链接</center>,default,
21,}},default,
22,===活动说明===,default,
23,活动期间，完成乐评和听歌活动即可获得{{图标|星琼}}兑换码、{{图标|信用点}}及{{图标|大宇宙炒饭}}等游戏奖励（限量300万份）；,default,
24,获得兑换码后，开拓者可点击QQ音乐APP「我的」-「会员中心」-「我的资产」-「优惠券」进行查看。<br>,default,
25,登入游戏–左上角【手机】菜单-点击【…】按钮-【兑换码】–输入兑换码–完成兑换。,default,
26,,default,
27,===活动奖励===,default,
28,（限量300万份，先到先得）<br>,default,
29,{{图标|材料|星琼|40}}{{图标|材料|大宇宙炒饭|3}}{{图标|材料|信用点|5000}},default,
30,,default,
31,==温馨提示==,default,
32,*开拓者需完成开拓任务「湛蓝星」-「[[宇宙安宁片刻]]」，后开启【邮件】功能，方可激活道具礼包，且每个UID限领1次；,default,
33,*兑换码有效期截止至2023/06/07 06:00，请在有效期内进行兑换；,default,
34,*更多活动细则详见H5页面。,default,
