line_number,content,category,character
1,{{活动信息,default,
2,|名称=「花藏繁生」,default,
3,|所属版本=1.1,default,
4,|系列活动=花藏繁生,default,
5,|开始时间=2023/07/10 04:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/07/17 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=特殊活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=拟造花萼、材料<!--选填-->,default,
11,|条件限制=完成冒险任务[[「拟造花萼（金）• 回忆之蕾」]],default,
12,|活动描述=活动期间，成功挑战「拟造花萼（金）」「拟造花萼（赤）」可获得双倍奖励。,default,
13,|官方公告链接=https://www.bilibili.com/opus/816201841062707233<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=<!--可留空-->,default,
18,}}<!--,default,
19,-->,default,
20,===活动说明===,default,
21,*「花藏繁生」活动期间，挑战并通关「拟造花萼（金）」或「拟造花萼（赤）」时，可获得双倍奖励。,default,
22,*每日双倍奖励的次数有限，可用的剩余次数和次数上限以「花藏繁生」活动界面中的显示为准。,default,
23,*双倍奖励次数将于每日04:00重置，请开拓者及时挑战。,default,
24,===活动奖励===,default,
25,活动期间挑战并通关「拟造花萼（金）」或「拟造花萼（赤）」时，将会自动消耗活动次数（每天12次，每10开拓力消耗一次次数），并按消耗的次数获得额外奖励。,default,
