line_number,content,category,character
1,{{活动信息,default,
2,|名称=「虚境味探」,default,
3,|所属版本=1.6,default,
4,|系列活动=,default,
5,|开始时间=2024/01/17 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2024/02/05 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=战斗<!--选填-->,default,
11,|条件限制=完成开拓任务「雅利洛-Ⅵ」-「静静的星河」,default,
12,|活动描述=界种科的「未知生命体嗅觉诱导的感知与幻觉」专项测试现已开启，你已获得特邀测试资格……,default,
13,|官方公告链接=https://www.bilibili.com/opus/887063647490146323<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=阿兰<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=界种科上下忙得团团转：在天才到访之际，他们开启了「未知生命体嗅觉诱导的感知与幻觉」专项测试。在这个测试中，激活特定的气味插件会引发测试者的感知变化，导致他们见到各种幻象。你受人所托前来协助测试，请在测试中勇敢面对并战胜这些幻象，协助界种科收集关键数据。<!--可留空-->,content,界种科上下忙得团团转
19,|所属地区=1<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=,default,
21,}},default,
22,===活动说明===,default,
23,*活动开启后，开拓者需要在面对并战胜「未知生命体嗅觉诱导的感知与幻觉」中产生的{{颜色|描述|幻象敌人}}，协助界种科收集关键数据。,default,
24,*「虚境味探」活动开启后，将会解锁{{颜色|描述|「普通模式」}}，通关「普通模式」所有关卡后，与云端机器人对话即可开启{{颜色|描述|「绝望模式」}}关卡。,default,
25,*「虚境味探」活动战斗开始前，开拓者可以选择配置不同的{{颜色|描述|气味插件}}，获得不同的{{颜色|描述|增益效果}}。,default,
26,*「虚境味探」活动战斗中，设有{{颜色|描述|【剩余行动值】}}，剩余行动值会根据敌我双方行动而变化。,default,
27,*「虚境味探」活动战斗挑战结束时，将会根据对幻象造成的总伤害量以及剩余行动值，计算开拓者在当前关卡获得的分数。,default,
28,*开拓者在当前关卡达到一定分数后，方可解锁下一关卡。,default,
29,===注意事项===,default,
30,*通过气味刺激模拟出的幻象会与常规首领敌人存在一定区别，开拓者可在战斗开始时阅读幻象特性了解详情。,default,
31,*当开拓者{{颜色|描述|提升「均衡等级」}}时，{{颜色|描述|「普通模式」}}中敌人等级将{{颜色|描述|同步提升}}。,default,
32,*「绝望模式」中敌人等级为{{颜色|描述|固定等级}}，并具有较高难度与挑战性，开拓者可根据自身情况进行挑战。,default,
33,==活动玩法==,default,
34,===玩法介绍===,default,
35,<gallery>,default,
36,虚境味探-玩法介绍.jpg,default,
37,</gallery>,default,
38,===规则说明===,default,
39,{| class=wikitable,default,
40,!虚境味探,default,
41,|[[File:虚境味探-规则说明1.png|400px]],default,
42,|完成幻象挑战后，将获得每关分数和相应的评级，其中SS为最高评级。,default,
43,|-,default,
44,!rowspan=2|积分计算规则,default,
45,|[[File:虚境味探-规则说明2.png|400px]],default,
46,|关卡中设有行动值计时器，在我方与敌方行动后，会扣除对应行动值,default,
47,|-,default,
48,|[[File:虚境味探-规则说明3.png|400px]],default,
49,|关卡结算的积分数据受两个因素影响：幻象剩余血量百分比，成功击败幻象后的剩余行动值。如果未击败幻象，只计算其剩余血量百分比。,content,关卡结算的积分数据受两个因素影响
50,|},default,
51,,default,
52,==活动剧情==,branch_content,
53,*[[虚境味探]],default,
54,,default,
55,,default,
56,==活动内容==,default,
57,"{|class=""wikitable""",default,
58,!关卡名!!敌人!!幻象特性!!气味插件!!试用角色,default,
59,|-,default,
60,!01 长生久视的一梦,default,
61,"|style=""text-align:center""|{{图标|大|丰饶玄鹿}}||",default,
62,*丰饶玄鹿受到的伤害降低。弱点击破后，行动额外延后，受到的伤害额外提高。,default,
63,*丰饶玄鹿的弱点被击破时，我方全体恢复能量及战技点，同时消灭所有建木枝梢。,default,
64,*当场上存在4个建木枝梢时，丰饶玄鹿获得韧性保护，消灭任意建木枝梢后解除韧性保护效果。,default,
65,*丰饶玄鹿召唤缃叶之杪时，使其获得【培植】，大幅提高其【复还】的伤害。,default,
66,|'''烟熏味'''：我方全体冰、火属性伤害提高{{颜色|描述2|60%}}。<br>'''蒜蓉味'''：我方全体虚数、量子属性伤害提高{{颜色|描述2|60%}}。<br>'''芝士味'''：我方目标在消灭敌方单位后，获得{{颜色|描述2|35}}点能量。<br>'''泡椒味'''：我方目标在消灭敌方单位后，速度提高{{颜色|描述2|50%}}，持续{{颜色|描述2|2}}回合。,content,烟熏味
67,|{{图标|大|希儿}}{{图标|大|银狼}},default,
68,|-,default,
69,!02 迷离人心的虚言,default,
70,"|style=""text-align:center""|{{图标|大|「星核猎手」卡芙卡}}||",default,
71,*卡芙卡受到的伤害降低。弱点击破后，行动额外延后，弱点击破状态下受到的伤害额外提高。,default,
72,*卡芙卡的弱点被击破时，我方全体恢复能量及战技点。,default,
73,*轮到卡芙卡行动时，会夺取其余敌方单位的绩效点，如果成功夺取绩效点，本次攻击会大幅强化。,default,
74,*在行动条上添加【外包】，每次【外包】行动时，会召唤公司员工。,default,
75,|'''梅花香'''：我方全体普攻伤害提高{{颜色|描述2|50%}}。<br>'''牡丹香'''：我方全体终结技伤害提高{{颜色|描述2|75%}}。<br>'''蜂蜜味'''：我方目标拥有【绩效点】时，造成的伤害提高{{颜色|描述2|75%}}。<br>'''芥末味'''：我方目标获得【绩效点】时，行动提前{{颜色|描述2|100%}}。,content,梅花香
76,|{{图标|大|丹恒•饮月}}{{图标|大|阮•梅}},default,
77,|-,default,
78,!03 天纵之剑的残影,default,
79,"|style=""text-align:center""|{{图标|大|云骑骁卫•彦卿}}||",default,
80,*彦卿受到的伤害降低。弱点击破后，行动额外延后，受到的伤害额外提高。,default,
81,*彦卿的弱点被击破时，我方全体恢复能量及战技点。,default,
82,*彦卿召唤的剑阵受到的伤害大幅降低并且无法被直接击败，需要击破弱点以解除剑阵；剑阵被解除后，彦卿解除韧性保护。,default,
83,*飞剑弱点被击破后，会转移弱点给随机剩余飞剑；二阶段，飞剑的初始弱点隐藏，受到正确属性的攻击后，解除该效果。,default,
84,|'''海鲜味'''：我方全体凤、雷属性伤害提高{{颜色|描述2|60%}}。<br>'''蒜蓉味'''：我方全体虚数、量子属性伤害提高{{颜色|描述2|60%}}。<br>'''葱花味'''：我方全体能量恢复效率提高{{颜色|描述2|20%}}。<br>'''奶香味'''：我方目标每次行动后，恢复生命上限{{颜色|描述2|15%}}的生命值。,content,海鲜味
85,|{{图标|大|刃}}{{图标|大|布洛妮娅}},default,
86,|-,default,
87,!04 驻守冰原的旧忆,default,
88,"|style=""text-align:center""|{{图标|大|布洛妮娅（敌方）}}{{图标|大|杰帕德（敌方）}}||",default,
89,*布洛妮娅及杰帕德受到的伤害降低。弱点击破后，行动额外延后，弱点击破状态下受到的伤害额外提高。,default,
90,*布洛妮娅或杰帕德的弱点被击破时，我方全体恢复能量和战技点。,default,
91,*布洛妮娅及杰帕德会轮流进行主攻。主攻期间解除韧性保护，并使用更为强力的作战技能。,default,
92,*布洛妮娅及杰帕德在每次行动后强化自身。其中一人受到致命伤害无法战斗后，另一人将会大幅度强化。,default,
93,|'''牡丹香'''：我方全体终结技伤害提高{{颜色|描述2|75%}}。<br>'''栀子香'''：我方全体追加攻击伤害提高{{颜色|描述2|100%}}。<br>'''芝士味'''：我方目标在消灭敌方单位后，获得{{颜色|描述2|35}}点能量。<br>'''沉香'''：我方全体弱点击破效率提高{{颜色|描述2|25%}}。,content,牡丹香
94,|{{图标|大|真理医生}}{{图标|大|阮•梅}},default,
95,|-,default,
96,!05 永冻幻土的悲鸣,default,
97,"|style=""text-align:center""|{{图标|大|可可利亚（敌方）}}||",default,
98,*可可利亚及杰帕德受到的伤害降低。弱点击破后，行动额外延后，受到的伤害额外提高。,default,
99,*可可利亚或杰帕德的弱点被击破时，我方全体恢复能量和战技点。,default,
100,*可可利亚的召唤物会标记一个敌方单位，作为可可利亚控制技能的额外攻击目标，标记持续直到召唤物被击破或击杀。,default,
101,*每次成功对目标施加冻结或禁锢效果，使可可利亚的伤害提高。,default,
102,|'''栀子香'''：我方全体追加攻击伤害提高{{颜色|描述2|100%}}。<br>'''玉兰香'''：我方全体持续伤害提高{{颜色|描述2|75%}}。<br>'''葱花味'''：我方全体能量恢复效率提高{{颜色|描述2|20%}}。<br>'''胡椒味'''：战斗开始时，我方编队中的第一位角色效果抵抗提高{{颜色|描述2|100%}}，伤害提高{{颜色|描述2|50%}}。,content,栀子香
103,|{{图标|大|托帕&账账}}{{图标|大|藿藿}},default,
104,|},default,
105,,default,
106,==活动奖励==,default,
107,"{|class=""wikitable""",default,
108,!rowspan=4|普通模式「长生久视的一梦」,default,
109,|在本关卡中达到500分||{{图标|材料|星琼|60}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|40000}},default,
110,|-,default,
111,|在本关卡中达到1000分||{{图标|材料|星琼|40}}{{图标|材料|漫游指南|2}}{{图标|材料|提纯以太|40000}},default,
112,|-,default,
113,|在本关卡中达到2000分||{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
114,|-,default,
115,|在本关卡中达到2600分||{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
116,|-,default,
117,!rowspan=4|普通模式「迷离人心的虚言」,default,
118,|在本关卡中达到500分||{{图标|材料|星琼|60}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|40000}},default,
119,|-,default,
120,|在本关卡中达到1000分||{{图标|材料|星琼|40}}{{图标|材料|漫游指南|2}}{{图标|材料|提纯以太|40000}},default,
121,|-,default,
122,|在本关卡中达到2000分||{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
123,|-,default,
124,|在本关卡中达到2600分||{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
125,|-,default,
126,!rowspan=4|普通模式「天纵之剑的残影」,default,
127,|在本关卡中达到500分||{{图标|材料|星琼|60}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|40000}},default,
128,|-,default,
129,|在本关卡中达到1000分||{{图标|材料|星琼|40}}{{图标|材料|漫游指南|2}}{{图标|材料|提纯以太|40000}},default,
130,|-,default,
131,|在本关卡中达到2000分||{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
132,|-,default,
133,|在本关卡中达到2600分||{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
134,|-,default,
135,!rowspan=4|普通模式「驻守冰原的旧忆」,default,
136,|在本关卡中达到500分||{{图标|材料|星琼|60}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|40000}},default,
137,|-,default,
138,|在本关卡中达到1000分||{{图标|材料|星琼|40}}{{图标|材料|漫游指南|2}}{{图标|材料|提纯以太|40000}},default,
139,|-,default,
140,|在本关卡中达到2000分||{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
141,|-,default,
142,|在本关卡中达到2600分||{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
143,|-,default,
144,!rowspan=4|普通模式「永冻幻土的悲鸣」,default,
145,|在本关卡中达到500分||{{图标|材料|星琼|60}}{{图标|材料|漫游指南|2}}{{图标|材料|信用点|40000}},default,
146,|-,default,
147,|在本关卡中达到1000分||{{图标|材料|星琼|40}}{{图标|材料|漫游指南|2}}{{图标|材料|提纯以太|40000}},default,
148,|-,default,
149,|在本关卡中达到2000分||{{图标|材料|遗器残骸|20}}{{图标|材料|遗失晶块|4}},default,
150,|-,default,
151,|在本关卡中达到2600分||{{图标|材料|遗器残骸|10}}{{图标|材料|信用点|20000}},default,
152,|-,default,
153,!rowspan=5|绝望模式,default,
154,|参与绝望模式「长生久视的一梦」||{{图标|材料|信用点|20000}},default,
155,|-,default,
156,|参与绝望模式「迷离人心的虚言」||{{图标|材料|信用点|20000}},default,
157,|-,default,
158,|参与绝望模式「天纵之剑的残影」||{{图标|材料|信用点|20000}},default,
159,|-,default,
160,|参与绝望模式「驻守冰原的旧忆」||{{图标|材料|信用点|20000}},default,
161,|-,default,
162,|参与绝望模式「永冻幻土的悲鸣」||{{图标|材料|信用点|20000}},default,
163,|},default,
164,,default,
165,"{|class=""wikitable"" style=""width:100%;text-align:center""",default,
166,|{{图标|材料|命运的足迹|1}}||完成普通模式下的所有关卡，并达到1000分。,default,
167,|},default,
168,==无名勋礼奖励==,default,
169,"{| class=""wikitable"" style=""text-align:center;width:100%""",default,
170,|{{图标|材料|无名客的经验|1400}},default,
171,| 在「虚境味探」活动的所有普通模式关卡中达到1000分,default,
172,|},default,
