line_number,content,category,character
1,{{多义词|「评书奇谭」、评书奇谭}}{{活动信息,default,
2,|名称=「评书奇谭」,default,
3,|所属版本=1.2,default,
4,|系列活动=,default,
5,|开始时间=2023/07/21 12:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=2023/08/07 03:59<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=常规活动、常驻活动<!--版本活动/网页活动/常规活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=剧情、战斗<!--选填-->,branch_content,
11,|条件限制=完成开拓任务「仙舟『罗浮』」-「[[有龙矫矫，其渊渺渺]]」,default,
12,|活动描述=罗浮的危机暂时平息，无名客的功绩广为流传。星槎海那位说书的西衍先生似乎对你们的冒险很感兴趣，还打算改编成一折评书……,default,
13,|官方公告链接=https://www.bilibili.com/opus/820268316076539905<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=西衍先生、石韵<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|介绍语=仙舟「罗浮」的危机暂时平息，无名客的功绩广为流传。<br>星槎海那位说书的西衍先生似乎对你们的冒险很感兴趣，还打算改编成一折评书……西衍先生几方打探，终于联系到了开拓者。<br>不知开拓者是否愿意帮助西衍先生，完成这折属于开拓者自己的《开拓豪侠传》呢？<!--可留空-->,default,
18,|所属地区=3,default,
19,}},default,
20,===活动说明===,default,
21,{{提示|蓝色|此活动1.6版本后已加入常时传略}},default,
22,在仙舟，无名客的威名已经广为流传。西衍先生也想写一写无名客的故事，于是向开拓者寻求帮助。,default,
23,*活动开启后，每日将会解锁新的英雄之旅，共计3回。在每1回完成后也会解锁一些今古传奇。,default,
24,*活动中，开拓者完成英雄之旅后，将会获得主角模板并逐渐充实其中的能力。使用这些能力可以在今古传奇中如虎添翼。,default,
25,*主角模板可以提供多种主角光环组合，可以进行自由装配，其中的效果会在今古传奇中生效。,default,
26,*在今古传奇的战斗过程中，敌人会在有限的轮次中不断出现，造成伤害与击败敌人均可以获得分数。每次战斗结束后，将根据本次挑战情况更新最高得分。,default,
27,*活动期间在今古传奇中达到特定分数时可在「奖励列表」中领取挑战奖励。,default,
28,*每个今古传奇至少获得10000分时，可解锁今古传奇对应的《开拓豪侠传》中的文段。,default,
29,*解锁所有文段后可以领取限定物品「{{图标|开拓豪侠传}}」。,default,
30,=== 注意事项 ===,default,
31,*合理地进行主角模板的主角光环搭配将在战斗中获得更高的分数。,default,
32,*开拓者可以选择试用角色参与今古传奇。,default,
33,*当开拓者提升「均衡等级」时，活动中敌人和试用角色等级将同步提升。,default,
34,==玩法介绍==,default,
35,<gallery>,default,
36,评书奇谭-玩法说明.jpg,default,
37,</gallery>,default,
38,,default,
39,==规则说明==,default,
40,{|class=wikitable style=text-align:center width=100%,default,
41,|[[File:评书奇谭-规则说明1.png|500px]]||活动期间，跟随西衍先生完成英雄之旅可以充实{{颜色|描述2|主角模板}}的能力。,default,
42,|-,default,
43,"|[[File:评书奇谭-规则说明2.png|500px]]||主角模板中有不同的{{颜色|描述2|槽位}},每个{{颜色|描述2|槽位}}中可以选择的{{颜色|描述2|主角光环}}均有不同。",default,
44,|-,default,
45,|[[File:评书奇谭-规则说明3.png|500px]]||{{颜色|描述2|槽位}}与{{颜色|描述2|主角光环}}会随英雄之旅的推进逐步解锁。,default,
46,|-,default,
47,|[[File:评书奇谭-规则说明4.png|500px]]||使用这些能力可以在今古传奇中获得分数及对应奖励，{{颜色|描述2|《开拓豪侠传》}}的文段也会逐步解锁。,default,
48,|},default,
49,==活动内容==,default,
50,===英雄之旅===,default,
51,{{#ask:[[分类:活动任务]][[系列任务::~*评书奇谭*]],default,
52,|?系列任务,default,
