line_number,content,category,character
1,{{活动信息,default,
2,|名称=「谐乐响起时…」,default,
3,|所属版本=2.3,default,
4,|系列活动=,default,
5,|开始时间=2024/06/19 10:00<!--填写示例： 2021/01/06 18:00-->,content,填写示例
6,|开始描述=2024/06/19 2.3版本更新后<!--填写带文字的开始时间描述，留空则与开始时间内容一致-->,default,
7,|结束时间=9999/01/01<!--填写示例： 2021/01/06 18:00，永久活动请填写 9999/01/01-->,content,填写示例
8,|结束描述=永久<!--填写带文字的结束时间描述，留空则与结束时间内容一致-->,default,
9,|类型=永久活动<!--版本活动/常规活动/常驻活动/网页活动/特殊活动/额外活动/永久活动-->,default,
10,|TAG=新手活动<!--选填-->,default,
11,|条件限制=完成开拓任务「雅利洛-Ⅵ」-「[[回归]]」,default,
12,|活动描述=所谓「开拓」，就是沿着前人未尽的道路，走出更遥远的距离…… 而在「谐乐响起时…」，你一定会有所收获。,default,
13,|官方公告链接=https://www.bilibili.com/opus/942772805231968323<!--填写原神驻bilibili官方的公告链接，若没有则填写米游社的公告链接 -->,default,
14,|出场人物=<!--填写相关自机角色或NPC，填写示例： 三月七、姬子、丹恒、瓦尔特 -->,content,填写示例
15,|角色获取=开拓者•同谐<!--可留空-->,default,
16,|光锥获取=<!--可留空-->,default,
17,|装饰获取=<!--可留空-->,default,
18,|介绍语=<!--可留空-->,default,
19,|所属地区=<!-- 空间站「黑塔」=1，雅利洛-Ⅵ=2，仙舟「罗浮」=3 -->,default,
20,|活动奖励=开拓者（同谐•虚数）,default,
21,}},default,
22,===活动说明===,default,
23,完成开拓任务「雅利洛-Ⅵ」-「[[回归]]」后，可在「谐乐响起时…」活动页面中直接激活「{{图标|开拓者•同谐}}（同谐•虚数）」。<br>,default,
24,<br>,default,
25,※若已解锁「开拓者（同谐•虚数）」，可获得「同谐」之影*1。,default,
26,※若开拓者在该活动页面直接激活「开拓者（同谐•虚数）」，将在后续开拓任务流程中解锁开拓者同谐命途时，获得「同谐」之影*1。,default,
